origin_clean,origin_missing_or_unknown,brand_clean,brand_mismatch_title,model_clean,model_recovered,_ram_gb,_storage_gb,_screen_size_inch,_title_ram_gb,_title_storage_gb,_title_cpu,_title_screen_size_inch,_ram_gb_filled,_storage_gb_filled,_screen_size_inch_filled,ram_missing,storage_capacity_missing,screen_missing,ram_suspicious,storage_missing_all,cpu_missing,cpu_brand,cpu_tier,gpu_missing,gpu_tier,potential_dedicated_gpu,warranty_months,warranty_status,has_warranty,storage_type_clean,was_storage_type_imputed,condition_clean,repair_mismatch,condition_warranty_inconsistent,brand_grouped,model_grouped,brand_is_rare,model_is_rare,_price
Nhật Bản,False,Lenovo,False,ThinkPad X1 Carbon,ThinkPad X1 Carbon,8.0,256.0,13.95,8.0,256.0,Unknown,,8.0,256.0,13.95,False,False,False,False,False,False,Intel,Mid,False,Integrated - Intel,False,,Manufacturer,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Lenovo,ThinkPad X1 Carbon,False,False,5000000.0
Unknown,True,Dell,False,Precision 15 3000,Precision 15 3000,8.0,256.0,13.95,16.0,256.0,Unknown,,8.0,256.0,13.95,False,False,False,False,False,False,Intel,Entry,False,Integrated - Intel,False,3.0,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Dell,Other,False,True,10000000.0
Nhật Bản,False,Toshiba,False,Dòng Khác,Dòng Khác,8.0,250.0,15.95,,,Unknown,,8.0,250.0,15.95,False,False,False,False,False,False,Intel,Upper-mid,False,Integrated - Intel,False,,Manufacturer,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Toshiba,Dòng Khác,False,False,3700000.0
Unknown,True,HP,False,Pavilion 14,Pavilion 14,8.0,127.0,13.95,8.0,128.0,i3-6006u,,8.0,127.0,13.95,False,False,False,False,False,False,Intel,Entry,False,Integrated - Intel,False,1.0,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,HP,Other,False,True,2800000.0
Unknown,True,Dell,False,Latitude,Latitude,8.0,128.0,15.95,8.0,128.0,Unknown,15.6,8.0,128.0,15.95,False,False,False,False,False,False,Intel,Mid,False,Integrated - Intel,False,6.0,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Dell,Latitude,False,False,4900000.0
Việt Nam,False,Acer,False,Aspire 7,Aspire 7,16.0,512.0,15.95,16.0,512.0,i5-12450h,,16.0,512.0,15.95,False,False,False,False,False,False,Intel,Mid,False,Dedicated - Other/Entry,False,,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Acer,Other,False,True,12990000.0
Unknown,True,Apple,False,MacBook Air M2,MacBook Air M2,16.0,256.0,13.95,16.0,256.0,m2,13.0,16.0,256.0,13.95,False,False,False,False,False,False,Apple,Mid,True,Missing,False,,Manufacturer,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Apple,MacBook Air M2,False,False,18000000.0
Unknown,True,MSI,False,Cyborg 15,Cyborg 15,16.0,512.0,15.95,16.0,512.0,i5-12450h,15.6,16.0,512.0,15.95,False,False,False,False,False,False,Intel,Mid,False,Dedicated - Other/Entry,False,,Manufacturer,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,MSI,Other,False,True,15000000.0
Other,False,HP,False,Dòng Khác,Dòng Khác,4.0,128.0,15.95,4.0,128.0,i3 8130u,15.6,4.0,128.0,15.95,False,False,False,False,False,False,Intel,Entry,False,Integrated - Intel,False,1.0,Active,True,SSD,False,Mới,False,False,HP,Dòng Khác,False,False,2300000.0
Việt Nam,False,HP,False,Dòng Khác,Dòng Khác,8.0,256.0,15.95,8.0,256.0,Unknown,,8.0,256.0,15.95,False,False,False,False,False,False,Intel,Entry,False,Dedicated - Other/Entry,False,3.0,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,HP,Dòng Khác,False,False,4500000.0
Mỹ,False,Apple,False,MacBook,MacBook,8.0,256.0,11.95,,,Unknown,12.0,8.0,256.0,11.95,False,False,False,False,False,False,Apple,Mid,False,Integrated - Intel,False,0.0,Expired,False,SSD,False,Mới,False,True,Apple,Other,False,True,4000000.0
Mỹ,False,Dell,False,Dòng Khác,Latitude,8.0,256.0,13.95,8.0,256.0,Unknown,14.0,8.0,256.0,13.95,False,False,False,False,False,False,Intel,Mid,False,Integrated - Intel,False,3.0,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Dell,Dòng Khác,False,False,7000000.0
Unknown,True,MSI,False,Prestige 15,Prestige 15,16.0,512.0,,16.0,512.0,i7-10710u,,16.0,512.0,,False,False,True,False,False,False,Intel,Upper-mid,False,Dedicated - Other/Entry,False,,Manufacturer,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,MSI,Other,False,True,8600000.0
Unknown,True,Apple,False,MacBook Pro,MacBook Pro,16.0,256.0,13.95,,,Unknown,13.0,16.0,256.0,13.95,False,False,False,False,False,False,Intel,Mid,True,Missing,False,,Manufacturer,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Apple,MacBook Pro,False,False,11000000.0
Unknown,True,Dell,False,Vostro 15 3000,Vostro 15 3000,8.0,480.0,15.95,,,Unknown,,8.0,480.0,15.95,False,False,False,False,False,False,Intel,Entry,False,Integrated - Intel,False,,Manufacturer,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Dell,Other,False,True,5500000.0
Unknown,True,Apple,False,Macbook air m4,Macbook air m4,16.0,256.0,13.95,16.0,256.0,m4,13.3,16.0,256.0,13.95,False,False,False,False,False,False,Apple,Mid,True,Missing,False,6.0,Active,True,Unknown,False,Đã sử dụng (chưa sửa chữa),False,False,Apple,Macbook air m4,False,False,21950000.0
Mỹ,False,Acer,False,Aspire 5 Pro,Aspire 5 Pro,8.0,512.0,13.95,8.0,,Unknown,,8.0,512.0,13.95,False,False,False,False,False,False,Intel,Mid,False,Dedicated - Other/Entry,False,12.0,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Acer,Other,False,True,2700000.0
Unknown,True,Gigabyte,False,GYGABYTE Gaming,GYGABYTE Gaming,8.0,,,8.0,,i7-8750h,,8.0,,,False,True,True,False,True,False,Intel,Upper-mid,False,Dedicated - Other/Entry,False,0.0,Expired,False,Unknown,False,Đã sử dụng (chưa sửa chữa),False,False,Other,Other,True,True,3500000.0
