shop_1_name,product_id,spec_key,brand_clean,cpu_model_clean,ram_gb_clean,storage_gb_clean,screen_size_clean,shop_2_name,shop_3_name,shop_1_price_clean,shop_2_price_clean,shop_3_price_clean,price_median,price_spread_clean_pct,flag_price_spread_warn,flag_price_spread_critical,sample_group,shop_1_price_relative_outlier,shop_2_price_relative_outlier,shop_3_price_relative_outlier,shop_1_price_domain_outlier,shop_2_price_domain_outlier,shop_3_price_domain_outlier,Kích thước (inch),screen_size_outlier,Dung lượng RAM,ram_capacity_outlier,Hãng sản xuất,brand_grouped
shopee.vn,535,HP|N4020|4.0|128.0|14.0,HP,N4020,4.0,128.0,14.0,dienmaytrananh.com,vitinhthienlong.com,7500000.0,4100000.0,4350000.0,4350000.0,0.7816091954022989,True,True,critical_price_spread_rows,,,,,,,,,,,,
laptopnow.vn,802,ASUS|1135G7|8.0|512.0|14.0,ASUS,1135G7,8.0,512.0,14.0,anp.com.vn,maytinhf5.vn,20000000.0,31490000.0,32100000.0,31490000.0,0.3842489679263258,True,False,warn_price_spread_rows,,,,,,,,,,,,
laptopxaydung.com,4345,Lenovo|5300U|8.0|256.0|14.0,Lenovo,5300U,8.0,256.0,14.0,saolaptop.vn,thegioilaptop24h.com,8500000.0,10200000.0,11900000.0,10200000.0,0.3333333333333333,True,False,warn_price_spread_rows,,,,,,,,,,,,
hungphuc.vn,1555,HP|1235U|8.0|256.0|15.6,HP,1235U,8.0,256.0,15.6,tinhocsangtao.vn,cameranhapkhau.com,12680000.0,14690000.0,17853103.0,14690000.0,0.3521513274336283,True,False,warn_price_spread_rows,,,,,,,,,,,,
duyhai.vn,2831,Dell|12800H|32.0|Unknown|14.0,Dell,12800H,32.0,,14.0,laptop3mien.vn,kinglap.vn,35900000.0,59900000.0,62000000.0,59900000.0,0.4357262103505843,True,False,warn_price_spread_rows,,,,,,,,,,,,
maytinhgiare.vn,3898,Acer|7200U|4.0|1024.0|15.6,Acer,7200U,4.0,1024.0,15.6,compro.com.vn,anhtaigroup.com,8890000.0,11450000.0,13350000.0,11450000.0,0.3895196506550218,True,False,warn_price_spread_rows,,,,,,,,,,,,
ben.com.vn,3943,HP|155H|16.0|512.0|16.0,HP,155H,16.0,512.0,16.0,cphub.vn,hitechpro.vn,34201000.0,20369000.0,29390000.0,29390000.0,0.4706362708404219,True,False,warn_price_spread_rows,,,,,,,,,,,,
hkc.vn,2455,HP|1235U|8.0|256.0|15.6,HP,1235U,8.0,256.0,15.6,hungphuc.vn,tiki.vn,16560000.0,17190000.0,23628000.0,17190000.0,0.4111692844677138,True,False,warn_price_spread_rows,,,,,,,,,,,,
hoanghamobile.com,1238,ASUS|13500H|16.0|512.0|14.0,ASUS,13500H,16.0,512.0,14.0,hacom.vn,kimlongcenter.com,17690000.0,10999000.0,15400000.0,15400000.0,0.4344805194805194,True,False,warn_price_spread_rows,,,,,,,,,,,,
tinhocsangtao.vn,4052,ASUS|1335U|16.0|512.0|16.0,ASUS,1335U,16.0,512.0,16.0,dienmayxanh.com,vodien.vn,14790000.0,15490000.0,11000000.0,14790000.0,0.3035835023664638,True,False,warn_price_spread_rows,,,,,,,,,,,,
shopee.vn,3971,Lenovo|7435HS|12.0|512.0|15.6,Lenovo,7435HS,12.0,512.0,15.6,eaz.com.vn,tymo.vn,29990000.0,22699000.0,22790000.0,22790000.0,0.3199210179903466,True,False,warn_price_spread_rows,,,,,,,,,,,,
laptopbinhduongvtc.vn,1283,MSI|4600H|8.0|512.0|17.3,MSI,4600H,8.0,512.0,17.3,compro.com.vn,mylook.vn,,23490000.0,24739000.0,24114500.0,0.0517945634369362,False,False,relative_price_nulled_rows,True,False,False,,,,,,,,,
phucquangcomputer.com,3234,HP|8265U|4.0|1024.0|15.6,HP,8265U,4.0,1024.0,15.6,compro.com.vn,dienmayxanhbantragop.com,,14400000.0,15190000.0,14795000.0,0.0533964177086853,False,False,relative_price_nulled_rows,True,False,False,,,,,,,,,
laptop36.vn,3849,Dell|7020U|4.0|1024.0|14.0,Dell,7020U,4.0,1024.0,14.0,laptopfull.com,thanhxuancomputer.com,,8790000.0,9500000.0,9145000.0,0.0776380535811919,False,False,relative_price_nulled_rows,True,False,False,,,,,,,,,
lap24h.vn,883,HP|7200U|4.0|500.0|13.3,HP,7200U,4.0,500.0,13.3,compro.com.vn,tic.vn,,14650000.0,14900000.0,14775000.0,0.0169204737732656,False,False,relative_price_nulled_rows,True,False,False,,,,,,,,,
laptopfull.com,3323,HP|7100U|Unknown|1024.0|15.6,HP,7100U,,1024.0,15.6,compro.com.vn,vitinhgiaphuc.com,8825000.0,10900000.0,,9862500.0,0.2103929024081115,False,False,relative_price_nulled_rows,False,False,True,,,,,,,,,
cameranhapkhau.com,297,ASUS|8265U|8.0|256.0|13.3,ASUS,8265U,8.0,256.0,13.3,laptopthunguyen.com,mylook.vn,20440000.0,,21209000.0,20824500.0,0.0369276573267065,False,False,relative_price_nulled_rows,False,True,False,,,,,,,,,
cameranhapkhau.com,1216,Dell|7200U|4.0|1024.0|15.6,Dell,7200U,4.0,1024.0,15.6,lap24h.vn,sondat.vn,16710500.0,,15700000.0,16205250.0,0.0623563351383039,False,False,relative_price_nulled_rows,False,True,False,,,,,,,,,
maytinhquanganh.com,4042,HP|8265U|4.0|1024.0|14.0,HP,8265U,4.0,1024.0,14.0,laptopfull.com,dtex.vn,,13539000.0,14450000.0,13994500.0,0.0650970023937975,False,False,relative_price_nulled_rows,True,False,False,,,,,,,,,
hkc.vn,231,Dell|7020U|4.0|1024.0|15.6,Dell,7020U,4.0,1024.0,15.6,laptop36.vn,sondat.vn,9260000.0,,9450000.0,9355000.0,0.0203099946552645,False,False,relative_price_nulled_rows,False,True,False,,,,,,,,,
eaz.com.vn,2361,Lenovo|13420H|8.0|512.0|14.0,Lenovo,13420H,8.0,512.0,14.0,compro.vn,tnc.com.vn,14499000.0,14890000.0,,14694500.0,0.0266085950525706,False,False,relative_price_nulled_rows,False,False,True,,,,,,,,,
ben.com.vn,432,HP|255H|32.0|1024.0|16.0,HP,255H,32.0,1024.0,16.0,trieubom.com,mazo.vn,,27000000.0,27000000.0,27000000.0,0.0,False,False,domain_price_nulled_rows,,,,True,False,False,,,,,,
tevewo.com,752,Apple|8-CORE CPU|24.0|256.0|15.3,Apple,8-CORE CPU,24.0,256.0,15.3,tinphatapple.vn,uristore.com.vn,42190000.0,42500000.0,,42345000.0,0.0073208170976502,False,False,domain_price_nulled_rows,,,,False,False,True,,,,,,
nnkk.vn,1614,Lenovo|9300H|8.0|1024.0|15.6,Lenovo,9300H,8.0,1024.0,15.6,owlgaming.vn,trancuong.vn,16590000.0,16790000.0,,16690000.0,0.011983223487118,False,False,domain_price_nulled_rows,,,,False,False,True,,,,,,
hungphuc.vn,2927,HP|1255U|16.0|512.0|14.0,HP,1255U,16.0,512.0,14.0,tinhocsangtao.vn,cameranhapkhau.com,22190000.0,24590000.0,,23390000.0,0.102607952116289,False,False,domain_price_nulled_rows,,,,False,False,True,,,,,,
tinhocsangtao.vn,4067,Unknown|1135G7|8.0|Unknown|Unknown,Unknown,1135G7,8.0,,,laptoptld.com,tinhocannhon.com,21490000.0,16000000.0,19000000.0,19000000.0,0.2889473684210526,False,False,screen_size_outlier_nulled_rows,,,,,,,306.5,True,,,,
eaz.com.vn,5,Unknown|13980HX|64.0|4096.0|Unknown,Unknown,13980HX,64.0,4096.0,,laptopre.vn,robo.vn,96599000.0,98190000.0,101990000.0,98190000.0,0.0549037580201649,False,False,screen_size_outlier_nulled_rows,,,,,,,380.0,True,,,,
tinhocsangtao.vn,3707,Unknown|1355U|Unknown|Unknown|Unknown,Unknown,1355U,,,,hungphuc.vn,shopee.vn,16990000.0,17690000.0,23890000.0,17690000.0,0.3900508762012436,True,False,screen_size_outlier_nulled_rows,,,,,,,358.5,True,,,,
hnammobile.com,1060,Unknown|UNKNOWN|16.0|Unknown|Unknown,Unknown,UNKNOWN,16.0,,,hkc.vn,dienmayxanh.com,37999000.0,40900000.0,46590000.0,40900000.0,0.2100488997555012,False,False,screen_size_outlier_nulled_rows,,,,,,,304.1,True,,,,
hopthanhthinh.com,481,Unknown|11400H|8.0|Unknown|Unknown,Unknown,11400H,8.0,,,sp-one.vn,laptopgaming.vn,17990000.0,17990000.0,22800000.0,17990000.0,0.2673707615341856,False,False,screen_size_outlier_nulled_rows,,,,,,,363.4,True,,,,
laptopnhatrang.com,4229,Unknown|12450H|8.0|Unknown|Unknown,Unknown,12450H,8.0,,,huynhlongstore.com,dienmaynguyenduc.vn,16990000.0,17900000.0,18990000.0,17900000.0,0.1117318435754189,False,False,screen_size_outlier_nulled_rows,,,,,,,398.0,True,,,,
tinhocsangtao.vn,455,Unknown|13650HX|16.0|Unknown|Unknown,Unknown,13650HX,16.0,,,hungphuc.vn,3bcomputer.com,30390000.0,37350000.0,28490000.0,30390000.0,0.2915432708127674,False,False,screen_size_outlier_nulled_rows,,,,,,,26.15,True,,,,
muabandienthoai24h.vn,751,Unknown|8 CORES|8.0|Unknown|Unknown,Unknown,8 CORES,8.0,,,akbroshop.com,tystore.vn,30500000.0,30500000.0,30990000.0,30500000.0,0.0160655737704918,False,False,screen_size_outlier_nulled_rows,,,,,,,304.1,True,,,,
shopee.vn,173,Unknown|1215U|8.0|Unknown|Unknown,Unknown,1215U,8.0,,,kigimart.com,anphatcomputer.vn,13190000.0,12690000.0,12850000.0,12850000.0,0.0389105058365758,False,False,screen_size_outlier_nulled_rows,,,,,,,359.4,True,,,,
sondat.vn,3629,Unknown|1135G7|8.0|Unknown|Unknown,Unknown,1135G7,8.0,,,xrazer.vn,duyhungcomputer.vn,16590000.0,16990000.0,18300000.0,16990000.0,0.1006474396703943,False,False,screen_size_outlier_nulled_rows,,,,,,,358.5,True,,,,
dienmayxanh.com,1762,Apple|8‑CORE CPU|Unknown|Unknown|15.6,Apple,8‑CORE CPU,,,15.6,mac24h.vn,eaz.com.vn,35090000.0,36500000.0,40699000.0,36500000.0,0.1536712328767123,False,False,ram_outlier_nulled_rows,,,,,,,,,512.0,True,,
hkc.vn,2423,HP|8845HS|Unknown|512.0|16.1,HP,8845HS,,512.0,16.1,ben.com.vn,dinhvangcomputer.vn,33200000.0,39318000.0,27890000.0,33200000.0,0.3442168674698795,True,False,ram_outlier_nulled_rows,,,,,,,,,5600.0,True,,
cameranhapkhau.com,414,Unknown|8565U|8.0|Unknown|14.0,Unknown,8565U,8.0,,14.0,laptopfull.com,laptop36.vn,25470000.0,22790000.0,25450000.0,25450000.0,0.1053045186640471,False,False,unknown_brand_rows,,,,,,,,,,,,Unknown
hkc.vn,789,Unknown|11980HK|64.0|2048.0|Unknown,Unknown,11980HK,64.0,2048.0,,eaz.com.vn,mylook.vn,99990000.0,104900000.0,111089000.0,104900000.0,0.1058055290753098,False,False,unknown_brand_rows,,,,,,,,,,,,Unknown
cellphones.com.vn,3680,Unknown|1340P|16.0|Unknown|16.0,Unknown,1340P,16.0,,16.0,shopee.vn,hkc.vn,13990000.0,16400000.0,18550000.0,16400000.0,0.2780487804878049,False,False,unknown_brand_rows,,,,,,,,,,,,Unknown
