Hãng sản xuất,Công nghệ CPU,Loại CPU,Dung lượng RAM,Loại RAM,Loại ổ cứng,Dung lượng ổ cứng (GB),Đồ họa đã làm sạch,Kích thước (inch),shop_1_price,shop_1_name,shop_2_price,shop_2_name,shop_3_price,shop_3_name,shop_1_price_domain_outlier,shop_1_price_domain,shop_1_price_clean,shop_2_price_domain_outlier,shop_2_price_domain,shop_2_price_clean,shop_3_price_domain_outlier,shop_3_price_domain,shop_3_price_clean,price_row_median_domain,shop_1_price_relative_outlier,shop_2_price_relative_outlier,shop_3_price_relative_outlier,n_prices_raw,n_prices_clean,price_median,price_min_clean,price_max_clean,price_spread_clean_pct,flag_price_spread_warn,flag_price_spread_critical,log_price_median,price_segment,brand_clean,brand_grouped,brand_is_rare,screen_size_clean,screen_size_outlier,screen_size_group,cpu_brand,cpu_tier,cpu_model_clean,ram_gb_clean,ram_capacity_outlier,ram_tier_clean,ram_type_clean,storage_type_clean,storage_gb_clean,storage_gb_outlier,storage_tier_clean,gpu_brand,gpu_tier_v2,product_id,spec_key,is_soft_duplicate_spec,high_end_config_flag,brand_screen_cell_n,low_count_brand_screen_cell,cpu_ram_cell_n,gpu_ram_cell_n,low_count_cpu_ram_cell,low_count_gpu_ram_cell,quarantine_reason
,Intel Core i5,1235U,8.0,,,,Intel Iris Xe,20.77,20170000,hkc.vn,18499000,eaz.com.vn,18600000.0,vietmob.com,False,20170000.0,20170000.0,False,18499000,18499000.0,False,18600000.0,18600000.0,18600000.0,False,False,False,3,3,18600000.0,18499000.0,20170000.0,0.0898387096774193,False,False,16.73867219244687,mid,Unknown,Unknown,False,20.77,False,>=17in,Intel,Mid-range,1235U,8.0,False,<=8GB,Unknown,Unknown,,False,Unknown,Intel,Intel Integrated,847,Unknown|1235U|8.0|Unknown|20.77,True,False,12,False,1774,1101,False,False,unhandled impossible screen_size_clean
Acer,Intel Core Ultra 9,275HX,192.0,DDR5,SSD,6144.0,RTX 5090,18.0,149290000,dienmayxanh.com,133999000,eaz.com.vn,144990000.0,laptopnew.vn,False,149290000.0,149290000.0,False,133999000,133999000.0,False,144990000.0,144990000.0,144990000.0,False,False,False,3,3,144990000.0,133999000.0,149290000.0,0.1054624456859093,False,False,18.792175339386404,high_end,Acer,Acer,False,18.0,False,>=17in,Intel,High-end,275HX,192.0,False,>32GB,DDR5,SSD,6144.0,False,>2TB,NVIDIA,RTX 5000,981,Acer|275HX|192.0|6144.0|18.0,False,True,2,True,50,16,False,True,unhandled impossible ram_gb_clean
,Intel Core i5,1235U,8.0,,,,Intel Iris Xe,20.77,23590000,tinhocsangtao.vn,20299000,eaz.com.vn,20990000.0,compumax.com.vn,False,23590000.0,23590000.0,False,20299000,20299000.0,False,20990000.0,20990000.0,20990000.0,False,False,False,3,3,20990000.0,20299000.0,23590000.0,0.156788947117675,False,False,16.85955673943855,mid,Unknown,Unknown,False,20.77,False,>=17in,Intel,Mid-range,1235U,8.0,False,<=8GB,Unknown,Unknown,,False,Unknown,Intel,Intel Integrated,1051,Unknown|1235U|8.0|Unknown|20.77,True,False,12,False,1774,1101,False,False,unhandled impossible screen_size_clean
,Intel Core i5,1035G1,4.0,,,,Unknown,22.7,14480000,sondat.vn,14590000,maytinhbienhoa.vn,14590000.0,sieuviethd.com,False,14480000.0,14480000.0,False,14590000,14590000.0,False,14590000.0,14590000.0,14590000.0,False,False,False,3,3,14590000.0,14480000.0,14590000.0,0.0075394105551747,False,False,16.495846989039062,low,Unknown,Unknown,False,22.7,False,>=17in,Intel,Mid-range,1035G1,4.0,False,<=8GB,Unknown,Unknown,,False,Unknown,Other,Unknown,1872,Unknown|1035G1|4.0|Unknown|22.7,False,False,12,False,1774,153,False,False,unhandled impossible screen_size_clean
,Intel Core i7,8750H,8.0,DDR4,SSD + HDD,1152.0,Unknown,24.95,26859000,laptopfull.com,29155000,osc.vn,31090000.0,sanpham.microstar.vn,False,26859000.0,26859000.0,False,29155000,29155000.0,False,31090000.0,31090000.0,29155000.0,False,False,False,3,3,29155000.0,26859000.0,31090000.0,0.1451209055050591,False,False,17.188137016937826,mid,Unknown,Unknown,False,24.95,False,>=17in,Intel,Upper-mid,8750H,8.0,False,<=8GB,DDR4,SSD + HDD,1152.0,False,2TB,Other,Unknown,2447,Unknown|8750H|8.0|1152.0|24.95,False,True,12,False,1774,153,False,False,unhandled impossible screen_size_clean
Lenovo,Ultra 5,125H,16.0,DDR5,SSD,16.0,RTX 500,16.0,31490000,tnc.com.vn,35599000,eaz.com.vn,35990000.0,khothietbi.vn,False,31490000.0,31490000.0,False,35599000,35599000.0,False,35990000.0,35990000.0,35599000.0,False,False,False,3,3,35599000.0,31490000.0,35990000.0,0.1264080451698081,False,False,17.387828133630766,high,Lenovo,Lenovo,False,16.0,False,16-16.9in,Unknown,Unknown,125H,16.0,False,16GB,DDR5,SSD,16.0,False,<=256GB,NVIDIA,Other RTX,3066,Lenovo|125H|16.0|16.0|16.0,False,True,184,False,37,239,False,False,unhandled impossible storage_gb_clean
Lenovo,Ultra 9,285H,32.0,DDR5,SSD,1024.0,Intel Arc Graphics,2.14,67790000,dienmayxanh.com,70389000,ben.com.vn,39899000.0,cphub.vn,False,67790000.0,67790000.0,False,70389000,70389000.0,False,39899000.0,39899000.0,67790000.0,False,False,False,3,3,67790000.0,39899000.0,70389000.0,0.4497713527068889,True,False,18.031925264158588,high_end,Lenovo,Lenovo,False,2.14,False,<13in,Unknown,Unknown,285H,32.0,False,32GB,DDR5,SSD,1024.0,False,1TB,Intel,Intel Integrated,4126,Lenovo|285H|32.0|1024.0|2.14,False,True,6,True,27,162,False,False,unhandled impossible screen_size_clean
