experiment_type,experiment_name,model_name,target_used,tuning_stage,evaluation_scale,n_features,train_rows,valid_rows,test_rows,train_time_sec,predict_time_sec,best_iteration,valid_mae,valid_rmse,valid_r2,valid_mape,valid_mape_pct,valid_median_ae,valid_max_error,stage_number,stage_best_rank_metric,valid_log_scale_mae,valid_log_scale_rmse,valid_log_scale_r2,valid_log_scale_mape,valid_log_scale_mape_pct,valid_log_scale_median_ae,valid_log_scale_max_error,test_mae,test_rmse,test_r2,test_mape,test_mape_pct,test_median_ae,test_max_error,test_log_scale_mae,test_log_scale_rmse,test_log_scale_r2,test_log_scale_mape,test_log_scale_mape_pct,test_log_scale_median_ae,test_log_scale_max_error
exploration_result,lgbm_price_4_sampling_randomness_0,LightGBM,target_price,stage_4_sampling_randomness,target_price,86,4377,1459.0,1460,6.117096400001174,0.045830799997929716,1492.0,3.2739087557687174,5.452486263669648,0.8732601633585672,0.30239149157608386,30.239149157608384,1.8516498853961716,51.56126129355167,,,,,,,,,,,,,,,,,,,,,,,
exploration_result,lgbm_price_4_sampling_randomness_1,LightGBM,target_price,stage_4_sampling_randomness,target_price,86,4377,1459.0,1460,5.554384499999287,0.03438509999978123,1235.0,3.280444628944831,5.441294471798995,0.8737799226212134,0.30448711986620924,30.448711986620925,1.85995640937006,52.02505666669748,,,,,,,,,,,,,,,,,,,,,,,
exploration_result,lgbm_price_4_sampling_randomness_2,LightGBM,target_price,stage_4_sampling_randomness,target_price,86,4377,1459.0,1460,4.88850309999907,0.03562470000179019,1093.0,3.286766800688264,5.443791651353522,0.8736640433853244,0.30483459985038003,30.483459985038003,1.8847105769635562,52.66313251912824,,,,,,,,,,,,,,,,,,,,,,,
exploration_result,lgbm_price_4_sampling_randomness_3,LightGBM,target_price,stage_4_sampling_randomness,target_price,86,4377,1459.0,1460,5.596716700001707,0.03276410000034957,1006.0,3.3023440488876132,5.475026954592213,0.8722101071496351,0.30698915556602535,30.698915556602536,1.8950914671376298,52.07991545793068,,,,,,,,,,,,,,,,,,,,,,,
stage_best_result,lgbm_price_4_sampling_randomness_0,LightGBM,target_price,stage_4_sampling_randomness,target_price,86,4377,1459.0,1460,6.117096400001174,0.045830799997929716,1492.0,3.2739087557687174,5.452486263669648,0.8732601633585672,0.30239149157608386,30.239149157608384,1.8516498853961716,51.56126129355167,4.0,valid_mae,,,,,,,,,,,,,,,,,,,,,
exploration_result,lgbm_log_1_learning_rate_estimators_0,LightGBM,log_target_price,stage_1_learning_rate_estimators,target_price,86,4377,1459.0,1460,0.8917050999989442,0.00509299999976065,125.0,3.244872867154806,5.660512462866422,0.8634047854633047,0.2749435704527883,27.49435704527883,1.7286858902258473,47.222577291531366,,,0.22046192470867831,0.29648281051007525,0.8598029049393283,0.10990492060853538,10.990492060853537,0.168831520839841,1.5027749016415983,,,,,,,,,,,,,,
exploration_result,lgbm_log_1_learning_rate_estimators_1,LightGBM,log_target_price,stage_1_learning_rate_estimators,target_price,86,4377,1459.0,1460,1.3874895999979344,0.006283400001848349,240.0,3.2328993427095596,5.646288892475323,0.8640903879299408,0.2745142009779005,27.451420097790052,1.7278041335889753,48.846233011134544,,,0.2199941625129902,0.2945077099057734,0.8616646050040515,0.10982647579591463,10.982647579591463,0.168478263334916,1.5125610306072834,,,,,,,,,,,,,,
exploration_result,lgbm_log_1_learning_rate_estimators_2,LightGBM,log_target_price,stage_1_learning_rate_estimators,target_price,86,4377,1459.0,1460,1.6000601000014285,0.008702399998583132,296.0,3.2548189075139735,5.729331442079986,0.8600632199400784,0.27565828757768934,27.565828757768934,1.747353778436759,53.1269068950274,,,0.22094782236510518,0.2953353766402978,0.8608859735009328,0.11019483680088712,11.019483680088712,0.17391899384746345,1.5029143452563516,,,,,,,,,,,,,,
exploration_result,lgbm_log_1_learning_rate_estimators_3,LightGBM,log_target_price,stage_1_learning_rate_estimators,target_price,86,4377,1459.0,1460,5.034276700000191,0.028098600003431784,1100.0,3.2294591707743416,5.655231201719579,0.8636595533745665,0.2741962625509503,27.419626255095032,1.7409866753789522,50.783424170946404,,,0.21987290906630808,0.2944384153517137,0.8617296950608155,0.10973287216876494,10.973287216876495,0.17000833783830793,1.507414650887871,,,,,,,,,,,,,,
stage_best_result,lgbm_log_1_learning_rate_estimators_3,LightGBM,log_target_price,stage_1_learning_rate_estimators,target_price,86,4377,1459.0,1460,5.034276700000191,0.028098600003431784,1100.0,3.2294591707743416,5.655231201719579,0.8636595533745665,0.2741962625509503,27.419626255095032,1.7409866753789522,50.783424170946404,1.0,valid_mae,0.21987290906630808,0.2944384153517137,0.8617296950608155,0.10973287216876494,10.973287216876495,0.17000833783830793,1.507414650887871,,,,,,,,,,,,,,
