mae,rmse,r2,mape,median_ae,max_error,model_name,model_type,target_used,evaluation_scale
0.3230503950140101,0.4259489099821144,0.7723226605161518,0.02029117466224243,0.25575909326052937,2.410540531725186,Linear Regression,linear,log_target_price,log_target_price
0.3230601851631188,0.4258577323977199,0.7724201221953868,0.020294792605462585,0.2522157137849348,2.3867843339394312,Ridge,linear,log_target_price,log_target_price
0.32370237055899415,0.4266663549271282,0.7715550401844481,0.02033446433333053,0.2542374412168229,2.3537060998321238,Lasso,linear,log_target_price,log_target_price
0.32336665659565234,0.42628072237218506,0.7719678029946156,0.020314421336736107,0.2514006677279568,2.367934489161744,ElasticNet,linear,log_target_price,log_target_price
0.269339674501912,0.36847840634258644,0.829615976319922,0.016942517144750067,0.20244907244863342,1.8988976556767465,Random Forest,tree_ensemble,log_target_price,log_target_price
0.29225727218769004,0.3999992071441577,0.7992187995937928,0.01837330508220102,0.21355690949779316,1.9787024747334598,Extra Trees,tree_ensemble,log_target_price,log_target_price
0.2579241929408446,0.3505701251561622,0.8457750661006077,0.016216245617629774,0.1948469475125023,1.6504157922309517,LightGBM,gradient_boosting,log_target_price,log_target_price
0.25666515026946085,0.34439481967803126,0.8511605673384992,0.016148743723790743,0.19666887159971047,1.6902753330831572,CatBoost,gradient_boosting,log_target_price,log_target_price
