Hãng sản xuất,Hệ điều hành,Chất liệu vỏ,Công nghệ CPU,Loại CPU,Tốc độ CPU,Tốc độ tối đa,Loại RAM,Dung lượng RAM,Loại ổ cứng,Dung lượng ổ cứng,Kích thước,Độ phân giải,Công nghệ màn hình,Bộ xử lý,Kiểu card đồ họa,Công nghệ âm thanh,Cổng giao tiếp,Kết nối không dây,Webcam,Tính năng khác,Kích thước_2,Trọng lượng,source_url,shop_1_name,shop_1_price,shop_1_link,shop_2_name,shop_2_price,shop_2_link,shop_3_name,shop_3_price,shop_3_link,Tốc độ bus,Hỗ trợ RAM tối đa,Đèn bàn phím,Dung lượng,Khe thẻ nhớ,Loại Pin,Dung lượng VGA
Dell,Windows 11 Home,,Intel Core i5,13420H,,4.6 GHz,LPDDR5,16 GB,SSD,512GB,14 inch,QHD+ (2560 x 1600),"165Hz, 3ms, 300nits",Nvidia GeForce RTX 3050,Card rời,,"USB-A 3.2 Gen 1, USB-C 3.2 Gen 2, USB-C Thunderbolt 4, HDMI 2.1","Wifi 802.11ax, Bluetooth 5.3",HD Webcam,TPM 2.0,14.50 x 321.08 x 260.41 mm,1.91 kg,https://websosanh.vn/laptop-dell-alienware-x14-r2-2023-intel-core-i5-13420h/1621337353/so-sanh.htm,hungphatlaptop.com,32500000,https://hungphatlaptop.com/alienware-x14-r2-2023/,kinglap.vn,33490000,https://kinglap.vn/alienware-x14-r2-gaming-laptop/,laptop15.vn,35000000,https://laptop15.vn/dell-alienware-x14-r2/,4800 MHz,,,6 cell,Micro SD,,6 GB
HP,Windows 11 Home,Kim loại,Intel Core i5,1235U,1.3 GHz,4.4 GHz,DDR4,8 GB,SSD,512GB,14 inch,Full HD (1920 x 1080),Tấm nền IPS,Intel Iris Xe Graphics,Card tích hợp,"HP Audio Boost, Bang & Olufsen audio","1 x USB Type-C, 2 x USB Type-A, 1 x HDMI 2.1","Wifi 802.11ax, Bluetooth 5.2",HD Webcam,"Màn hình gập 360 độ, Bảo mật vân tay, Công tắc khóa camera",322 x 210 x 19.9 mm,1.51 kg,https://websosanh.vn/laptop-hp-pavilion-x360-14-ek0056tu-6l294pa-intel-core-i5-1235u/1588695564/so-sanh.htm,hungphuc.vn,20850000,https://www.hungphuc.vn/laptop-hp/laptop-hp-pavilion-x360-14ek0056tu-6l294pa,huynhgiastore.com,12990000,https://huynhgiastore.com/hp-pavilion-x360-14-ek0056tu/,ttcenter.com.vn,15490000,https://ttcenter.com.vn/hp-pavilion-2-in-1-14-ek0056tu-core-i5-1235u-ram-8gb-ssd-512gb-14-fhd,3200 MHz,,Có,3 cell,Micro SD,,
Asus,Windows 10 Home,Kim loại,Intel Core i5,1135G7,0.9 GHz,4.2 GHz,DDR4,8 GB,SSD,512GB,15.6 inch,Full HD (1920 x 1080),"IPS, Anti-Glare",Intel Iris Xe Graphics,Card tích hợp,Harman Kardon,"1x Type-A USB 3.2 Gen 1, 1x Type-C USB 3.2, 2x USB 2.0 port(s), 1x HDMI 1.4",Wifi 802.11 AX Bluetooth v5.0,Harman Kardon,Bảo mật vân tay,359 x 235 x 17.9 mm,1.7 kg,https://websosanh.vn/laptop-asus-vivobook-a515ea-bq498t-intel-core-i5-1135g7-8gb-ram/1054560547/so-sanh.htm,laptop43.vn,12500000,https://laptop43.vn/laptop-asus-vivobook-a515ea-bq498t-i5-1135g7-ram-8gb-ssd-512g-intel-iris-xe-win10-full-box-1372915.html,compro.com.vn,16600000,http://compro.com.vn/laptop-asus-vivobook-a515ea-bq498t.html,mscshop.vn,17680000,https://mscshop.vn/san-pham/laptop-asus-vivobook-a515ea-bq498t-bac-cpu-i5-1135g7-ram-8g-ssd-512gb-15-6-inch-fhd-win10/,2666 MHz,12 GB,Không,3 cell,Micro SD,Pin liền,
Lenovo,Windows 11 Home,,Intel core i7,13700H,,5.0 GHz,DDR5,16 GB,SSD,1TB,16 inch,WQXGA (2560 x 1600),"Tấm nền IPS, Chống chói Anti-Glare",Nvidia GeForce RTX 4060,Card rời,,"2 x USB-A 3.2 Gen 2, HDMI 2.1","Wifi 802.11ax, Bluetooth 5.1",HD Webcam,,,2.4 kg,https://websosanh.vn/laptop-lenovo-legion-slim-5-2023-y7000p-intel-core/1398326028/so-sanh.htm,laptopk1.vn,24990000,https://laptopk1.vn/legion-slim-5-2023-16irh8-y7000p-core-i7-13700h-rtx-4060-16-2k-165hz,laptop15.vn,27800000,https://laptop15.vn/lenovo-legion-slim-5-y7000p/,lamanhgroup.vn,29000000,https://lamanhgroup.vn/laptop-moi/lenovo-legion-slim-5-y7000p-2023-core-i7-13700h-16gb-1tb-16-0-2-5k-165hz-rtx-4060-8g-grey,5200 MHz,,Có,4 cell,SD,,8 GB
Apple,Mac OS,,Intel Core i5,,1.6 GHz,3.6 GHz,LPDDR3,8 GB,SSD,256GB,13.3 inch,,LED,Intel Graphics UHD 617,Card tích hợp,,USB-C 3.1 Gen 2,"Wifi 802.11a/b/g/n, Bluetooth 4.2",FaceTime HD,,304.1 x 212.4 x 4.1 mm,1.25 kg,https://websosanh.vn/laptop-apple-macbook-air-2019-intel-core-i5-8gb/2104130064/so-sanh.htm,nhatthanhstore.com,22790000,http://nhatthanhstore.com/san-pham/macbook-pro-13-2019-256gb/,pgluxury.com,24500000,https://pgluxury.com/products/macbook-air-13-retina-2019-256gb,ishop.com.vn,24590000,https://ishop.com.vn/macbook-air-13-256gb-silver-2019-p15629316.html,2133 MHz,,,,,,
Lenovo,Windows 11 Home,,AMD Ryzen 7,6800HS,3.2 GHz,4.7 GHz,LPDDR5,16 GB,SSD,512GB,14 inch,2.8K (2880x1800),"Tấm nền IPS, Chống chói Anti-Glare",AMD Radeon 680M Graphics,Card tích hợp,Dolby Audio,"1 x USB 3.2 Gen 1, 1 x USB 3.2 Gen 1 (Always On), 2 x USB-C 3.2 Gen 1, 1 x HDMI 2.0","Wifi 802.11ax, Bluetooth 5.2",IR + HD Webcam,,,1.41 kg,https://websosanh.vn/laptop-lenovo-ideapad-5-pro-14arh7-82sj0028vn-amd-ryzen/1838425462/so-sanh.htm,eaz.com.vn,20899000,https://eaz.com.vn/Lenovo-IdeaPad-5-Pro-14ARH7-(82SJ0028VN)-AMD-RyzenTM-7-6800HS-16GB-512GB-SSD-PCIe-Gen-4-AMD-RadeonTM-Graphics-680M-14-inch-2-8K-(2880-x-1800)-IPS-100-/79011,gland.vn,21299000,https://gland.vn/laptop-lenovo-ideapad-slim-5-pro-14ar7h-82sj0028vn-r7-6800hs-16gb-ram-512gb-ssd-14-2.8k-win11-xam/,techgo.com.vn,21399000,https://techgo.com.vn/laptop-lenovo-ideapad-5-pro-14arh7-82sj0028vn-xam-amd-ryzen-7-6800hs-up-to-4-7ghz-16mb-ram-16gb-512gb-ssd-amd-radeon-680m-graphi.html,6400 MHz,,,3 cell,SD,,
Dell,Windows 10 Home,Nhựa,Intel Core i3,1115G4,1.7 GHz,4.1 GHz,DDR4,4 GB,SSD,256GB,14 inch,Full HD (1920 x 1080),WVA,Intel UHD Graphics,Card tích hợp,Realtek High Definition Audio,"2 x USB 3.2, HDMI, LAN (RJ45), USB 2.0","Wifi 802.11ac, Bluetooth 5.0",HD Webcam,,328.7 x 239.5 x 19.9 mm,1.64 kg,https://websosanh.vn/laptop-dell-vostro-v3400-dyg7pa02-intel-core-i3-1115g4-ram/1215936316/so-sanh.htm,httechstore.com.vn,10467000,https://httechstore.com.vn/laptop-dell-vostro-v3400-dyg7pa02-i3-1115g4-4g-256g-freedos-140-inch-hd-den,tinhochungphat.com,10988000,https://tinhochungphat.com/san-pham/laptop-dell-vostro-v3400-dyg7pa02-i3-1115g4-4g-256g-freedos-14-0-inch-hd-den/,viethoangcomputer.com,12390000,https://viethoangcomputer.com/laptop-dell-vostro-v3400-i3-1115g4-intel-uhd-graphics-ram-4g-ssd-256g-no-os-14.0hd-den-p38908963.html,2666 MHz,16 GB,Không,3 cell,SD,,
HP,Windows 10 Home,Nhựa,Intel Core i7,1165G7,2.8 GHz,4.7 GHz,DDR4,8 GB,SSD,512GB,14 inch,Full HD (1920 x 1080),"60Hz
Tấm nền IPS
Wled-backlit",Intel Iris Xe Graphics,Card tích hợp,Bang & Olufsen audio,"2 x USB 3.1
HDMI
USB Type-C",Bluetooth 5.0Wi-Fi 802.11 a/b/g/n/ac,Có,Bảo mật vân tay,221 x 324 x 19 mm,1.65 kg,https://websosanh.vn/laptop-hp-pavilion-x360-14-dw1019tu-2h3n7pa-intel-core-i7-1165g7/273223694/so-sanh.htm,cphub.vn,16757000,https://cphub.vn/products/laptop-hp-240-g8-3d0e3pa-i5-1135g7-4gb-ram-256gb-ssd-14-fhd-dos-bac,eaz.com.vn,20300000,https://eaz.com.vn/HP-Pavilion-x360-14-dw1019TU-(2H3N7PA)-Intel-c2-ae-Tiger-Lake-CoreTM-i7-_-1165G7-8GB-512GB-SSD-PCIe-VGA-INTEL-Win-10-OFF-365-Full-HD-IPS-Touch-Screen-/76920,compro.com.vn,20970000,http://compro.com.vn/laptop-hp-pavilion-x360-14-dw1019tu-2h3n7pa-vang.html,3200 MHz,32 GB,,3 cell,SD,,
Asus,Windows 10,Nhựa,Intel Core i5,10300H,2.5 GHz,4.5 GHz,DDR4,8 GB,SSD,512GB,15.6 inch,Full HD (1920 x 1080),"IPS LCD LED Backlit, True Tone",Nvidia GeForce GTX 1650,Card rời,SonicMaster,"Jack tai nghe 3.5 mm2 x USB 3.2, HDMI, LAN (RJ45), USB 2.0, USB Type-C",Bluetooth 5.0Wi-Fi 6 (802.11ax),Có,Đèn bàn phím chuyển màu RGB,359 x 256 x 24.7 mm,2.3 kg,https://websosanh.vn/laptop-asus-tuf-gaming-f15-fx506lh-hn002t-intel-core-i5-10300h/847878254/so-sanh.htm,hungphuc.vn,15180000,https://www.hungphuc.vn/laptop-asus/laptop-asus-tuf-gaming-f15-fx506lhhn002t,lap24h.vn,12500000,https://lap24h.vn/asus-tuf-gaming-fx506lh-i5-10300h-8gb-512gb-144hz-4gb-gtx1650-hn002t.html,maytinhquanganh.com,12899000,https://maytinhquanganh.com/sp/laptop-asus-tuf-gaming-f15/,2933 MHz,32 GB,Có,3 cell,Có,Pin liền,4 GB
Asus,Windows 11 Home,Nhựa,Intel Core i5,1240P,3.3 GHz,4.4 GHz,DDR4,8 GB,SSD,256GB,14 inch,Full HD (1920 x 1080),LED,Intel Iris Xe Graphics,Card tích hợp,,"1x HDMI 1.4, 2x USB 2.0 Type-A, 1x USB 3.2 Gen 1 Type-A","Wifi 802.11ax, Bluetooth v5.0",HD Webcam,,324.9 x 213.9 x 19.9 mm,1.5 kg,https://websosanh.vn/laptop-asus-vivobook-x1402za-ek084w-intel-core-i5-1240p-8gb-ram/1513871583/so-sanh.htm,hungphuc.vn,12230000,https://www.hungphuc.vn/laptop-asus/laptop-asus-vivobook-x1402zaek084w,laptop15.vn,12500000,https://laptop15.vn/asus-vivobook-14-x1402za-ek084w/,eaz.com.vn,12799000,https://eaz.com.vn/Laptop-Asus-VivoBook-X1402ZA-EK084W-Intel-Core-i5-_-1240P-8GB-256GB-SSD-PCIe-Intel-Iris-Xe-Graphics-Win-11-14-inch-Full-HD-IPS-Finger-0622D/78308,3200 MHz,,Có,3 cell,,,
Dell,Windows 11 Home,,Intel Core i7,1255U,1.7 GHz,4.7 GHz,DDR4,16 GB,SSD,512GB,14 inch,Full HD+ (1920 x 1200),45%NTSC. WVA,Nvidia GeForce MX550,Card rời,,"1 x USB 3.2, 2 x USB Type C, 1 x HDMI","Wifi 802.11ax, Bluetooth 5.2",HD Webcam,Bảo mật vân tay,314 x 227.5 x 17.9 mm,1.6 kg,https://websosanh.vn/laptop-dell-inspiron-14-7420-1yt85-intel-core-i7-1255u/863386575/so-sanh.htm,tinhocsangtao.vn,28400000,https://tinhocsangtao.vn/san-pham/dell-inlaptop-dell-7420-1yt85-i71255u16gssd-512gbvga-2gmx550-14-fhdtouchbutwin-11.html,hungphuc.vn,29700000,https://www.hungphuc.vn/laptop-dell/laptop-dell-inspiron-7420-1yt85-silver,laptopfull.com,28200000,https://laptopfull.com/laptop-dell-core-i7/dell-inspiron-14-7420-2-in-1-i7--1yt85-bac-/,3200 MHz,,Có,4 cell,SD,Pin liền,2 GB
Dell,Windows 10 Home,,AMD Ryzen 5,5500U,2.1 GHz,4.0 GHz,DDR4,8 GB,SSD,512GB,15.6 inch,Full HD (1920 x 1080),"Led-backlit display, Wide Viewing Angle, Anti-glare",AMD Radeon Graphics,Card tích hợp,,"2 x USB 3.1 Gen 1 Type-A, 1 x USB 3.1 Gen 1 Type-C 1 x Headphone/Microphone combo audio jack, 1 x SSD2 PCIe (M.2 2230)","Bluetooth 5.0, Wi-Fi 802.11 a/b/g/n/ac",Có,,18 x 356.1 x 228.9 mm,1.66 kg,https://websosanh.vn/laptop-dell-vostro-v5515-k4y9x1-amd-ryzen-5-5500u-8gb/561993456/so-sanh.htm,tinhocsangtao.vn,14999000,https://tinhocsangtao.vn/san-pham/laptop-dell-vos-v5515-k4y9x1-r55500u-8gb-ssd-512gb-156-fhd-win-10officexam.html,shopee.vn,22999000,https://shope.ee/an_redir?origin_link=https%3a%2f%2fshopee.vn%2funiversal-link%2fproduct%2f44036203%2f14723589127?&affiliate_id=17190830000&sub_id=websosanh-datafeed,maianhpc.vn,14990000,https://maianhpc.vn/laptop-dell-vostro-v5515-amd-r5-5500u-8gd4-512ssd-15-6fhd-fp-4c54whr-xam-w10sloffice-st-led_kb-prosupk4y9x1-xam/,3200 MHz,,Có,4 cell,"SD, SDXC, SDHC",,
HP,Windows 11 Home,,Intel Core i5,1235U,1.3 GHz,4.4 GHz,DDR4,8 GB,SSD,512GB,14 inch,Full HD (1920 x 1080),Tấm nền IPS,Intel Iris Xe Graphics,Card tích hợp,"B&O, Dual Speakers, HP Audio Boost","1 x USB Type-C, 2 x USB Type-A, 1 x HDMI 2.1","Wifi 802.11ax, Bluetooth 5.2",HD Webcam,,325 x 216.6 x 17 mm,1.41 kg,https://websosanh.vn/laptop-hp-pavilion-14-dv2034tu-6k770pa-intel-core-i5-1235u-8gb/177128122/so-sanh.htm,hungphuc.vn,15490000,https://www.hungphuc.vn/laptop-hp/laptop-hp-pavilion-14dv2034tu-6k770pa-silver,tinhocsangtao.vn,17300000,https://tinhocsangtao.vn/san-pham/laptop-hp-pavilion-14dv2034tu-6k770pa-i51235u-8gb-ssd512gb-14-fhd-win-11-bac.html,gaditi.vn,11900000,https://gaditi.vn/san-pham/may-tinh-xach-tay-hp-pavilion-14-dv2034tu-6k770pa-core-i5-1235u-8gb-512gb-ssd-intel-iris-xe-graphics-14-0inch-full-hd-windows-11-home-silver-hop-kim-nhom/,3200 MHz,32 GB,Không,3 cell,,Pin liền,
Apple,MacOS,Nhôm,Apple M1 Pro,10‑core,,,,32 GB,SSD,1TB,16.2 inch,Retina (3024 x 2234),Công nghệ True Tone,16‑core,Card tích hợp,Dolby Atmos,"Thunderbolt 4, HDMI","Wifi 802.11ac, Bluetooth v5.0",HD Webcam,Touch ID,355.7 x 248.1 x 16.8 mm,2.1 kg,https://websosanh.vn/laptop-macbook-pro-z14y00124-apple-m1-pro-ram/301959564/so-sanh.htm,macone.vn,76990000,https://macone.vn/macbook-pro-2021-16-inch-apple-m1-pro-10-core-32gb-ram-1tb-ssd-new/,9tech.com.vn,78990000,https://9tech.com.vn/apple-macbook-pro-16-m1-pro-32gb-1tb-10cpu-16gpu-late-2021,macad.vn,82500000,https://macad.vn/macbook-cu/macbook-pro-2021-16-inch-m1-pro-10-core-cpu-16-core-gpu-32gb-1tb/,,,Có,,SDXC,,
Acer,Windows 10 Home,,Intel Core i5,8300H,2.3 GHz,4.0 GHz,DDR4,8 GB,SSD,512GB,15.6 inch,Full HD (1920 x 1080),,NVIDIA® GeForce GTX 1050,Card rời và tích hợp,,1 x USB Type-C 1 x USB 3.0 2 x USB 2.0 1 x HDMI 1 x Ethernet (RJ-45) port 1 x DC-in jack for AC adapter 1 x 3.5 mm headphone/speaker jack 1 x SD Card reader,,HD Webcam,,390 x 266 x 26.75 mm,2.4 kg,https://websosanh.vn/laptop-acer-nitro-5-an515-52-53pc-intel-core-i5-8300h-8gb/1271773988/so-sanh.htm,cameranhapkhau.com,17480000,https://cameranhapkhau.com/laptop-acer-nitro-5-an5155253pc-22690.html,quangmai.net,17050000,https://quangmai.net/san-pham/laptop-acer-nitro-5-an515-52-53pc-nh-q3msv-00b-15-fhd-i5-8300h-8gb-512gb-ssd-gtx-1050-win10-2-5-kg/,ababa.com.vn,17990000,https://ababa.com.vn/san-pham/laptop-acer-nitro-an5155253pc-nhq3msv00b-1942.html,2666 MHz,,,4 cell,,Pin liền,4 GB
Dell,Linux,,Intel Core i7,10850H,2.7 GHz,5.1 GHz,DDR4,16 GB,SSD,512GB,15.6 inch,Full HD (1920 x 1080),Anti-Glare,,Card rời,,"2 USB 3.2 Gen 1, 2 USB 3.2 Gen 2, 1 HDMI 2.0, 1 Mini DP 1.4","Bluetooth 5.1, Wifi 6 AX201",Có,,25 x 360 x 242 mm,2.45 kg,https://websosanh.vn/laptop-dell-mobile-precision-workstation-m7550-intel-core-processor/1939925162/so-sanh.htm,hkc.vn,62109000,https://hkc.vn/san-pham/laptop-dell-mobile-precision-workstation-m7550-i710850h-cto/,laptopdell.com.vn,76900000,https://laptopdell.com.vn/laptop-dell-mobile-precision-workstation-m7550-i710850h-cto/,giaonhanh.vn,76900000,https://giaonhanh.vn/laptop-dell-mobile-precision-workstation-m7550-i710850h-cto,2933 MHz,,,6 cell,SD,,8 GB
Dell,Windows 11 Home,,Intel Core Ultra 7,155H,,4.8 GHz,LPDDR5,32 GB,SSD,1TB,16 inch,Full HD+ (1920 x 1200),"WVA, Anti-Glare, 300 nits",Intel Arc Graphics,Card tích hợp,Waves MaxxAudio Pro,"1x USB-C Thunderbolt 4
2x USB-A 3.2 Gen 1
HDMI 2.1","Wifi 802.11ax, Bluetooth 5.2",Full HD Webcam,TPM 2.0,19.75 x 356.78 x 250.6 mm,1.9 kg,https://websosanh.vn/laptop-dell-inspiron-16-7640-intel-core-ultra-7/721948917/so-sanh.htm,shopee.vn,26800000,https://shope.ee/an_redir?origin_link=https%3a%2f%2fshopee.vn%2funiversal-link%2fproduct%2f1342101046%2f26178874446?&affiliate_id=17190830000&sub_id=websosanh-datafeed,svstore.com.vn,17490000,https://svstore.com.vn/san-pham/dell-inspiron-16-plus-7640-touch/,huucomputer.com,18500000,https://huucomputer.com/san-pham/dell-inspiron-16-plus-7640-ultra-7-155h-ram-32g-ssd-1t-16-inch-fhd-touch-intel-arc-graphics-win-11-ice-blue/,6400 MHz,,Có,6 cell,SD,,
Asus,Windows 11 Home,,Intel Core Ultra 7,255H,2.0 GHz,5.1 GHz,DDR5,16 GB,SSD,512GB,14 inch,WUXGA (1920 x 1200),"16:10, 300nits, IPS, 45% NTSC",Intel Graphics,Card tích hợp,,"1 x HDMI 1.4
2 x USB 3.2 Gen 1 Type-A
2 x USB 3.2 Gen 1 Type-C","Wifi 802.11ax, Bluetooth 5.3",IR + Full HD Webcam,Camera IR (Nhận diện khuôn mặt),315.2 x 223.4 x 15.9 mm,1.4 kg,https://websosanh.vn/laptop-asus-vivobook-s14-s3407ca-ly096ws-intel-core-ultra-7/654836071/so-sanh.htm,dienmayxanh.com,23790000,https://fast.accesstrade.com.vn/deep_link/4348611826491973833?url=https%3a%2f%2fwww.dienmayxanh.com%2flaptop%2fasus-s3407ca-ultra-7-ly096ws&utm_source=websosanh,cellphones.com.vn,26990000,https://fast.accesstrade.com.vn/deep_link/4348611826491973833/6259155740535091857?url=https%3a%2f%2fcellphones.com.vn%2flaptop-asus-vivobook-s14-s3407ca-ly096ws.html&utm_source=websosanh,fptshop.com.vn,27490000,https://gotrackecom.info/v0/PNH7aNSG4goF2ti0s0AeFA?url=https%3a%2f%2ffptshop.com.vn%2fmay-tinh-xach-tay%2fasus-vivobook-s14-s3407ca-ly096ws-ultra-7-255h,5600 MHz,32 GB,,4 cell,,,
Asus,Windows 11 Home,Nhựa,Intel Core i3,1315U,1.3 GHz,4.5 GHz,DDR4,8 GB,SSD,512GB,16 inch,Full HD+ (1920 x 1200),"Tấm nền IPS, 120Hz",Intel UHD Graphics,Card tích hợp,,"USB 2.0
USB 3.2 Gen 1 Type-A
USB 3.2 Gen 1 Type-C
HDMI 1.4","Wifi 802.11ax, Bluetooth 5.3",HD Webcam,Mật khẩu,358.7 x 249.5 x 19.9 mm,1.88 kg,https://websosanh.vn/laptop-asus-vivobook-x1605va-mb1826w-intel-core-i3-1315u-8gb/432813261/so-sanh.htm,fptshop.com.vn,13290000,https://gotrackecom.info/v0/PNH7aNSG4goF2ti0s0AeFA?url=https%3a%2f%2ffptshop.com.vn%2fmay-tinh-xach-tay%2fasus-vivobook-x1605va-mb1826w,eaz.com.vn,11499000,https://eaz.com.vn/Laptop-Asus-Vivobook-X1605VA-MB1826W-i3-1315U-8GB-512GB-16-WUXGA-Win11-0725/125848,vtechpc.vn,11990000,https://vtechpc.vn/laptop-asus-vivobook-x1605va-mb1826w-i3-1315u-8gb-512gb-16-wuxga-win11,3200 MHz,16 GB,Không,,,,
Lenovo,Windows 11 Home,,Intel Core Ultra 7,255H,2.0 GHz,5.1 GHz,DDR5,32 GB,SSD,1TB,14.5 inch,WUXGA (1920x1200),"IPS 400nits Anti-glare, 45% NTSC, 60Hz",Nvidia RTX PRO 500,Card rời,Dolby Audio,"1x USB-A
2x Thunderbolt 4
HDMI 2.1","Wi-Fi 7 (802.11be), Bluetooth 5.4",5.0MP + IR,TPM 2.0,325.5 x 227.6 x 21.8 mm,1.64 kg,https://websosanh.vn/laptop-lenovo-thinkpad-p14s-gen-6-21qt005kvn-intel-core/978872490/so-sanh.htm,vitinhmanhphat.com,50350000,https://vitinhmanhphat.com/lenovo-thinkpad-p14s-gen6-21qt005kvn-intel-core-ultra-7-255h-510-ghz-32gb-ram-1tb-ssd-vga-rtx-pro500bw-6gb-wifi-bt-finger-print-145inch-3k-ag-500n-win-11-pro-3yrs,tnc.com.vn,55890000,https://www.tnc.com.vn/laptop-lenovo-thinkpad-p14s-gen-6-ultra-7-255h-rtx-pro-500-21qt005kvn.html,thienthientan.vn,62600000,https://www.thienthientan.vn/san-pham/thinkpad-p14s-gen-6-21qt005kvn/,5600 MHz,96 GB,,,,,6 GB
Dell,Windows 11 Home,,AMD Ryzen 7,7730U,,4.5 GHz,DDR4,16 GB,SSD,1TB,15.6 inch,Full HD (1920 x 1080),"WVA, 120Hz, Anti-glare display",AMD Radeon Graphics,Card tích hợp,Realtek High Definition Audio,"1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-A
1x USB 3.2 Gen 1 Type-C
1x HDMI","Wifi 802.11ax, Bluetooth 5.0",HD Webcam,,358.50 x 235.56 x 18.99 mm,1.647 kg,https://websosanh.vn/laptop-dell-15-dc15255-x9ym41-amd-ryzen-7-7730u/1342442594/so-sanh.htm,ben.com.vn,19239000,https://fast.accesstrade.com.vn/deep_link/4348611826491973833/6544141033462679814?url=https%3a%2f%2fben.com.vn%2flaptop-dell-15-dc15255-x9ym41-%7c-silver-%7c-ryzen-r7-7730u-%7c-ram-16gb-%7c-1tb-ssd-%7c-15-6-inch-fhd-%7c-120hz-%7c-win-11-sl-%7c-office-24-%7c-1y---ctsp,cellphones.com.vn,19490000,https://fast.accesstrade.com.vn/deep_link/4348611826491973833/6259155740535091857?url=https%3a%2f%2fcellphones.com.vn%2flaptop-dell-15-dc15255-x9ym41.html&utm_source=websosanh,ttcenter.com.vn,12990000,https://ttcenter.com.vn/dell-15-dc15255-ryzen-7-7730u,3200 MHz,,,3 cell,SD,,
Asus,Windows 10,Kim loại,Intel Core i5,1135G7,2.4 GHz,4.2 GHz,DDR4,8 GB,SSD,512GB,14 inch,Full HD (1920 x 1080),Anti-glare LED-backlit,Intel Iris Xe Graphics,Card tích hợp,Harman Kardon speakers,"2 x Thunderbolt 4 USB-C, 1 x USB 3.2, HDMI",Bluetooth 5.0Wi-Fi 6 (802.11ax),Có,Nhận diện khuôn mặt,319 x 208 x 13.9 mm,1.17 kg,https://websosanh.vn/laptop-asus-zenbook-14-ux425ea-ki429t-intel-core-i5-1135g7-8gb/1679623573/so-sanh.htm,thegioipc.vn,18650000,https://thegioipc.vn/product/laptop-asus-zenbook-ux425ea-ki429t-i5-1135g7-8gb-512gb-ssd-14fhd-vga-on-win10-grey-numpad,longphuccctv.com,22690000,https://longphuccctv.com/san-pham/laptop-asus-zenbook-ux425ea-ki429t/,anp.com.vn,22690000,https://anp.com.vn/laptop-phu-kien/laptop-asus-chinh-hang/laptop-asus-ux425ea-ki429t-90nb0sm1-m09060-14-full-hdintel-core-i5-1135g78gb512gb-ssdwindows-10-home-64-bit1.1kg,2400 MHz,,Có,4 cell,SD,,
Dell,Windows 11 Home,,Intel Core 3,100U,1.2 GHz,4.7 GHz,DDR5,8 GB,SSD,512GB,14 inch,Full HD+ (1920 x 1200),"WVA, 300nits, 45% NTSC, Anti-Glare, Non-Touch",Intel Graphics,Card tích hợp,Waves MaxxAudio,"2 x USB 3.2 Gen 1 Type-A
1 x USB 3.2 Gen 2
1 x HDMI 1.4","Wifi 802.11ax, Bluetooth 5.2",HD Webcam,,226.15 x 314 x 15.86/17.31 mm,1.56 kg,https://websosanh.vn/laptopdell-pro-14-essentialpv14250-71084488-intel-core-3-100u/6989521/so-sanh.htm,ben.com.vn,16990000,https://fast.accesstrade.com.vn/deep_link/4348611826491973833/6544141033462679814?url=https%3a%2f%2fben.com.vn%2flaptop-dell-pro-14-essential-pv14250-71084488-%7c-platinum-silver-%7c-intel-core-3-100u-%7c-ram-8gb-%7c-512gb-ssd-%7c-intel-graphics-%7c-14inch-2k-%7c-3cell-41wh-%7c-ax-bt-%7c-mcafee-ls-%7c-win-11-home-%7c-2y-wty---ctsp,vitinhmanhphat.com,13250000,https://vitinhmanhphat.com/dell-pro-14-essential-pv14250-71084488-intel-core-3100u-ram-8gb-512gb-ssd-intel-graphics-14inch-2k-3c-41wh-axbt-win-11-home-silver-2y-wty,kimlongcenter.com,14299000,https://kimlongcenter.com/san-pham/dell-pro-14-essential-pv14250-71084488-core-3-100u-9635.html,5200 MHz,32 GB,,3 cell,SD,,
Lenovo,Windows 11 Home,,Intel Core Ultra 7,258V,1.8 GHz,4.8 GHz,LPDDR5x,32 GB,SSD,1TB,14 inch,WUXGA(1920x1200),"IPS 500nits Anti-glare, 100% sRGB, 60Hz, Low Power",Intel Arc Graphics 140V,Card tích hợp,Dolby Audio,"2x USB-C
2x USB-A
HDMI 2.1","Wi-Fi 7 (802.11be), Bluetooth 5.4",5.0MP + IR,TPM 2.0,313.6 x 219.4 x 11.43/16.4 mm,1.28 kg,https://websosanh.vn/laptop-lenovo-thinkpad-t14s-gen-6-21qx00leva-intel-core/65143848/so-sanh.htm,laptopre.vn,41490000,https://laptopre.vn/laptop/lenovo-thinkpad-t14s-gen-6-21qx00leva-intel,truongphatpc.com,41500000,https://truongphatpc.com/laptop-lenovo-thinkpad-t14s-gen-6-21qx00leva-ultra-7-258v-32gb-1tb-ssd-14-inch-wuxga-60hz-noos-black-carbon-3y,thinkpro.vn,41990000,https://thinkpro.vn/laptop/lenovo-thinkpad-t14s-gen-6-21qx00leva,8533 MHz,,Có,3 cell,,,
