Hãng sản xuất,Công nghệ CPU,Loại CPU,Dung lượng RAM,Loại RAM,Loại ổ cứng,Dung lượng ổ cứng (GB),Đồ họa đã làm sạch,Kích thước (inch),shop_1_price,shop_1_name,shop_2_price,shop_2_name,shop_3_price,shop_3_name
Hp,Intel Core Ultra 7,165H,16.0,LPDDR5x,SSD,1024.0,Intel Arc Graphics,14.0,65423000,ben.com.vn,54900000,hitechpro.vn,56590000.0,laptopre.vn
Asus,Intel Core i5,6300HQ,4.0,DDR4,HDD,1024.0,GTX 950,15.6,15500000,compro.com.vn,15690000,anvietpc.com.vn,15890000.0,vietphuongjsc.com
Acer,Intel Core i7,12650H,16.0,DDR4,SSD,512.0,RTX 3050,15.6,19790000,cellphones.com.vn,22290000,mediamart.vn,23290000.0,dienmayxanh.com
Asus,Ultra 5,125H,16.0,DDR5,SSD,512.0,Intel Arc Graphics,14.0,18900000,laptopquynhbich.com,19490000,thegioitinhoc.net,22799000.0,eaz.com.vn
Dell,Intel Core i5,11300H,8.0,DDR4,SSD,512.0,Unknown,13.3,11500000,cklaptop.com.vn,13500000,laptoptcc.com,16500000.0,maytinhvinhlong.vn
Acer,Intel Core i7,11800H,16.0,DDR4,SSD,512.0,RTX 3060,15.6,31490000,hanoinew.vn,31590000,compro.com.vn,31990000.0,maytinhbaoloc.vn
Dell,Intel Core i3,10110U,4.0,DDR4,SSD,256.0,Intel UHD Graphics,14.0,13780000,nhatminhcomputer.com.vn,13929000,mylook.vn,14439000.0,congnghe3t.com
Lenovo,Intel Core i7,1260P,16.0,LPDDR5,SSD,1024.0,Intel Iris Xe,13.0,47499000,eaz.com.vn,48950000,mixicomputer.vn,48990000.0,xrazer.vn
Lenovo,Intel Core U5,225H,16.0,DDR5,,,Intel Arc Graphics,14.0,23990000,ben.com.vn,21500000,hopthanhthinh.com,21500000.0,laptop123.com.vn
Lenovo,Ultra 7,255H,32.0,DDR5,SSD,1024.0,Intel Arc Graphics,14.0,60390000,dienmayxanh.com,31490000,tnc.com.vn,57000000.0,congnghesgsaigon.com
Asus,Intel Core i5,1135G7,8.0,DDR4,SSD,512.0,Intel Iris Xe,14.0,14800000,hungphuc.vn,14990000,tncstore.vn,14990000.0,maytinhdatcang.vn
Microsoft,Microsoft SQ 3 Processor,,8.0,LPDDR4x,SSD,256.0,Other GPU,13.0,35899000,muabandienthoai24h.vn,36300000,hopthanhthinh.com,38799000.0,ap24h.vn
Hp,Intel Core i5,1035G4,8.0,DDR4,SSD,512.0,Intel Iris Xe,13.3,15490000,shopee.vn,21190000,tinhocsangtao.vn,21190000.0,vitinhsangtao.vn
Apple,Intel Core i5,,16.0,,SSD,1024.0,Intel Iris Xe,13.3,39999000,hnammobile.com,47177000,hkc.vn,36490000.0,kimcuongmobile.com
Hp,Intel Core i5,11400H,8.0,DDR4,SSD,512.0,Unknown,16.1,41550000,tinhocsangtao.vn,39499000,eaz.com.vn,40015000.0,mayina0.com
Hp,Intel Core i5,120U,16.0,DDR4,SSD,512.0,Intel Iris Xe,14.0,21800000,hungphuc.vn,22490000,tinhocsangtao.vn,22990000.0,shopee.vn
Dell,Intel Core i7,8650U,4.0,DDR4,SSD,256.0,Intel UHD Graphics,12.5,35070938,maychuhanoi.vn,38300000,compro.com.vn,38690000.0,vinacenter.vn
Msi,AMD Ryzen 5,5500U,8.0,DDR4,SSD,512.0,AMD Radeon Graphics,14.0,14540000,songphuong.vn,16990000,ativn.com,17090000.0,maytinhkiengiang.com
Msi,Intel Core i7,13620H,16.0,DDR5,SSD,1024.0,RTX 4070,16.0,31490000,tnc.com.vn,34000000,kinglap.vn,42099000.0,vinhpici.vn
Asus,AMD Ryzen 9,7845HX,16.0,DDR5,SSD,1024.0,RTX 4060,17.3,37890000,vinhpici.vn,38090000,laptopxachtayshop.com,39690000.0,hoangkimphuhung.com
Lenovo,Intel Core i5,1235U,16.0,DDR4,SSD,512.0,Intel Iris Xe,13.3,19200000,haingan.vn,19592000,vitinhminhhoang.vn,23999000.0,eaz.com.vn
Asus,AMD Ryzen R5,7535HS,16.0,DDR5,SSD,512.0,RTX 4050,15.6,23880000,hkc.vn,18390000,maytinhgiare.vn,18990000.0,zenit.com.vn
Lenovo,Intel Core I5,13420H,16.0,DDR5,SSD,512.0,Intel Iris Xe,14.0,17490000,shopee.vn,19768000,ben.com.vn,16790000.0,vietmob.com
Hp,AMD Ryzen 5,7640HS,16.0,DDR5,SSD,512.0,RTX 3050,16.1,20190000,dienmayxanh.com,22690000,shopee.vn,15500000.0,vodien.vn
Lenovo,AMD Ryzen 5,"5600U,",16.0,DDR4,SSD,512.0,AMD Radeon Graphics,14.0,17899000,eaz.com.vn,18090000,maytinhdatcang.vn,18490000.0,anp.com.vn
,Intel Core i3,1215U,8.0,,,,Intel UHD Graphics,362.9,7200000,transustore.com,8690000,maytinhquynhon.vn,8699000.0,anhtu69.vn
Hp,Intel Core i5,8265U,4.0,DDR4,HDD,500.0,Intel UHD Graphics,14.0,13500000,tinhocsangtao.vn,14790000,hkc.vn,13500000.0,vitinhsangtao.vn
Dell,Intel Core i5,5200U,4.0,DDR3L,HDD,500.0,Unknown,15.6,12800000,compro.com.vn,12890000,vietphuongjsc.com,12990000.0,laptopminhha.vn
Asus,Intel Core i7,1255U,8.0,DDR4,SSD,512.0,Intel UHD Graphics,14.0,16490000,nhanhavui.com.vn,14050000,tic.vn,14850000.0,vitinhmanhphat.com
Acer,Intel Core i3,7020U,4.0,DDR4,SSD,256.0,Other GPU,15.6,9200000,cameranhapkhau.com,9650000,ababa.com.vn,9690000.0,laptopfull.com
Dell,Intel Core i7,1260,16.0,DDR4,SSD,512.0,Other GPU,16.0,28900000,hungphuc.vn,36528000,tiki.vn,25990000.0,thinhtien.vn
Lenovo,Intel Core i5,12450H,16.0,LPDDR5,SSD,512.0,Intel UHD Graphics,14.0,14150000,hkc.vn,14690000,shopee.vn,15829000.0,ben.com.vn
Lenovo,Ultra 5,125H,16.0,DDR5,SSD,1024.0,RTX 500,14.5,31490000,tnc.com.vn,42490000,compro.vn,42490000.0,nova.com.vn
Dell,Intel Core i5,1240P,,8,SSD,512.0,Other GPU,16.0,19590000,tinhocsangtao.vn,19590000,vitinhsangtao.vn,20250000.0,maytinhkiengiang.com
Dell,AMD Ryzen 3,5300U,8.0,DDR4,SSD,256.0,AMD Radeon Graphics,15.6,14500000,tinhocsangtao.vn,18055636,dienmayxanh.com,14500000.0,vitinhsangtao.vn
Acer,Intel Core i5,13420H,16.0,DDR4,SSD,512.0,RTX 2050,15.6,17490000,dienmayxanh.com,20388000,ben.com.vn,12990000.0,vodien.vn
Msi,Intel Core i9,9900K,64.0,DDR4,SSD,1024.0,RTX 2080,17.3,98291000,hkc.vn,103500000,eaz.com.vn,111990000.0,vienai.com
Msi,AMD Ryzen 5,5600H,8.0,DDR4,SSD,512.0,RX 5500,15.6,20800000,eaz.com.vn,21990000,songphuong.vn,21990000.0,saotoancau.com
Msi,Intel Core i5,1235U,8.0,DDR4,SSD,512.0,Intel Iris Xe,15.6,13990000,bithaco.vn,14899000,eaz.com.vn,15995000.0,songphuong.vn
Acer,Intel Core i7,9750H,8.0,DDR4,SSD,512.0,Unknown,15.6,31900000,eaz.com.vn,35570000,compro.com.vn,37950000.0,maytinhgiapham.com
Microsoft,Intel Core Ultra 7,165U,32.0,LPDDR5x,SSD,1024.0,Intel Arc Graphics,13.0,48900000,surfacett.com,48990000,surfacecenter.com.vn,49000000.0,surface24h.vn
Lenovo,Intel Core Ultra 7,255H,32.0,DDR5,SSD,512.0,Intel Arc Graphics,16.0,31490000,tnc.com.vn,36300000,thienthientan.vn,36850000.0,vitinhmanhphat.com
Msi,Intel Core 5,210H,16.0,DDR5,SSD,512.0,RTX 5050,15.6,34990000,cellphones.com.vn,34990000,fptshop.com.vn,25790000.0,kigimart.com
Acer,Intel Core i5,8265U,8.0,DDR4,SSD,256.0,Intel UHD Graphics,15.6,26600000,cameranhapkhau.com,27300000,compro.com.vn,30990000.0,owlgaming.vn
Msi,Intel Core Ultra 7,255H,16.0,DDR5,SSD,512.0,Intel Arc Graphics,15.6,21790000,dienmayxanh.com,23990000,fptshop.com.vn,19099000.0,eaz.com.vn
,,1360P,16.0,LPDDR5,,,Unknown,16.0,25850000,hungphuc.vn,26890000,tinhocsangtao.vn,26890000.0,vitinhsangtao.vn
