mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_num_leaves,param_n_estimators,param_min_child_samples,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_rmse
11.274514722824097,0.7885304005677378,0.021606922149658203,0.004421487168220796,0.9,5,0.1,31,800,10,6,0.08,0.7,"{'subsample': 0.9, 'reg_lambda': 5, 'reg_alpha': 0.1, 'num_leaves': 31, 'n_estimators': 800, 'min_child_samples': 10, 'max_depth': 6, 'learning_rate': 0.08, 'colsample_bytree': 0.7}",-5.559081823210151,-5.185468687802567,-5.128498785928869,-5.421477169421107,-5.6637416826731215,-5.391653629807164,0.20722753395228596,3,5.391653629807164
33.4521023273468,1.633991232506113,0.045100831985473634,0.007465939784856564,1.0,0.1,1,31,1600,10,8,0.05,1.0,"{'subsample': 1.0, 'reg_lambda': 0.1, 'reg_alpha': 1, 'num_leaves': 31, 'n_estimators': 1600, 'min_child_samples': 10, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",-5.727796291548089,-5.376351117066695,-5.38044031202724,-5.5531768560100225,-5.875291760718183,-5.5826112674740465,0.1954601196109238,23,5.5826112674740465
25.814128398895264,0.9562571585042516,0.03494415283203125,0.00629626843153955,0.7,0.1,1,127,800,80,-1,0.08,1.0,"{'subsample': 0.7, 'reg_lambda': 0.1, 'reg_alpha': 1, 'num_leaves': 127, 'n_estimators': 800, 'min_child_samples': 80, 'max_depth': -1, 'learning_rate': 0.08, 'colsample_bytree': 1.0}",-6.409484904989943,-5.467503923501996,-5.410519945918831,-5.831311747181127,-6.02147767357002,-5.828059639032384,0.36873195454493,30,5.828059639032384
51.83394484519958,2.7151182211231024,0.0669123649597168,0.005899892688061573,1.0,0,0,63,1600,10,10,0.05,0.8,"{'subsample': 1.0, 'reg_lambda': 0, 'reg_alpha': 0, 'num_leaves': 63, 'n_estimators': 1600, 'min_child_samples': 10, 'max_depth': 10, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",-5.818913359176607,-5.4065230974715455,-5.455390048618053,-5.673821920286253,-5.936284926556137,-5.658186670421719,0.20390056073805582,25,5.658186670421719
11.239246129989624,0.3782544162835066,0.01872725486755371,0.0023165555298410782,1.0,1,0.1,127,800,20,6,0.08,0.8,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 0.1, 'num_leaves': 127, 'n_estimators': 800, 'min_child_samples': 20, 'max_depth': 6, 'learning_rate': 0.08, 'colsample_bytree': 0.8}",-5.51240040907651,-5.182656675201046,-5.195136843844102,-5.628696005870412,-5.762780083676911,-5.456334003533796,0.2323293085206271,8,5.456334003533796
17.73789234161377,0.2219510991051941,0.022011661529541017,0.0016664019687615609,1.0,0.01,0,31,800,20,10,0.05,0.9,"{'subsample': 1.0, 'reg_lambda': 0.01, 'reg_alpha': 0, 'num_leaves': 31, 'n_estimators': 800, 'min_child_samples': 20, 'max_depth': 10, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",-5.499735814226721,-5.2027116803853195,-5.165963451514279,-5.690923794337245,-5.788473223558183,-5.469561592804349,0.250996829975534,11,5.469561592804349
11.202201652526856,0.6985976204079238,0.016965532302856447,0.005094705501903724,0.9,0.1,0.1,31,500,10,8,0.03,0.7,"{'subsample': 0.9, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'num_leaves': 31, 'n_estimators': 500, 'min_child_samples': 10, 'max_depth': 8, 'learning_rate': 0.03, 'colsample_bytree': 0.7}",-5.515847266332938,-5.1022575554501435,-5.065949514973688,-5.503238727795045,-5.672742331166468,-5.372007079143657,0.24281246878451865,2,5.372007079143657
22.007488584518434,1.8674111296135796,0.023379087448120117,0.004400491067309977,0.8,0.01,0,31,800,20,10,0.01,1.0,"{'subsample': 0.8, 'reg_lambda': 0.01, 'reg_alpha': 0, 'num_leaves': 31, 'n_estimators': 800, 'min_child_samples': 20, 'max_depth': 10, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",-5.4501989349304925,-5.318022668996997,-5.148764003605235,-5.769952748075486,-5.81387983704738,-5.500163638531118,0.2570437801834579,15,5.500163638531118
13.33726716041565,0.2364132000941297,0.026068735122680663,0.006242254285359785,0.7,0,0.01,63,1200,40,6,0.05,0.7,"{'subsample': 0.7, 'reg_lambda': 0, 'reg_alpha': 0.01, 'num_leaves': 63, 'n_estimators': 1200, 'min_child_samples': 40, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",-5.517081839996271,-5.303123764023459,-5.1689472716944165,-5.729388001282917,-5.823536354725182,-5.508415446344449,0.24721993436778858,17,5.508415446344449
6.327717208862305,0.3559978871615286,0.01401972770690918,0.0029413775569704244,0.8,1,0.01,63,800,20,4,0.05,0.9,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.01, 'num_leaves': 63, 'n_estimators': 800, 'min_child_samples': 20, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",-5.50918633482372,-5.264846415114137,-5.168803277489252,-5.612876189349044,-5.7780439073871195,-5.466751224832654,0.22342556234255861,9,5.466751224832654
9.440788793563843,0.09151840800645905,0.01603226661682129,0.003902444524255375,1.0,5,0.01,127,800,80,6,0.01,1.0,"{'subsample': 1.0, 'reg_lambda': 5, 'reg_alpha': 0.01, 'num_leaves': 127, 'n_estimators': 800, 'min_child_samples': 80, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",-6.269519787869873,-6.480346164338396,-6.156836834738403,-6.372796091696568,-6.494095309335705,-6.354718837595789,0.12802419954370747,39,6.354718837595789
12.31339225769043,0.5260217979469904,0.02305450439453125,0.000910786590856433,1.0,0.01,0.01,31,1200,80,6,0.08,0.8,"{'subsample': 1.0, 'reg_lambda': 0.01, 'reg_alpha': 0.01, 'num_leaves': 31, 'n_estimators': 1200, 'min_child_samples': 80, 'max_depth': 6, 'learning_rate': 0.08, 'colsample_bytree': 0.8}",-6.33143421806527,-5.342833603305013,-5.389072657636119,-5.780693625857117,-5.963689652303619,-5.761544751433427,0.36879743240489216,29,5.761544751433427
14.820649671554566,0.18400630647764987,0.02407102584838867,0.001281443447379392,0.8,0.1,0.01,15,1200,80,8,0.01,1.0,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0.01, 'num_leaves': 15, 'n_estimators': 1200, 'min_child_samples': 80, 'max_depth': 8, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",-6.238302908212515,-6.115578148541202,-5.896864876461182,-6.156007214842757,-6.316494410474308,-6.144649511706393,0.14189643755225612,36,6.144649511706393
23.630169773101805,1.2598518780835832,0.030046749114990234,0.006944741666922744,0.8,0.1,1,63,800,20,10,0.03,0.9,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 1, 'num_leaves': 63, 'n_estimators': 800, 'min_child_samples': 20, 'max_depth': 10, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",-5.449436223868097,-5.312770444429726,-5.094758459546543,-5.649280931084679,-5.7482966718875135,-5.450908546163311,0.2339737111308773,6,5.450908546163311
