mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_strength,param_learning_rate,param_l2_leaf_reg,param_iterations,param_depth,param_bagging_temperature,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_rmse
12.308575296401978,2.8392429646079824,0.07151236534118652,0.009192998578407491,0,0.05,7,500,7,1,"{'random_strength': 0, 'learning_rate': 0.05, 'l2_leaf_reg': 7, 'iterations': 500, 'depth': 7, 'bagging_temperature': 1}",-5.599280479452977,-5.157541435406611,-5.0642852631723425,-5.818871415829341,-5.659457670580097,-5.459887252888274,0.29531081256471625,17,5.459887252888274
18.54398641586304,2.072550255793003,0.08507471084594727,0.020990220212649707,0,0.01,3,1600,5,0,"{'random_strength': 0, 'learning_rate': 0.01, 'l2_leaf_reg': 3, 'iterations': 1600, 'depth': 5, 'bagging_temperature': 0}",-5.703166474189893,-5.258103585374519,-5.250469918852513,-5.94522467480324,-5.803812472243478,-5.592155425092729,0.2863982089731441,25,5.592155425092729
49.3422712802887,4.242623343124394,0.025250577926635744,0.009703094743343734,0,0.05,15,500,10,0.5,"{'random_strength': 0, 'learning_rate': 0.05, 'l2_leaf_reg': 15, 'iterations': 500, 'depth': 10, 'bagging_temperature': 0.5}",-5.737598387975672,-5.32210533327231,-5.134161138802691,-6.149145543247265,-5.669249706679416,-5.602452021995471,0.35199173122532035,28,5.602452021995471
35.48073363304138,2.074119927859425,0.029334115982055663,0.007988689775791518,2,0.08,10,1600,7,5,"{'random_strength': 2, 'learning_rate': 0.08, 'l2_leaf_reg': 10, 'iterations': 1600, 'depth': 7, 'bagging_temperature': 5}",-5.463294442526276,-4.931373247015864,-4.949330685862797,-5.422986283657966,-5.360968733512162,-5.2255906785150135,0.23523554266642832,1,5.2255906785150135
42.0433669090271,9.851275703251932,0.045195913314819335,0.015482243286257177,0.5,0.05,3,1600,8,0.5,"{'random_strength': 0.5, 'learning_rate': 0.05, 'l2_leaf_reg': 3, 'iterations': 1600, 'depth': 8, 'bagging_temperature': 0.5}",-5.609036366260224,-5.037775587953331,-5.042570739160276,-5.698102783918736,-5.453872486964218,-5.3682715928513565,0.2790671815664195,8,5.3682715928513565
6.929563570022583,1.3146323222819063,0.0329948902130127,0.020292523854874928,5,0.01,10,1600,4,5,"{'random_strength': 5, 'learning_rate': 0.01, 'l2_leaf_reg': 10, 'iterations': 1600, 'depth': 4, 'bagging_temperature': 5}",-5.9928853685605405,-5.70253040821067,-5.768953951357417,-6.481808216293257,-6.213223409833117,-6.0318802708509995,0.28790369016532824,37,6.0318802708509995
89.21361832618713,3.952551705069096,0.04842009544372559,0.014083168850536218,5,0.01,1,1200,10,2,"{'random_strength': 5, 'learning_rate': 0.01, 'l2_leaf_reg': 1, 'iterations': 1200, 'depth': 10, 'bagging_temperature': 2}",-5.664526422118416,-5.071672266573153,-5.144509212541172,-6.002559601663374,-5.582643128673056,-5.493182126313835,0.34527406902305374,22,5.493182126313835
131.56166744232178,8.726382443075424,0.08002738952636719,0.019714757566140818,5,0.05,10,1600,10,0.5,"{'random_strength': 5, 'learning_rate': 0.05, 'l2_leaf_reg': 10, 'iterations': 1600, 'depth': 10, 'bagging_temperature': 0.5}",-5.553897919086793,-4.97015950504671,-5.05858770036243,-5.7231782830481945,-5.505124655883374,-5.3621896126855,0.2944000842081953,7,5.3621896126855
3.6992026805877685,0.5983533229689133,0.03794584274291992,0.016242463750139248,0,0.03,3,500,5,1,"{'random_strength': 0, 'learning_rate': 0.03, 'l2_leaf_reg': 3, 'iterations': 500, 'depth': 5, 'bagging_temperature': 1}",-5.730030460226845,-5.258975488980422,-5.240728047662609,-5.931886461204284,-5.8175294536871425,-5.595829982352261,0.2897111370159889,26,5.595829982352261
9.887722873687744,1.958550758130142,0.04539165496826172,0.014670229432166365,0.5,0.03,15,1600,4,0,"{'random_strength': 0.5, 'learning_rate': 0.03, 'l2_leaf_reg': 15, 'iterations': 1600, 'depth': 4, 'bagging_temperature': 0}",-5.7981904081091935,-5.184031829896725,-5.363876375876431,-5.8102223201694185,-5.689915397673391,-5.569247266345032,0.2512420632675648,24,5.569247266345032
17.023896741867066,3.0973265531942764,0.044580841064453126,0.023176693728732833,0.5,0.03,10,500,8,5,"{'random_strength': 0.5, 'learning_rate': 0.03, 'l2_leaf_reg': 10, 'iterations': 500, 'depth': 8, 'bagging_temperature': 5}",-5.774180361763472,-5.416525689068692,-5.281611551309557,-6.232936703701937,-5.845973721279703,-5.710245605424673,0.3363671506943791,32,5.710245605424673
10.004321241378785,2.2080725873911513,0.030698204040527345,0.015565030526334964,0.5,0.03,15,500,7,0.5,"{'random_strength': 0.5, 'learning_rate': 0.03, 'l2_leaf_reg': 15, 'iterations': 500, 'depth': 7, 'bagging_temperature': 0.5}",-5.910885552084312,-5.6108435483527,-5.422283086002462,-6.472437917681513,-6.111639110127062,-5.90561784284961,0.36993563776318594,36,5.90561784284961
