model_name,version_baseline,price_segment,n_samples_baseline,mae_baseline,median_ae_baseline,rmse_baseline,mape_pct_baseline,max_abs_error_baseline,version_tuned,n_samples_tuned,mae_tuned,median_ae_tuned,rmse_tuned,mape_pct_tuned,max_abs_error_tuned,delta_mae,pct_mae_improvement,delta_rmse,pct_rmse_improvement,delta_mape_pct,pct_mape_pct_improvement,delta_max_abs_error,pct_max_abs_error_improvement
CatBoost,baseline,low,375,1.8012305563793956,1.2436369048734353,2.7129767530852082,63.0723070048356,16.791528533574883,tuned,375,1.7658926777497446,1.2226724708809726,2.70737830750816,60.95626491027363,17.12825261836502,-0.03533787862965099,1.9618742589334424,-0.005598445577048139,0.2063580371885444,-2.116042094561969,3.354946402071098,0.3367240847901378,-2.0053212196665333
CatBoost,baseline,mid_low,364,2.288265969144534,1.6790459416478214,3.274199226659347,28.97139686298818,23.136418716154996,tuned,364,2.161607634582626,1.4537570602743326,3.3063168188751324,27.542657210191305,29.090303999047343,-0.1266583345619079,5.535122938932618,0.03211759221578525,-0.9809296866933387,-1.4287396527968745,4.931552522488593,5.953885282892347,-25.73382404570267
CatBoost,baseline,mid_high,358,2.9149571575161817,2.2637986549488565,3.990321720691009,20.965065011787487,26.69511471576012,tuned,358,2.837752403150339,2.1647615693880757,3.947716021980227,20.463332224794023,21.98916996898047,-0.07720475436584273,2.6485725241886047,-0.04260569871078168,1.067725905153422,-0.5017327869934647,2.393184980401293,-4.70594474677965,17.628486698359755
CatBoost,baseline,high,363,6.942832169192704,4.739154095462922,10.10665067792888,19.88871491873505,51.909616944939614,tuned,363,6.774335036592632,4.6170761580884285,10.329969842307117,18.955548713507557,56.17132184801251,-0.1684971326000726,2.4269221622228128,0.2233191643782373,-2.2096258344609305,-0.9331662052274936,4.691938162120554,4.261704903072896,-8.209856195997892
LightGBM,baseline,low,375,1.7487307364339038,1.2108479001485242,2.6274049929887253,59.40338722387728,16.326232834830414,tuned,375,1.7079807081287721,1.131264534607344,2.5664016846348843,58.389077683990905,15.136231103322672,-0.040750028305131636,2.3302631706600563,-0.061003308353841046,2.321808343846092,-1.0143095398863764,1.7074944498765436,-1.190001731507742,7.2888935466422495
LightGBM,baseline,mid_low,364,2.1332733628767793,1.5175569945586052,3.217058938979662,27.255669308355156,26.566728979198686,tuned,364,2.1623923099854467,1.4795890799667348,3.279904533483529,27.583225753680896,29.404162604346133,0.02911894710866747,-1.3649890171318573,0.06284559450386684,-1.9535108214025838,0.32755644532574024,-1.2017919707637803,2.8374336251474475,-10.68040264711968
LightGBM,baseline,mid_high,358,2.8451088506684967,2.2203092462379708,3.9781826384528434,20.48108086529473,24.282785084537707,tuned,358,2.79762152789147,2.110555076043859,3.9524757974664366,20.139623545520788,26.913442481731096,-0.04748732277702672,1.6690863256732316,-0.025706840986406743,0.6461955953938907,-0.3414573197739408,1.6671840808584546,2.6306573971933886,-10.833425358891327
LightGBM,baseline,high,363,6.788965381454119,4.496478895007225,10.07369947676236,19.407681179197375,51.697961875007536,tuned,363,6.863494440398973,4.631197802889234,10.211840754900845,19.520349367399444,51.817338010419306,0.07452905894485351,-1.0977970096658562,0.13814127813848387,-1.3713063255176818,0.11266818820206836,-0.5805340017788146,0.11937613541176972,-0.23091071887977077
