mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_num_leaves,param_n_estimators,param_min_child_samples,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_rmse
13.121914339065551,0.2925048625038605,0.019533491134643553,0.0008991128541879138,1.0,0,1,15,1600,10,10,0.03,0.8,"{'subsample': 1.0, 'reg_lambda': 0, 'reg_alpha': 1, 'num_leaves': 15, 'n_estimators': 1600, 'min_child_samples': 10, 'max_depth': 10, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",-5.530181981400084,-5.1284282557504435,-5.134301430959554,-5.411421229784039,-5.6202737275658325,-5.36492132509199,0.20188743523317948,1,5.36492132509199
11.202201652526856,0.6985976204079238,0.016965532302856447,0.005094705501903724,0.9,0.1,0.1,31,500,10,8,0.03,0.7,"{'subsample': 0.9, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'num_leaves': 31, 'n_estimators': 500, 'min_child_samples': 10, 'max_depth': 8, 'learning_rate': 0.03, 'colsample_bytree': 0.7}",-5.515847266332938,-5.1022575554501435,-5.065949514973688,-5.503238727795045,-5.672742331166468,-5.372007079143657,0.24281246878451865,2,5.372007079143657
11.274514722824097,0.7885304005677378,0.021606922149658203,0.004421487168220796,0.9,5,0.1,31,800,10,6,0.08,0.7,"{'subsample': 0.9, 'reg_lambda': 5, 'reg_alpha': 0.1, 'num_leaves': 31, 'n_estimators': 800, 'min_child_samples': 10, 'max_depth': 6, 'learning_rate': 0.08, 'colsample_bytree': 0.7}",-5.559081823210151,-5.185468687802567,-5.128498785928869,-5.421477169421107,-5.6637416826731215,-5.391653629807164,0.20722753395228596,3,5.391653629807164
6.386122560501098,0.285488994186543,0.013422393798828125,0.0014625280533366934,1.0,5,0.1,31,800,10,4,0.08,0.8,"{'subsample': 1.0, 'reg_lambda': 5, 'reg_alpha': 0.1, 'num_leaves': 31, 'n_estimators': 800, 'min_child_samples': 10, 'max_depth': 4, 'learning_rate': 0.08, 'colsample_bytree': 0.8}",-5.550002964518158,-5.162611850784,-5.084869716755874,-5.558168628706456,-5.618923671795679,-5.394915366512033,0.22404318327537004,4,5.394915366512033
11.364166307449342,1.1687926133479116,0.024846553802490234,0.004926693379472433,1.0,1,0,15,1600,10,10,0.01,0.8,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 0, 'num_leaves': 15, 'n_estimators': 1600, 'min_child_samples': 10, 'max_depth': 10, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-5.499614337674383,-5.189153913284848,-5.162809236789615,-5.5550373139254665,-5.67037998795426,-5.4153989579257145,0.203270663783589,5,5.4153989579257145
23.630169773101805,1.2598518780835832,0.030046749114990234,0.006944741666922744,0.8,0.1,1,63,800,20,10,0.03,0.9,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 1, 'num_leaves': 63, 'n_estimators': 800, 'min_child_samples': 20, 'max_depth': 10, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",-5.449436223868097,-5.312770444429726,-5.094758459546543,-5.649280931084679,-5.7482966718875135,-5.450908546163311,0.2339737111308773,6,5.450908546163311
11.719649505615234,0.2831899717150829,0.023334026336669922,0.005871699298112783,0.9,5,1,15,1600,20,4,0.05,1.0,"{'subsample': 0.9, 'reg_lambda': 5, 'reg_alpha': 1, 'num_leaves': 15, 'n_estimators': 1600, 'min_child_samples': 20, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",-5.480537866626995,-5.3320901766875375,-5.139036186534802,-5.593532084915278,-5.711616837941107,-5.451362630541144,0.20028446095540944,7,5.451362630541144
11.239246129989624,0.3782544162835066,0.01872725486755371,0.0023165555298410782,1.0,1,0.1,127,800,20,6,0.08,0.8,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 0.1, 'num_leaves': 127, 'n_estimators': 800, 'min_child_samples': 20, 'max_depth': 6, 'learning_rate': 0.08, 'colsample_bytree': 0.8}",-5.51240040907651,-5.182656675201046,-5.195136843844102,-5.628696005870412,-5.762780083676911,-5.456334003533796,0.2323293085206271,8,5.456334003533796
6.327717208862305,0.3559978871615286,0.01401972770690918,0.0029413775569704244,0.8,1,0.01,63,800,20,4,0.05,0.9,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.01, 'num_leaves': 63, 'n_estimators': 800, 'min_child_samples': 20, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",-5.50918633482372,-5.264846415114137,-5.168803277489252,-5.612876189349044,-5.7780439073871195,-5.466751224832654,0.22342556234255861,9,5.466751224832654
9.411122703552246,0.2839321239104794,0.011438226699829102,0.0011418114683552601,0.8,0,0.1,15,1200,10,-1,0.08,1.0,"{'subsample': 0.8, 'reg_lambda': 0, 'reg_alpha': 0.1, 'num_leaves': 15, 'n_estimators': 1200, 'min_child_samples': 10, 'max_depth': -1, 'learning_rate': 0.08, 'colsample_bytree': 1.0}",-5.684615391695185,-5.220976090887805,-5.259160249875447,-5.49675411181359,-5.683479628920993,-5.468997094638604,0.19940430249216762,10,5.468997094638604
