sample_index,actual_price,predicted_price,residual,abs_error,ape_pct,model_label,ram_gb,storage_gb,condition_score,screen_size_inch,price_segment,feature__ram_gb,feature__storage_gb,feature__screen_size_inch,feature__brand_is_rare,feature__model_is_rare,feature__ram_missing,feature__storage_missing,feature__screen_missing,feature__no_info_brand,feature__no_info_model,feature__no_info_cpu_brand,feature__no_info_cpu_tier,feature__no_info_gpu,feature__storage_ssd,feature__storage_hdd,feature__no_info_storage,feature__condition_score,feature__cpu_tier_encoded,feature__brand_ASUS,feature__brand_Acer,feature__brand_Apple,feature__brand_Dell,feature__brand_HP,feature__brand_LG,feature__brand_Lenovo,feature__brand_MSI,feature__brand_Microsoft,feature__model_Aspire,feature__model_Elitebook,feature__model_Elitebook 800,feature__model_Gaming Thin GF,feature__model_IdeaPad,feature__model_Inspiron,feature__model_Latitude,feature__model_Latitude 14 7000,feature__model_Latitude E Series,feature__model_Legion,feature__model_Legion 5,feature__model_MacBook Air,feature__model_MacBook Air M1,feature__model_MacBook Air M2,feature__model_MacBook Pro,feature__model_MacBook Pro M1,feature__model_MacBook Pro M2,feature__model_Macbook air m4,feature__model_Nitro 5,feature__model_Pavilion 15,feature__model_Precision,feature__model_ProBook,feature__model_ROG Strix,feature__model_TUF Gaming,feature__model_TUF Gaming F15,feature__model_ThinkPad,feature__model_ThinkPad X1 Carbon,feature__model_Vivobook 15,feature__model_Vostro,feature__model_X Series,feature__model_XPS 13,feature__cpu_brand_AMD,feature__cpu_brand_Apple,feature__cpu_brand_Intel,feature__cpu_brand_Qualcomm,feature__cpu_family_ord_filled,feature__cpu_family_group_AMD Ryzen,feature__cpu_family_group_Apple Silicon,feature__cpu_family_group_Intel Core Ultra,feature__cpu_family_group_Intel Core i,feature__cpu_family_group_Intel Low End,feature__cpu_intel_generation_ord,feature__cpu_amd_generation_ord,feature__cpu_apple_core_spec,feature__cpu_suffix_power_ord_filled,feature__gpu_tier_ord_filled,feature__warranty_expired,feature__warranty_active,feature__warranty_not_activated,feature__ram_storage_product_scaled,feature__ram_storage_balance,feature__memory_storage_score,feature__is_entry_memory_storage,feature__is_mid_memory_storage,feature__is_premium_memory_storage,feature__brand_segment_premium,feature__brand_segment_business,feature__brand_segment_gaming_value,feature__brand_segment_rare
7004,57.99,43.64655361431456,14.343446385685446,14.343446385685446,24.73434451747792,CatBoost_tuned,16.0,1024.0,3,16.0,Q5_high,16.0,1024.0,16.0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,13,0,0,4,4,0,0,1,2.0,1.0,12.598874579684942,0,1,0,0,0,1,0
6136,45.5,31.615951889561664,13.884048110438336,13.884048110438336,30.51439145151282,CatBoost_tuned,16.0,0.0,3,0.0,Q5_high,16.0,0.0,0.0,0,0,0,1,1,1,1,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,10,0,0,1,2,0,0,1,0.0,0.0,5.666426688112432,0,0,0,0,0,0,0
6335,38.09,51.94411654389464,-13.85411654389464,13.85411654389464,36.37205708557269,CatBoost_tuned,16.0,1024.0,3,17.3,Q5_high,16.0,1024.0,17.3,0,0,0,0,0,0,1,0,0,0,1,0,0,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,7,0,4,4,0,0,1,2.0,1.0,12.598874579684942,0,1,0,0,0,1,0
6030,128.96,115.1752359186076,13.78476408139241,13.78476408139241,10.689178102816694,CatBoost_tuned,64.0,2048.0,3,18.0,Q5_high,64.0,2048.0,18.0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,15,0,0,4,5,0,0,1,16.0,4.0,15.973881688030174,0,1,1,0,0,1,0
5947,10.99,24.64778237489481,-13.65778237489481,13.65778237489481,124.27463489440228,CatBoost_tuned,8.0,256.0,3,13.3,Q3,8.0,256.0,13.3,0,0,0,0,0,0,1,0,0,0,1,0,0,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,8,0,0,1,0,0,0,1,0.25,0.5,9.94352523956766,1,0,0,0,1,0,0
3480,30.8,17.174955881499713,13.625044118500288,13.625044118500288,44.23715622889704,CatBoost_tuned,16.0,1024.0,2,15.95,Q5_high,16.0,1024.0,15.95,0,0,0,0,0,0,1,0,0,0,1,0,0,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,2,0,1,0,2.0,1.0,12.598874579684942,0,1,0,0,1,0,0
2835,32.0,18.41166931305076,13.588330686949242,13.588330686949242,42.46353339671638,CatBoost_tuned,16.0,512.0,3,17.95,Q5_high,16.0,512.0,17.95,0,0,0,0,0,0,0,0,0,0,1,0,0,3,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,2,0,1,0,1.0,1.0,11.906702533283202,0,1,0,0,1,0,0
4106,39.9,26.381201589540357,13.518798410459643,13.518798410459643,33.88170027684122,CatBoost_tuned,32.0,1024.0,2,15.95,Q5_high,32.0,1024.0,15.95,0,0,0,0,0,0,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,1,0,4.0,2.0,13.92546301450547,0,1,1,1,0,0,0
6974,49.399,62.91166083796628,-13.51266083796628,13.51266083796628,27.35411817641305,CatBoost_tuned,32.0,0.0,3,14.5,Q5_high,32.0,0.0,14.5,0,0,0,1,0,0,1,0,0,0,0,0,1,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,13,0,0,3,4,0,0,1,0.0,0.0,6.9930151229329605,0,0,0,0,0,1,0
5571,37.99,24.501763997853494,13.488236002146504,13.488236002146504,35.50470124281785,CatBoost_tuned,16.0,1024.0,3,16.0,Q5_high,16.0,1024.0,16.0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,6,0,1,0,0,0,1,2.0,1.0,12.598874579684942,0,1,0,0,0,1,0
