issue_type,count,rate
normal,2475,0.4290915395284327
moderate_error,979,0.16972954230235784
premium_underprediction,894,0.15499306518723993
low_overprediction,617,0.10696948682385575
severe_error,592,0.10263522884882108
extreme_error,211,0.03658113730929265
