target,feature,importance,importance_pct,rank,group
target_price,ram_gb,21.887115717440157,0.2188711571744016,1,ram
target_price,warranty_encoded,14.795638089832162,0.14795638089832164,2,other
target_price,no_info_condition,14.585608754432878,0.1458560875443288,3,other
target_price,storage_gb,13.37817031974027,0.13378170319740273,4,storage
target_price,cpu_tier_encoded,11.149374326287877,0.11149374326287878,5,cpu
target_price,cpu_brand_Apple,5.8880737074167335,0.05888073707416734,6,brand
target_price,gpu_tier_ord_filled,4.628206085929687,0.04628206085929688,7,gpu
target_price,screen_size_inch,3.8420029705671954,0.03842002970567196,8,screen
target_price,gpu_type_Integrated,1.0442133074583138,0.01044213307458314,9,gpu
target_price,gpu_type_Dedicated,1.0177233528061127,0.010177233528061129,10,gpu
target_price,cpu_brand_Intel,0.8909813228134658,0.00890981322813466,11,brand
target_price,no_info_cpu_tier,0.6897329171000516,0.0068973291710005165,12,cpu
target_price,brand_Dell,0.5540409786113781,0.005540409786113782,13,brand
target_price,cpu_brand_AMD,0.48548710855570104,0.004854871085557011,14,brand
target_price,brand_ASUS,0.41911679690337916,0.004191167969033792,15,brand
target_price,brand_Lenovo,0.40120489373053975,0.004012048937305398,16,brand
target_price,brand_Microsoft,0.38025954886648744,0.003802595488664875,17,brand
target_price,condition_score,0.32037751534513625,0.003203775153451363,18,cpu
target_price,brand_MSI,0.3093034873876203,0.0030930348738762038,19,brand
target_price,storage_hdd,0.28444451590935804,0.002844445159093581,20,storage
target_price,brand_Apple,0.2724452413989212,0.0027244524139892123,21,brand
target_price,brand_HP,0.2248685866307865,0.002248685866307865,22,brand
target_price,no_info_model,0.207488672731964,0.0020748867273196405,23,other
target_price,ram_missing,0.20069026969716852,0.0020069026969716853,24,ram
target_price,brand_LG,0.1954684595480674,0.0019546845954806743,25,brand
target_price,model_Other,0.1683570333779742,0.0016835703337797422,26,other
target_price,no_info_gpu,0.16197659014212687,0.001619765901421269,27,gpu
target_price,gpu_type_Missing_Info,0.15766423449683364,0.0015766423449683367,28,gpu
target_price,storage_ssd,0.1548614906040054,0.0015486149060400542,29,storage
target_price,model_MacBook Air M1,0.14515781653817494,0.0014515781653817496,30,other
target_price,brand_Acer,0.1450048120625211,0.0014500481206252112,31,brand
target_price,model_Legion 5,0.12824257989017987,0.001282425798901799,32,other
target_price,no_info_storage,0.12131072131435847,0.0012131072131435848,33,storage
target_price,model_MacBook Pro,0.10550747684816,0.0010550747684816002,34,other
target_price,gpu_type_Apple SoC,0.08522627502189754,0.0008522627502189756,35,gpu
target_price,no_info_cpu_brand,0.07446480912421512,0.0007446480912421513,36,brand
target_price,model_MacBook Pro M1,0.07310378015776538,0.0007310378015776539,37,other
target_price,cpu_brand_Other,0.07080946777924832,0.0007080946777924833,38,brand
target_price,brand_Other,0.05868637900695357,0.0005868637900695358,39,brand
target_price,model_XPS 13,0.04567365254962368,0.00045673652549623687,40,other
target_price,model_Legion,0.03858555194994129,0.00038585551949941294,41,other
target_price,brand_Gigabyte,0.0311113278704648,0.000311113278704648,42,brand
target_price,model_Macbook air m4,0.026815353463340418,0.0002681535346334042,43,other
target_price,cpu_brand_Qualcomm,0.023176573337683075,0.00023176573337683077,44,brand
target_price,brand_is_rare,0.019961107541950702,0.00019961107541950705,45,brand
target_price,no_info_brand,0.01743425090414284,0.0001743425090414284,46,brand
target_price,model_ThinkPad X1 Carbon,0.0158078640061603,0.000158078640061603,47,other
target_price,model_ThinkPad,0.012756747575313355,0.00012756747575313356,48,other
target_price,storage_missing,0.010310273779403334,0.00010310273779403335,49,storage
target_price,model_Latitude E Series,0.009219492133173995,9.219492133173996e-05,50,other
target_price,brand_Sony,0.007491545827376358,7.491545827376359e-05,51,brand
target_price,model_Precision,0.006286840750850287,6.286840750850288e-05,52,other
target_price,model_Nitro 5,0.00600539023701499,6.005390237014991e-05,53,other
target_price,model_Gaming Thin GF,0.005658742936800928,5.658742936800929e-05,54,other
target_price,model_TUF Gaming F15,0.004517691250458717,4.517691250458718e-05,55,other
target_price,screen_missing,0.002727241426461077,2.7272414264610773e-05,56,screen
target_price,model_ROG Strix,0.0025502286936867425,2.550228693686743e-05,57,other
