sample_id,actual_price,predicted_price,model_name,target_used,residual,absolute_error,squared_error,percentage_error,absolute_percentage_error,prediction_ratio,price_segment
2299,2.7,26.381412827080496,CatBoost,target_price,-23.681412827080496,23.681412827080496,560.8093134866127,-8.770893636410964,8.770893636410964,9.770893636040592,Low
3647,3.5,18.198750055411807,CatBoost,target_price,-14.698750055411807,14.698750055411807,216.0532531914686,-4.199642871774904,4.199642871774904,5.19964287148919,Low
696,1.0,14.848442924669008,CatBoost,target_price,-13.848442924669008,13.848442924669008,191.77937143781512,-13.848442910820564,13.848442910820564,14.848442909820564,Low
3817,5.2,17.671508173535642,CatBoost,target_price,-12.471508173535645,12.471508173535645,155.53851612256634,-2.398366955987937,2.398366955987937,3.398366955795629,Low
4557,3.2,12.67085909206034,CatBoost,target_price,-9.47085909206034,9.47085909206034,89.69717194166202,-2.959643465343968,2.959643465343968,3.9596434650314674,Low
4280,5.6,14.598837781646152,CatBoost,target_price,-8.998837781646152,8.998837781646152,80.97908142038224,-1.606935317864146,1.606935317864146,2.6069353176855743,Low
5723,5.5,14.417263476105278,CatBoost,target_price,-8.917263476105278,8.917263476105278,79.51758790228119,-1.6213206317243558,1.6213206317243558,2.6213206315425377,Low
2155,2.889,11.683005572594,CatBoost,target_price,-8.794005572594001,8.794005572594001,77.33453401081434,-3.043961775545185,3.043961775545185,4.043961775199044,Low
5617,5.5,13.205853174230864,CatBoost,target_price,-7.705853174230864,7.705853174230864,59.38017314280388,-1.4010642132417817,1.4010642132417817,2.4010642130599638,Low
3169,2.2,9.401815593680327,CatBoost,target_price,-7.201815593680327,7.201815593680327,51.86614784537712,-3.273552541093988,3.273552541093988,4.273552540639442,Low
3235,5.5,12.26671135216118,CatBoost,target_price,-6.766711352161179,6.766711352161179,45.78838252346697,-1.2303111547147032,1.2303111547147032,2.230311154532885,Low
6690,5.39,11.973916748452416,CatBoost,target_price,-6.583916748452416,6.583916748452416,43.34795975055224,-1.2215058900242877,1.2215058900242877,2.2215058898387587,Low
2415,2.25,8.326844306121803,CatBoost,target_price,-6.076844306121803,6.076844306121803,36.92803672084498,-2.700819690409326,2.700819690409326,3.700819689964881,Low
2114,4.9,10.917711668234563,CatBoost,target_price,-6.017711668234563,6.017711668234563,36.21285372200641,-1.2281044218380526,1.2281044218380526,2.228104421633971,Low
3608,4.5,9.936786966004608,CatBoost,target_price,-5.436786966004608,5.436786966004608,29.558652513717583,-1.208174881065874,1.208174881065874,2.208174880843652,Low
5123,3.9,9.25469715121832,CatBoost,target_price,-5.35469715121832,5.35469715121832,28.672781581265586,-1.3729992691911077,1.3729992691911077,2.3729992689346977,Low
373,1.3,6.518124087470865,CatBoost,target_price,-5.218124087470865,5.218124087470865,27.22881899224365,-4.013941602659171,4.013941602659171,5.0139416018899405,Low
2890,4.39,9.573111377815138,CatBoost,target_price,-5.1831113778151385,5.1831113778151385,26.864643554836743,-1.1806631837436163,1.1806631837436163,2.1806631835158257,Low
3442,5.0,10.177019895015947,CatBoost,target_price,-5.177019895015947,5.177019895015947,26.801534993390927,-1.035403978796109,1.035403978796109,2.0354039785961087,Low
2458,4.686,9.75883551441608,CatBoost,target_price,-5.072835514416081,5.072835514416081,25.733660156321065,-1.0825513259354522,1.0825513259354522,2.0825513257220507,Low
4743,2.499,7.529617057547689,CatBoost,target_price,-5.030617057547689,5.030617057547689,25.307107979689764,-2.0130520430310668,2.0130520430310668,3.013052042630907,Low
737,2.99,7.867464601547507,CatBoost,target_price,-4.877464601547507,4.877464601547507,23.789660939348977,-1.6312590635171396,1.6312590635171396,2.6312590631826915,Low
642,4.5,9.25469715121832,CatBoost,target_price,-4.75469715121832,4.75469715121832,22.607144999803605,-1.0565993667026046,1.0565993667026046,2.0565993664803823,Low
2932,5.5,10.20342811592187,CatBoost,target_price,-4.70342811592187,4.70342811592187,22.122236041644356,-0.8551687481939457,0.8551687481939457,1.8551687480121275,Low
2112,5.5,10.190430222262613,CatBoost,target_price,-4.690430222262613,4.690430222262613,22.000135669914503,-0.8528054948017831,0.8528054948017831,1.852805494619965,Low
994,4.0,8.485775284515363,CatBoost,target_price,-4.485775284515363,4.485775284515363,20.122179903168885,-1.1214438208484796,1.1214438208484796,2.12144382059848,Low
2794,1.35,5.765031714378168,CatBoost,target_price,-4.415031714378168,4.415031714378168,19.492505038965025,-3.270393860079833,3.270393860079833,4.270393859339091,Low
2650,1.3,5.53061080274178,CatBoost,target_price,-4.23061080274178,4.23061080274178,17.89806776427545,-3.2543159996057414,3.2543159996057414,4.254315998836511,Low
5322,5.5,9.669730169066405,CatBoost,target_price,-4.169730169066405,4.169730169066405,17.386649682822547,-0.7581327578742313,0.7581327578742313,1.758132757692413,Low
157,2.05,6.195447653343248,CatBoost,target_price,-4.145447653343248,4.145447653343248,17.18473624660904,-2.022169586010282,2.022169586010282,3.022169585522477,Low
4857,2.1,6.244914151806952,CatBoost,target_price,-4.144914151806953,4.144914151806953,17.18031332584955,-1.9737686427777064,1.9737686427777064,2.973768642301516,Low
877,5.5,9.52324748556698,CatBoost,target_price,-4.02324748556698,4.02324748556698,16.186520330121027,-0.7314995426973601,0.7314995426973601,1.731499542515542,Low
339,5.5,9.48993974392738,CatBoost,target_price,-3.98993974392738,3.98993974392738,15.919619160171283,-0.7254435896730793,0.7254435896730793,1.7254435894912612,Low
1075,2.7,6.635221883821821,CatBoost,target_price,-3.935221883821821,3.935221883821821,15.485971274910158,-1.4574895860608632,1.4574895860608632,2.457489585690493,Low
3543,4.0,7.91996799557067,CatBoost,target_price,-3.91996799557067,3.91996799557067,15.366149086298336,-0.9799919986476696,0.9799919986476696,1.9799919983976693,Low
478,5.25,9.125491536225958,CatBoost,target_price,-3.875491536225958,3.875491536225958,15.019434647359036,-0.7381888639024322,0.7381888639024322,1.738188863711956,Low
5212,2.5,6.3264529361687085,CatBoost,target_price,-3.826452936168709,3.826452936168709,14.64174207271413,-1.5305811738552508,1.5305811738552508,2.530581173455251,Low
4368,4.79,8.594936146437266,CatBoost,target_price,-3.8049361464372655,3.8049361464372655,14.477539078464876,-0.7943499260214857,0.7943499260214857,1.7943499258127174,Low
5243,4.8,8.537524818950565,CatBoost,target_price,-3.7375248189505657,3.7375248189505657,13.969091772271458,-0.7786510037858155,0.7786510037858155,1.7786510035774823,Low
245,4.5,8.225539552358164,CatBoost,target_price,-3.725539552358164,3.725539552358164,13.87964495618507,-0.827897678117837,0.827897678117837,1.8278976778956144,Low
1699,2.5,6.185387017161007,CatBoost,target_price,-3.6853870171610073,3.6853870171610073,13.582077466258909,-1.474154806274741,1.474154806274741,2.4741548058747407,Low
4467,4.95,8.446871043419772,CatBoost,target_price,-3.4968710434197723,3.4968710434197723,12.228107094307688,-0.7064385944875421,0.7064385944875421,1.7064385942855218,Low
1407,1.9,5.299231575429518,CatBoost,target_price,-3.399231575429518,3.399231575429518,11.554775303397044,-1.7890692492844469,1.7890692492844469,2.789069248758131,Low
4796,3.0,6.379097703599943,CatBoost,target_price,-3.3790977035999434,3.3790977035999434,11.41830129047441,-1.126365900824526,1.126365900824526,2.126365900491193,Low
2641,4.5,7.851660652387112,CatBoost,target_price,-3.351660652387112,3.351660652387112,11.233629128760002,-0.744813478142733,0.744813478142733,1.744813477920511,Low
2118,5.3,8.649924389676631,CatBoost,target_price,-3.349924389676631,3.349924389676631,11.22199341655035,-0.6320612054801076,0.6320612054801076,1.6320612052914285,Low
2291,5.2,8.537524818950565,CatBoost,target_price,-3.3375248189505653,3.3375248189505653,11.139071917111004,-0.6418316958286026,0.6418316958286026,1.6418316956362948,Low
5710,4.5,7.802916669802159,CatBoost,target_price,-3.3029166698021597,3.3029166698021597,10.909258527656986,-0.7339814820151506,0.7339814820151506,1.7339814817929284,Low
3362,3.0,6.253912867143992,CatBoost,target_price,-3.253912867143992,3.253912867143992,10.587948946965234,-1.0846376220197846,1.0846376220197846,2.0846376216864515,Low
2523,1.65,4.899191831047657,CatBoost,target_price,-3.249191831047657,3.249191831047657,10.55724755494683,-1.9692071691384547,1.9692071691384547,2.969207168532394,Low
