sample_id,actual_price,predicted_price,residual,absolute_error,percentage_error,absolute_percentage_error,prediction_ratio,price_segment,issue_type,model_name,target_used
696,1.0,14.848442924669008,-13.848442924669008,13.848442924669008,-13.848442910820564,13.848442910820564,14.848442909820564,Low,extreme_error,CatBoost,target_price
696,1.0,14.43964385040756,-13.43964385040756,13.43964385040756,-13.439643836967916,13.439643836967916,14.439643835967916,Low,extreme_error,LightGBM,target_price
696,1.0,14.371146501033548,-13.371146501033548,13.371146501033548,-13.3711464876624,13.3711464876624,14.3711464866624,Low,extreme_error,LightGBM,log_target_price
696,1.0,14.346957231955043,-13.346957231955043,13.346957231955043,-13.346957218608084,13.346957218608084,14.346957217608084,Low,extreme_error,CatBoost,log_target_price
2299,2.7,36.27796441201049,-33.57796441201049,33.57796441201049,-12.436283110953408,12.436283110953408,13.43628311058304,Low,extreme_error,LightGBM,target_price
2299,2.7,26.381412827080496,-23.681412827080496,23.681412827080496,-8.770893636410964,8.770893636410964,9.770893636040592,Low,extreme_error,CatBoost,target_price
2299,2.7,16.11532517056186,-13.41532517056186,13.41532517056186,-4.968638950219711,4.968638950219711,5.968638949849341,Low,extreme_error,LightGBM,log_target_price
373,1.3,7.557174220647696,-6.257174220647697,6.257174220647697,-4.813210935257296,4.813210935257296,5.813210934488065,Low,extreme_error,LightGBM,target_price
373,1.3,7.336461005551834,-6.036461005551834,6.036461005551834,-4.643431539160309,4.643431539160309,5.643431538391078,Low,extreme_error,LightGBM,log_target_price
2299,2.7,14.150570803789051,-11.450570803789052,11.450570803789052,-4.240952147980777,4.240952147980777,5.240952147610407,Low,extreme_error,CatBoost,log_target_price
3647,3.5,18.198750055411807,-14.698750055411807,14.698750055411807,-4.199642871774904,4.199642871774904,5.19964287148919,Low,extreme_error,CatBoost,target_price
3647,3.5,18.1566990349141,-14.656699034914102,14.656699034914102,-4.187628294493278,4.187628294493278,5.187628294207563,Low,extreme_error,LightGBM,log_target_price
3647,3.5,17.979382679886633,-14.479382679886632,14.479382679886632,-4.136966478785619,4.136966478785619,5.136966478499905,Low,extreme_error,LightGBM,target_price
373,1.3,6.518124087470865,-5.218124087470865,5.218124087470865,-4.013941602659171,4.013941602659171,5.0139416018899405,Low,extreme_error,CatBoost,target_price
3647,3.5,17.1843104791825,-13.6843104791825,13.6843104791825,-3.909802992935056,3.909802992935056,4.909802992649342,Low,extreme_error,CatBoost,log_target_price
3169,2.2,10.402874570803728,-8.20287457080373,8.20287457080373,-3.728579348670522,3.728579348670522,4.728579348215976,Low,extreme_error,LightGBM,target_price
373,1.3,5.870399848491413,-4.570399848491413,4.570399848491413,-3.515692188442862,3.515692188442862,4.515692187673631,Low,extreme_error,CatBoost,log_target_price
1979,1.1,4.831339497940894,-3.7313394979408936,3.7313394979408936,-3.392126813226151,3.392126813226151,4.39212681231706,Low,extreme_error,LightGBM,target_price
2794,1.35,5.793899351628974,-4.443899351628973,4.443899351628973,-3.291777295064589,3.291777295064589,4.291777294323849,Low,extreme_error,LightGBM,target_price
3169,2.2,9.401815593680327,-7.201815593680327,7.201815593680327,-3.273552541093988,3.273552541093988,4.273552540639442,Low,extreme_error,CatBoost,target_price
2794,1.35,5.765031714378168,-4.415031714378168,4.415031714378168,-3.270393860079833,3.270393860079833,4.270393859339091,Low,extreme_error,CatBoost,target_price
2650,1.3,5.53061080274178,-4.23061080274178,4.23061080274178,-3.2543159996057414,3.2543159996057414,4.254315998836511,Low,extreme_error,CatBoost,target_price
2155,2.889,11.683005572594,-8.794005572594001,8.794005572594001,-3.043961775545185,3.043961775545185,4.043961775199044,Low,extreme_error,CatBoost,target_price
4557,3.2,12.67085909206034,-9.47085909206034,9.47085909206034,-2.959643465343968,2.959643465343968,3.9596434650314674,Low,extreme_error,CatBoost,target_price
2650,1.3,5.039320335621862,-3.739320335621862,3.739320335621862,-2.876400255958047,2.876400255958047,3.876400255188816,Low,extreme_error,LightGBM,target_price
2155,2.889,10.971570875968087,-8.082570875968088,8.082570875968088,-2.797705390505498,2.797705390505498,3.797705390159357,Low,extreme_error,CatBoost,log_target_price
2415,2.25,8.326844306121803,-6.076844306121803,6.076844306121803,-2.700819690409326,2.700819690409326,3.700819689964881,Low,extreme_error,CatBoost,target_price
1979,1.1,3.985367656952384,-2.885367656952384,2.885367656952384,-2.623061503935747,2.623061503935747,3.623061503026656,Low,extreme_error,LightGBM,log_target_price
4557,3.2,11.44792021495532,-8.247920214955318,8.247920214955318,-2.577475066368076,2.577475066368076,3.577475066055576,Low,extreme_error,LightGBM,target_price
3169,2.2,7.864637086064999,-5.664637086064999,5.664637086064999,-2.574835037950074,2.574835037950074,3.5748350374955287,Low,extreme_error,LightGBM,log_target_price
2794,1.35,4.677972800939047,-3.327972800939047,3.327972800939047,-2.465165035906579,2.465165035906579,3.465165035165838,Low,extreme_error,CatBoost,log_target_price
5823,7.29,25.006852879552905,-17.716852879552906,17.716852879552906,-2.4302953192212087,2.4302953192212087,3.4302953190840344,Mid,extreme_error,CatBoost,target_price
3817,5.2,17.671508173535642,-12.471508173535645,12.471508173535645,-2.398366955987937,2.398366955987937,3.398366955795629,Low,extreme_error,CatBoost,target_price
2794,1.35,4.565433333352431,-3.2154333333524305,3.2154333333524305,-2.38180246738565,2.38180246738565,3.3818024666449094,Low,extreme_error,LightGBM,log_target_price
3169,2.2,7.378382325373746,-5.178382325373746,5.178382325373746,-2.353810146827243,2.353810146827243,3.3538101463726977,Low,extreme_error,CatBoost,log_target_price
157,2.05,6.842001566233295,-4.792001566233295,4.792001566233295,-2.337561738485724,2.337561738485724,3.3375617379979188,Low,extreme_error,LightGBM,log_target_price
4557,3.2,10.673141789546372,-7.473141789546372,7.473141789546372,-2.335356808503442,2.335356808503442,3.335356808190942,Low,extreme_error,LightGBM,log_target_price
5823,7.29,24.18287951089429,-16.89287951089429,16.89287951089429,-2.3172674223013745,2.3172674223013745,3.3172674221642,Mid,extreme_error,CatBoost,log_target_price
4557,3.2,10.612403389250206,-7.412403389250206,7.412403389250206,-2.3163760584168216,2.3163760584168216,3.3163760581043213,Low,extreme_error,CatBoost,log_target_price
5823,7.29,23.92647914392626,-16.636479143926262,16.636479143926262,-2.2820959042035893,2.2820959042035893,3.282095904066415,Mid,extreme_error,LightGBM,target_price
157,2.05,6.607803668619695,-4.557803668619695,4.557803668619695,-2.223318861656769,2.223318861656769,3.223318861168964,Low,extreme_error,LightGBM,target_price
1979,1.1,3.520157720337246,-2.420157720337246,2.420157720337246,-2.200143380124638,2.200143380124638,3.200143379215548,Low,extreme_error,CatBoost,log_target_price
221,1.2,3.826524821736827,-2.626524821736827,2.626524821736827,-2.1887706829567133,2.1887706829567133,3.1887706821233803,Low,extreme_error,CatBoost,target_price
157,2.05,6.430081098509628,-4.380081098509629,4.380081098509629,-2.136624925060002,2.136624925060002,3.136624924572197,Low,extreme_error,CatBoost,log_target_price
