sample_id,actual_price,predicted_price,model_name,target_used,residual,absolute_error,squared_error,percentage_error,absolute_percentage_error,prediction_ratio,price_segment,issue_type,ram_gb,storage_gb,screen_size_inch,brand_is_rare,model_is_rare,ram_missing,storage_missing,screen_missing,target_price,log_target_price,no_info_brand,no_info_model,no_info_cpu_brand,no_info_cpu_tier,no_info_gpu,storage_ssd,storage_hdd,no_info_storage,no_info_condition,condition_score,warranty_encoded,cpu_tier_encoded,brand_ASUS,brand_Acer,brand_Apple,brand_Dell,brand_Gigabyte,brand_HP,brand_LG,brand_Lenovo,brand_MSI,brand_Microsoft,brand_Other,brand_Sony,brand_Toshiba,model_Aspire,model_Elitebook,model_Elitebook 800,model_Gaming Thin GF,model_IdeaPad,model_Inspiron,model_Latitude,model_Latitude 14 7000,model_Latitude E Series,model_Legion,model_Legion 5,model_MacBook Air,model_MacBook Air M1,model_MacBook Air M2,model_MacBook Pro,model_MacBook Pro M1,model_MacBook Pro M2,model_Macbook air m4,model_Nitro 5,model_Other,model_Pavilion 15,model_Precision,model_ProBook,model_ROG Strix,model_TUF Gaming,model_TUF Gaming F15,model_ThinkPad,model_ThinkPad X1 Carbon,model_Vivobook 15,model_Vostro,model_X Series,model_XPS 13,cpu_brand_AMD,cpu_brand_Apple,cpu_brand_Intel,cpu_brand_Microsoft SQ,cpu_brand_Other,cpu_brand_Qualcomm,gpu_tier_ord_filled,gpu_type_Apple SoC,gpu_type_Dedicated,gpu_type_Integrated,gpu_type_Missing_Info
696,1.0,14.848442924669008,CatBoost,target_price,-13.848442924669008,13.848442924669008,191.77937143781512,-13.848442910820564,13.848442910820564,14.848442909820564,Low,extreme_error,16.0,512.0,15.95,0,0,0,0,0,1.0,0.6931471805599453,0,1,0,0,0,1,0,0,0,2.0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0
696,1.0,14.43964385040756,LightGBM,target_price,-13.43964385040756,13.43964385040756,180.62402682579773,-13.439643836967916,13.439643836967916,14.439643835967916,Low,extreme_error,16.0,512.0,15.95,0,0,0,0,0,1.0,0.6931471805599453,0,1,0,0,0,1,0,0,0,2.0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0
696,1.0,14.371146501033548,LightGBM,log_target_price,-13.371146501033548,13.371146501033548,178.78755875210172,-13.3711464876624,13.3711464876624,14.3711464866624,Low,extreme_error,16.0,512.0,15.95,0,0,0,0,0,1.0,0.6931471805599453,0,1,0,0,0,1,0,0,0,2.0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0
696,1.0,14.346957231955043,CatBoost,log_target_price,-13.346957231955043,13.346957231955043,178.14126735163703,-13.346957218608084,13.346957218608084,14.346957217608084,Low,extreme_error,16.0,512.0,15.95,0,0,0,0,0,1.0,0.6931471805599453,0,1,0,0,0,1,0,0,0,2.0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0
2299,2.7,36.27796441201049,LightGBM,target_price,-33.57796441201049,33.57796441201049,1127.4796940542428,-12.436283110953408,12.436283110953408,13.43628311058304,Low,extreme_error,0.0,1024.0,15.95,0,0,1,0,0,2.7,1.308332819650179,0,1,0,0,0,1,0,0,0,2.0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0
2299,2.7,26.381412827080496,CatBoost,target_price,-23.681412827080496,23.681412827080496,560.8093134866127,-8.770893636410964,8.770893636410964,9.770893636040592,Low,extreme_error,0.0,1024.0,15.95,0,0,1,0,0,2.7,1.308332819650179,0,1,0,0,0,1,0,0,0,2.0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0
2299,2.7,16.11532517056186,LightGBM,log_target_price,-13.41532517056186,13.41532517056186,179.9709494319106,-4.968638950219711,4.968638950219711,5.968638949849341,Low,extreme_error,0.0,1024.0,15.95,0,0,1,0,0,2.7,1.308332819650179,0,1,0,0,0,1,0,0,0,2.0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0
373,1.3,7.557174220647696,LightGBM,target_price,-6.257174220647697,6.257174220647697,39.15222922753811,-4.813210935257296,4.813210935257296,5.813210934488065,Low,extreme_error,16.0,0.0,0.0,0,0,0,1,1,1.3,0.832909122935104,0,0,0,0,1,1,0,0,0,2.0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,1
373,1.3,7.336461005551834,LightGBM,log_target_price,-6.036461005551834,6.036461005551834,36.43886147154785,-4.643431539160309,4.643431539160309,5.643431538391078,Low,extreme_error,16.0,0.0,0.0,0,0,0,1,1,1.3,0.832909122935104,0,0,0,0,1,1,0,0,0,2.0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,1
2299,2.7,14.150570803789051,CatBoost,log_target_price,-11.450570803789052,11.450570803789052,131.11557173258626,-4.240952147980777,4.240952147980777,5.240952147610407,Low,extreme_error,0.0,1024.0,15.95,0,0,1,0,0,2.7,1.308332819650179,0,1,0,0,0,1,0,0,0,2.0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0
