sample_id,model_name,target_used,actual_price,predicted_price,residual,absolute_error,absolute_percentage_error,prediction_ratio,price_segment,issue_type,ram_gb,storage_gb,screen_size_inch,brand_is_rare,model_is_rare,ram_missing,storage_missing,screen_missing,no_info_brand,no_info_model,no_info_cpu_brand,no_info_cpu_tier,no_info_gpu,storage_ssd,storage_hdd,no_info_storage,condition_score,warranty_encoded,cpu_tier_encoded,brand_ASUS,brand_Acer,brand_Apple,brand_Dell,brand_Gigabyte,brand_HP,brand_LG,brand_Lenovo,brand_MSI,brand_Microsoft,brand_Other,brand_Sony,brand_Toshiba,model_Aspire,model_Elitebook,model_Elitebook 800,model_Gaming Thin GF,model_IdeaPad,model_Inspiron,model_Latitude,model_Latitude 14 7000,model_Latitude E Series,model_Legion,model_Legion 5,model_MacBook Air,model_MacBook Air M1,model_MacBook Air M2,model_MacBook Pro,model_MacBook Pro M1,model_MacBook Pro M2,model_Macbook air m4,model_Nitro 5,model_Other,model_Pavilion 15,model_Precision,model_ProBook,model_ROG Strix,model_TUF Gaming,model_TUF Gaming F15,model_ThinkPad,model_ThinkPad X1 Carbon,model_Vivobook 15,model_Vostro,model_X Series,model_XPS 13,cpu_brand_AMD,cpu_brand_Apple,cpu_brand_Intel,cpu_brand_Microsoft SQ,cpu_brand_Other,cpu_brand_Qualcomm,cpu_family_ord_filled,cpu_family_group_AMD Ryzen,cpu_family_group_Apple Silicon,cpu_family_group_Intel Core Ultra,cpu_family_group_Intel Core i,cpu_family_group_Intel Low End,cpu_intel_generation_ord,cpu_amd_generation_ord,cpu_apple_core_spec,cpu_qualcomm_snapdragon_spec,cpu_suffix_power_ord_filled,gpu_tier_ord_filled,gpu_type_Apple SoC,gpu_type_Dedicated,gpu_type_Integrated,gpu_type_Missing_Info
7187,LightGBM,target_price,50.999,76.83301829860555,-25.83401829860555,25.83401829860555,0.5065593109296063,1.5065593109099982,Premium,severe_error,32.0,2048.0,17.0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,12,0,0,0,3,3,0,1,0,0
5724,LightGBM,target_price,62.05,36.37853708025322,25.67146291974678,25.67146291974678,0.4137222065968261,0.5862777933870579,Premium,premium_underprediction,32.0,1024.0,15.6,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,12,0,0,0,3,3,0,1,0,0
2572,LightGBM,target_price,56.99,32.43024760243082,24.559752397569184,24.559752397569184,0.4309484540645418,0.5690515459179113,Premium,premium_underprediction,32.0,1024.0,13.95,0,0,0,0,0,0,1,0,1,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
5958,LightGBM,target_price,89.09,112.4313605415395,-23.3413605415395,23.3413605415395,0.2619975366626726,1.261997536651448,Premium,moderate_error,32.0,2048.0,18.0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,15,0,0,0,4,5,0,1,0,0
5684,LightGBM,target_price,20.59,42.54000349552346,-21.950003495523458,21.950003495523458,1.066051651017844,2.066051650969277,Premium,extreme_error,16.0,512.0,16.0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,12,0,0,0,3,3,0,1,0,0
7182,LightGBM,target_price,57.28,35.33392875279804,21.946071247201964,21.946071247201964,0.3831367186944627,0.6168632812880792,Premium,premium_underprediction,16.0,512.0,13.4,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,10,0,0,0,1,0,0,0,1,0
6575,LightGBM,target_price,38.0,17.05244972250717,20.94755027749283,20.94755027749283,0.55125132307741,0.4487486768962743,Premium,severe_error,8.0,256.0,12.0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,1,0,0,0,0,-1,0,0,0,1
5889,LightGBM,target_price,51.0,30.06610291407477,20.93389708592523,20.93389708592523,0.4104685703042111,0.5895314296761811,Premium,premium_underprediction,16.0,512.0,15.0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,11,0,0,0,1,0,0,0,1,0
6498,LightGBM,target_price,18.006229,38.22870052500897,-20.222471525008967,20.222471525008967,1.1230819914533956,2.12308199139786,High,extreme_error,16.0,1024.0,14.2,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
6513,LightGBM,target_price,39.99,19.87913646085078,20.11086353914922,20.11086353914922,0.5028973127943567,0.4971026871806371,Premium,severe_error,8.0,256.0,13.4,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,11,0,0,0,1,0,0,0,1,0
