sample_id,feature,feature_group,feature_value,flag,actual_price,predicted_price,residual,absolute_error,absolute_percentage_error,prediction_ratio,price_segment,issue_type
1512,model_ROG Strix,other,1.0,high_extreme_value,34.99,19.523443662488862,15.46655633751114,15.46655633751114,0.4420279033172081,0.5579720966542123,Premium,premium_underprediction
1512,model_ROG Strix,other,1.0,rare_value,34.99,19.523443662488862,15.46655633751114,15.46655633751114,0.4420279033172081,0.5579720966542123,Premium,premium_underprediction
3296,model_ThinkPad X1 Carbon,other,1.0,high_extreme_value,51.0,25.101890570865287,25.898109429134717,25.898109429134717,0.5078060672279786,0.4921939327524136,Premium,severe_error
3296,model_ThinkPad X1 Carbon,other,1.0,rare_value,51.0,25.101890570865287,25.898109429134717,25.898109429134717,0.5078060672279786,0.4921939327524136,Premium,severe_error
5433,gpu_tier_ord_filled,gpu,5.0,high_extreme_value,62.99,48.49718028393716,14.49281971606284,14.49281971606284,0.2300812782319853,0.7699187217521392,Premium,premium_underprediction
5433,gpu_tier_ord_filled,gpu,5.0,rare_value,62.99,48.49718028393716,14.49281971606284,14.49281971606284,0.2300812782319853,0.7699187217521392,Premium,premium_underprediction
5439,ram_gb,ram,64.0,high_extreme_value,109.0,124.76755220921294,-15.767552209212935,15.767552209212935,0.14465644228503,1.1446564422758558,Premium,normal
5439,ram_gb,ram,64.0,rare_value,109.0,124.76755220921294,-15.767552209212935,15.767552209212935,0.14465644228503,1.1446564422758558,Premium,normal
5464,ram_gb,ram,64.0,high_extreme_value,127.0,112.68561450703125,14.314385492968754,14.314385492968754,0.112711696794142,0.8872883031979839,Premium,premium_underprediction
5464,ram_gb,ram,64.0,rare_value,127.0,112.68561450703125,14.314385492968754,14.314385492968754,0.112711696794142,0.8872883031979839,Premium,premium_underprediction
5464,gpu_tier_ord_filled,gpu,5.0,high_extreme_value,127.0,112.68561450703125,14.314385492968754,14.314385492968754,0.112711696794142,0.8872883031979839,Premium,premium_underprediction
5464,gpu_tier_ord_filled,gpu,5.0,rare_value,127.0,112.68561450703125,14.314385492968754,14.314385492968754,0.112711696794142,0.8872883031979839,Premium,premium_underprediction
5509,gpu_tier_ord_filled,gpu,5.0,high_extreme_value,53.29,41.89571312676448,11.394286873235522,11.394286873235522,0.2138166048606062,0.7861833951206286,Premium,premium_underprediction
5509,gpu_tier_ord_filled,gpu,5.0,rare_value,53.29,41.89571312676448,11.394286873235522,11.394286873235522,0.2138166048606062,0.7861833951206286,Premium,premium_underprediction
5537,ram_gb,ram,24.0,rare_value,25.99,14.744185635874356,11.245814364125645,11.245814364125645,0.4326977438896862,0.5673022560718374,Premium,premium_underprediction
5683,ram_gb,ram,64.0,high_extreme_value,80.49,52.42392762963756,28.066072370362438,28.066072370362438,0.348690177289275,0.6513098226983011,Premium,premium_underprediction
5683,ram_gb,ram,64.0,rare_value,80.49,52.42392762963756,28.066072370362438,28.066072370362438,0.348690177289275,0.6513098226983011,Premium,premium_underprediction
5733,cpu_amd_generation_ord,cpu,9.0,high_extreme_value,20.0,34.24126233678595,-14.241262336785953,14.241262336785953,0.7120631168036944,1.7120631167536944,Premium,severe_error
5733,cpu_amd_generation_ord,cpu,9.0,rare_value,20.0,34.24126233678595,-14.241262336785953,14.241262336785953,0.7120631168036944,1.7120631167536944,Premium,severe_error
5744,ram_gb,ram,24.0,rare_value,42.345,30.12440463139067,12.220595368609327,12.220595368609327,0.2885959468253803,0.7114040531510042,Premium,premium_underprediction
5958,screen_size_inch,screen,18.0,high_extreme_value,89.09,112.4313605415395,-23.3413605415395,23.3413605415395,0.2619975366626726,1.261997536651448,Premium,moderate_error
5958,gpu_tier_ord_filled,gpu,5.0,high_extreme_value,89.09,112.4313605415395,-23.3413605415395,23.3413605415395,0.2619975366626726,1.261997536651448,Premium,moderate_error
5958,gpu_tier_ord_filled,gpu,5.0,rare_value,89.09,112.4313605415395,-23.3413605415395,23.3413605415395,0.2619975366626726,1.261997536651448,Premium,moderate_error
6016,ram_gb,ram,128.0,high_extreme_value,151.89,135.56690776685306,16.323092233146923,16.323092233146923,0.1074665365266933,0.892533463466723,Premium,premium_underprediction
6016,ram_gb,ram,128.0,rare_value,151.89,135.56690776685306,16.323092233146923,16.323092233146923,0.1074665365266933,0.892533463466723,Premium,premium_underprediction
6016,storage_gb,storage,4096.0,high_extreme_value,151.89,135.56690776685306,16.323092233146923,16.323092233146923,0.1074665365266933,0.892533463466723,Premium,premium_underprediction
6021,cpu_amd_generation_ord,cpu,9.0,high_extreme_value,78.2,67.3459761133478,10.8540238866522,10.8540238866522,0.1387982594183299,0.8612017405688823,Premium,premium_underprediction
6021,cpu_amd_generation_ord,cpu,9.0,rare_value,78.2,67.3459761133478,10.8540238866522,10.8540238866522,0.1387982594183299,0.8612017405688823,Premium,premium_underprediction
6021,gpu_tier_ord_filled,gpu,5.0,high_extreme_value,78.2,67.3459761133478,10.8540238866522,10.8540238866522,0.1387982594183299,0.8612017405688823,Premium,premium_underprediction
