model,target,n,mae,rmse,mape,median_absolute_error,mean_residual,median_residual,underprediction_rate,overprediction_rate,severe_error_rate,extreme_error_rate,r2,scope,segment
CatBoost,target_price,1442,3.4804399364028975,5.407632656568625,0.3295826695522264,2.1423653816044776,-0.1559689122124094,-0.3718218787292289,0.4486823855755895,0.5513176144244105,0.16158113730929266,0.05339805825242718,0.8780825404543512,global,All
CatBoost,target_price,364,1.81527229198409,2.8078952976781117,0.6037690962449391,1.1937652110358352,-1.4972687724379694,-1.0430193167391129,0.23901098901098902,0.760989010989011,0.37637362637362637,0.17582417582417584,-3.864599775676317,segment,Low
CatBoost,target_price,355,3.260797494216358,4.321243006377712,0.2281866707562644,2.6026997626906283,-0.4521139937203194,0.36030433928251426,0.532394366197183,0.4676056338028169,0.10422535211267606,0.005633802816901409,-2.3006261778611696,segment,High
CatBoost,target_price,358,6.593131655567055,9.0123752352146,0.1901044846747023,4.814253844864142,2.3720682684311667,1.763415480878873,0.6061452513966481,0.39385474860335196,0.0335195530726257,0.002793296089385475,0.7844484321790612,segment,Premium
CatBoost,log_target_price,1442,3.364600776027799,5.42439893841105,0.2838582286965682,1.9786701013939236,0.5262786867234917,-0.02406962504667609,0.4972260748959778,0.5027739251040222,0.11858529819694869,0.029819694868238558,0.8773253620465599,global,All
CatBoost,log_target_price,364,1.3907045964103588,2.0609944885358416,0.44935564138257533,0.9150545233735636,-1.0093705913014326,-0.7175901278701591,0.2857142857142857,0.7142857142857143,0.2774725274725275,0.09615384615384616,-1.620830638289143,segment,Low
CatBoost,log_target_price,355,3.1956863339613193,4.115696226788039,0.2237486849977726,2.6045302424666943,0.19328959654707414,0.8401614744972132,0.5802816901408451,0.4197183098591549,0.07323943661971831,0.0028169014084507044,-1.9940950674574878,segment,High
CatBoost,log_target_price,358,6.8374145070515855,9.439374212916672,0.19393887368092397,4.931602086248087,3.489138412558908,2.1888381239680843,0.6564245810055865,0.3435754189944134,0.027932960893854747,0.002793296089385475,0.7635392503616439,segment,Premium
