sample_id,feature,feature_group,feature_value,flag,actual_price,predicted_price,residual,absolute_error,absolute_percentage_error,prediction_ratio,price_segment,issue_type
2182,model_XPS 13,other,1.0,high_extreme_value,31.5,7.111154654839437,24.38884534516056,24.38884534516056,0.7742490585519464,0.2257509414163075,Premium,severe_error
2182,model_XPS 13,other,1.0,rare_value,31.5,7.111154654839437,24.38884534516056,24.38884534516056,0.7742490585519464,0.2257509414163075,Premium,severe_error
5345,gpu_tier_ord_filled,gpu,5.0,high_extreme_value,62.99,35.691214817363814,27.298785182636188,27.298785182636188,0.4333828414383681,0.5666171585457564,Premium,premium_underprediction
5345,gpu_tier_ord_filled,gpu,5.0,rare_value,62.99,35.691214817363814,27.298785182636188,27.298785182636188,0.4333828414383681,0.5666171585457564,Premium,premium_underprediction
5721,ram_gb,ram,64.0,high_extreme_value,76.5,42.27233551621693,34.22766448378307,34.22766448378307,0.4474204507625575,0.5525795492243706,Premium,premium_underprediction
5721,ram_gb,ram,64.0,rare_value,76.5,42.27233551621693,34.22766448378307,34.22766448378307,0.4474204507625575,0.5525795492243706,Premium,premium_underprediction
6490,ram_gb,ram,24.0,rare_value,76.0,58.800417614512654,17.199582385487346,17.199582385487346,0.2263102945429083,0.7736897054439337,Premium,premium_underprediction
6490,storage_gb,storage,4096.0,high_extreme_value,76.0,58.800417614512654,17.199582385487346,17.199582385487346,0.2263102945429083,0.7736897054439337,Premium,premium_underprediction
6499,ram_gb,ram,64.0,high_extreme_value,104.0,118.98017771205058,-14.980177712050576,14.980177712050576,0.1440401703067936,1.144040170297178,Premium,normal
6499,ram_gb,ram,64.0,rare_value,104.0,118.98017771205058,-14.980177712050576,14.980177712050576,0.1440401703067936,1.144040170297178,Premium,normal
6499,storage_gb,storage,4096.0,high_extreme_value,104.0,118.98017771205058,-14.980177712050576,14.980177712050576,0.1440401703067936,1.144040170297178,Premium,normal
6499,gpu_tier_ord_filled,gpu,5.0,high_extreme_value,104.0,118.98017771205058,-14.980177712050576,14.980177712050576,0.1440401703067936,1.144040170297178,Premium,normal
6499,gpu_tier_ord_filled,gpu,5.0,rare_value,104.0,118.98017771205058,-14.980177712050576,14.980177712050576,0.1440401703067936,1.144040170297178,Premium,normal
6572,ram_gb,ram,64.0,high_extreme_value,84.99,99.50652642967825,-14.516526429678253,14.516526429678253,0.1708027583187133,1.1708027583069471,Premium,normal
6572,ram_gb,ram,64.0,rare_value,84.99,99.50652642967825,-14.516526429678253,14.516526429678253,0.1708027583187133,1.1708027583069471,Premium,normal
6750,brand_LG,brand,1.0,high_extreme_value,46.49,28.015221271471425,18.474778728528577,18.474778728528577,0.3973925301813548,0.6026074697971353,Premium,premium_underprediction
6750,brand_LG,brand,1.0,rare_value,46.49,28.015221271471425,18.474778728528577,18.474778728528577,0.3973925301813548,0.6026074697971353,Premium,premium_underprediction
6883,ram_gb,ram,64.0,high_extreme_value,61.99,44.49507105451148,17.494928945488525,17.494928945488525,0.2822217929538039,0.7177782070300646,Premium,premium_underprediction
6883,ram_gb,ram,64.0,rare_value,61.99,44.49507105451148,17.494928945488525,17.494928945488525,0.2822217929538039,0.7177782070300646,Premium,premium_underprediction
7067,ram_gb,ram,128.0,high_extreme_value,146.99,128.95430292423433,18.03569707576568,18.03569707576568,0.1227001637910264,0.8772998362021704,Premium,premium_underprediction
7067,ram_gb,ram,128.0,rare_value,146.99,128.95430292423433,18.03569707576568,18.03569707576568,0.1227001637910264,0.8772998362021704,Premium,premium_underprediction
7067,storage_gb,storage,4096.0,high_extreme_value,146.99,128.95430292423433,18.03569707576568,18.03569707576568,0.1227001637910264,0.8772998362021704,Premium,premium_underprediction
7067,screen_size_inch,screen,18.0,high_extreme_value,146.99,128.95430292423433,18.03569707576568,18.03569707576568,0.1227001637910264,0.8772998362021704,Premium,premium_underprediction
7068,gpu_tier_ord_filled,gpu,5.0,high_extreme_value,63.99,49.17632608301444,14.813673916985564,14.813673916985564,0.2314998267972193,0.7685001731871532,Premium,premium_underprediction
7068,gpu_tier_ord_filled,gpu,5.0,rare_value,63.99,49.17632608301444,14.813673916985564,14.813673916985564,0.2314998267972193,0.7685001731871532,Premium,premium_underprediction
7085,ram_gb,ram,128.0,high_extreme_value,125.0,112.04175563033374,12.95824436966626,12.95824436966626,0.1036659549565007,0.8963340450354992,Premium,premium_underprediction
7085,ram_gb,ram,128.0,rare_value,125.0,112.04175563033374,12.95824436966626,12.95824436966626,0.1036659549565007,0.8963340450354992,Premium,premium_underprediction
