target,feature,mean_abs_shap,shap_importance_pct,rank,group
log_target_price,ram_gb,0.22703705227312626,0.1986397795320808,1,ram
log_target_price,no_info_condition,0.1767710803395188,0.15466095985094006,2,other
log_target_price,storage_gb,0.16784527648398387,0.14685157502913085,3,storage
log_target_price,warranty_encoded,0.1593695468196119,0.13943597015297624,4,other
log_target_price,cpu_tier_encoded,0.07919208658994194,0.06928692239180168,5,cpu
log_target_price,cpu_brand_Apple,0.05452775221257279,0.0477075462768747,6,brand
log_target_price,gpu_tier_ord_filled,0.036650008855352266,0.032065909973663424,7,gpu
log_target_price,gpu_type_Dedicated,0.031151489613995983,0.02725513288278591,8,gpu
log_target_price,screen_size_inch,0.029895423450535148,0.026156172588466146,9,screen
log_target_price,cpu_brand_Intel,0.022119647875434877,0.019352973152672183,10,brand
log_target_price,brand_Apple,0.021381919100018163,0.018707517797098956,11,brand
log_target_price,no_info_storage,0.012010643510513327,0.010508379822059485,12,storage
log_target_price,brand_Microsoft,0.01184871757767147,0.010366707212773055,13,brand
log_target_price,storage_hdd,0.00981415673791871,0.008586624567201592,14,storage
log_target_price,brand_Dell,0.009094437663789588,0.007956926300867272,15,brand
log_target_price,condition_score,0.007742350580336931,0.006773955162561135,16,cpu
log_target_price,no_info_cpu_tier,0.0075336516179139446,0.006591359786743779,17,cpu
log_target_price,gpu_type_Integrated,0.006345062747262489,0.005551436880519381,18,gpu
log_target_price,ram_missing,0.005458465596693879,0.0047757332640415975,19,ram
log_target_price,brand_Acer,0.005163068666062367,0.00451728390263733,20,brand
log_target_price,cpu_brand_AMD,0.0042685141161191405,0.0037346181800116864,21,brand
log_target_price,brand_Lenovo,0.003323750885073147,0.002908023762730282,22,brand
log_target_price,brand_MSI,0.0033167978177131604,0.0029019403690567335,23,brand
log_target_price,no_info_model,0.0031468045275674914,0.0027532094489783384,24,other
log_target_price,storage_missing,0.0029063661686545296,0.0025428445674431878,25,storage
log_target_price,model_Latitude E Series,0.0025353587482931108,0.0022182419026028216,26,other
log_target_price,model_Other,0.0024022692236278804,0.0021017989098276726,27,other
log_target_price,model_Legion 5,0.0023708127749745016,0.002074276961481319,28,other
log_target_price,model_MacBook Air M1,0.0022983159266474766,0.0020108478523369368,29,other
log_target_price,brand_HP,0.0021949265612713547,0.0019203901911813987,30,brand
log_target_price,gpu_type_Missing_Info,0.0020461318364159214,0.0017902063685634796,31,gpu
log_target_price,brand_Sony,0.0019275587075615146,0.0016864640941714846,32,brand
log_target_price,model_MacBook Pro,0.0016853429049910218,0.0014745440875467168,33,other
log_target_price,brand_is_rare,0.0015555560242659309,0.0013609906515975303,34,brand
log_target_price,brand_LG,0.00152852689294212,0.001337342261903647,35,brand
log_target_price,model_Nitro 5,0.0014698463880544288,0.001286001379712754,36,other
log_target_price,model_XPS 13,0.0014538677867368384,0.001272021345127303,37,other
log_target_price,model_ThinkPad,0.001433828985149872,0.0012544889507913619,38,other
log_target_price,model_Inspiron,0.0013541424829364656,0.0011847694531460545,39,other
log_target_price,storage_ssd,0.0013350467667357362,0.0011680621852435589,40,storage
log_target_price,model_Macbook air m4,0.0012541740192593095,0.0010973048151666017,41,other
log_target_price,model_is_rare,0.0012354290428333537,0.0010809044173138913,42,other
log_target_price,model_TUF Gaming F15,0.0011447119012256137,0.0010015339673000148,43,other
log_target_price,brand_ASUS,0.0011420947699239477,0.000999244180767092,44,brand
log_target_price,no_info_gpu,0.00104427511064289,0.0009136595796680735,45,gpu
log_target_price,cpu_brand_Other,0.0009789967788387149,0.0008565461115888448,46,brand
log_target_price,model_Legion,0.0009292583706268992,0.0008130288691715762,47,other
log_target_price,model_MacBook Pro M1,0.0009213408189518628,0.0008061016266646084,48,other
log_target_price,model_X Series,0.0008521159581734057,0.0007455352523856231,49,other
log_target_price,model_Pavilion 15,0.0007513797521230434,0.0006573988994846443,50,other
log_target_price,no_info_cpu_brand,0.0007353720500188298,0.0006433934039720839,51,brand
log_target_price,brand_Toshiba,0.0006561370842676904,0.0005740689656460261,52,brand
log_target_price,model_ThinkPad X1 Carbon,0.0006192107452367457,0.0005417612882400949,53,other
log_target_price,brand_Other,0.0004986737075455435,0.0004363007462153222,54,brand
log_target_price,model_ProBook,0.0004813110269403906,0.0004211097497988235,55,other
log_target_price,gpu_type_Apple SoC,0.00047661994011897584,0.0004170054133363738,56,gpu
log_target_price,model_ROG Strix,0.0003810740268491433,0.00033341016332282626,57,other
log_target_price,model_MacBook Air,0.0003614292124023307,0.00031622247712097636,58,other
log_target_price,cpu_brand_Qualcomm,0.0003555757616638198,0.00031110116254893486,59,brand
log_target_price,screen_missing,0.00035018906137242184,0.00030638821835072774,60,screen
log_target_price,model_Vostro,0.00033109829900822464,0.0002896852846702751,61,other
log_target_price,model_Elitebook,0.0003131827156685978,0.0002740105413226963,62,other
log_target_price,no_info_brand,0.0002933467794680486,0.00025665563843684734,63,brand
log_target_price,model_MacBook Air M2,0.00029224058351717927,0.00025568780293334714,64,other
log_target_price,model_MacBook Pro M2,0.0002567342579411086,0.00022462252696270855,65,other
log_target_price,model_Precision,0.00022745531686449671,0.00019900572854958281,66,other
log_target_price,model_Aspire,0.00017331777658903451,0.00015163958739747687,67,other
log_target_price,model_IdeaPad,0.00016186940904202256,0.0001416231553535789,68,other
log_target_price,model_TUF Gaming,9.005489095346373e-05,7.879103214950886e-05,69,other
log_target_price,model_Elitebook 800,6.013059652521625e-05,5.260959969887381e-05,70,other
log_target_price,model_Gaming Thin GF,4.5585899703864664e-05,3.9884120130549544e-05,71,other
log_target_price,model_Vivobook 15,3.389062007829742e-05,2.9651659203449593e-05,72,other
log_target_price,brand_Gigabyte,4.759924152233786e-06,4.164563778125934e-06,73,brand
log_target_price,cpu_brand_Microsoft SQ,0.0,0.0,74,brand
log_target_price,model_Latitude 14 7000,0.0,0.0,75,other
log_target_price,model_Latitude,0.0,0.0,76,other
