price_segment,feature,missing_rate,group
Mid,model_IdeaPad,0.0,other
Mid,model_Gaming Thin GF,0.0,other
Mid,model_Elitebook 800,0.0,other
Mid,model_Elitebook,0.0,other
Mid,model_Aspire,0.0,other
Mid,brand_Toshiba,0.0,brand
Mid,brand_Sony,0.0,brand
Mid,brand_Other,0.0,brand
Mid,brand_Microsoft,0.0,brand
Mid,brand_MSI,0.0,brand
Mid,brand_Lenovo,0.0,brand
Mid,brand_LG,0.0,brand
Mid,brand_HP,0.0,brand
Mid,gpu_type_Missing_Info,0.0,gpu
High,ram_gb,0.0,ram
High,model_ProBook,0.0,other
High,model_X Series,0.0,other
High,model_Vostro,0.0,other
High,model_Vivobook 15,0.0,other
High,model_ThinkPad X1 Carbon,0.0,other
High,model_ThinkPad,0.0,other
High,model_TUF Gaming F15,0.0,other
High,model_TUF Gaming,0.0,other
High,model_ROG Strix,0.0,other
High,model_Precision,0.0,other
High,cpu_brand_AMD,0.0,brand
High,model_Pavilion 15,0.0,other
High,model_Other,0.0,other
High,model_Nitro 5,0.0,other
High,model_Macbook air m4,0.0,other
High,model_MacBook Pro M2,0.0,other
High,model_MacBook Pro M1,0.0,other
High,model_MacBook Pro,0.0,other
High,model_MacBook Air M2,0.0,other
High,model_XPS 13,0.0,other
High,cpu_brand_Apple,0.0,brand
High,storage_gb,0.0,storage
High,cpu_intel_generation_ord,0.0,cpu
High,gpu_type_Integrated,0.0,gpu
High,gpu_type_Dedicated,0.0,gpu
High,gpu_type_Apple SoC,0.0,gpu
High,gpu_tier_ord_filled,0.0,gpu
High,cpu_suffix_power_ord_filled,0.0,cpu
High,cpu_qualcomm_snapdragon_spec,0.0,cpu
High,cpu_apple_core_spec,0.0,cpu
High,cpu_amd_generation_ord,0.0,cpu
High,cpu_family_group_Intel Low End,0.0,cpu
High,cpu_brand_Intel,0.0,brand
High,cpu_family_group_Intel Core i,0.0,cpu
High,cpu_family_group_Intel Core Ultra,0.0,cpu
High,cpu_family_group_Apple Silicon,0.0,cpu
High,cpu_family_group_AMD Ryzen,0.0,cpu
High,cpu_family_ord_filled,0.0,cpu
High,cpu_brand_Qualcomm,0.0,brand
High,cpu_brand_Other,0.0,brand
High,cpu_brand_Microsoft SQ,0.0,brand
High,model_MacBook Air M1,0.0,other
High,model_MacBook Air,0.0,other
High,model_Legion 5,0.0,other
High,no_info_cpu_tier,0.0,cpu
High,brand_ASUS,0.0,brand
High,cpu_tier_encoded,0.0,cpu
High,warranty_encoded,0.0,other
High,condition_score,0.0,cpu
High,no_info_storage,0.0,storage
High,storage_hdd,0.0,storage
High,storage_ssd,0.0,storage
High,no_info_gpu,0.0,gpu
High,no_info_cpu_brand,0.0,brand
High,model_Legion,0.0,other
High,no_info_model,0.0,other
High,no_info_brand,0.0,brand
High,screen_missing,0.0,screen
High,storage_missing,0.0,storage
High,ram_missing,0.0,ram
High,model_is_rare,0.0,other
High,brand_is_rare,0.0,brand
High,screen_size_inch,0.0,screen
High,brand_Acer,0.0,brand
High,brand_Apple,0.0,brand
High,brand_Dell,0.0,brand
High,brand_Gigabyte,0.0,brand
High,model_Latitude E Series,0.0,other
High,model_Latitude 14 7000,0.0,other
High,model_Latitude,0.0,other
High,model_Inspiron,0.0,other
High,model_IdeaPad,0.0,other
High,model_Gaming Thin GF,0.0,other
High,model_Elitebook 800,0.0,other
High,model_Elitebook,0.0,other
High,model_Aspire,0.0,other
High,brand_Toshiba,0.0,brand
High,brand_Sony,0.0,brand
High,brand_Other,0.0,brand
High,brand_Microsoft,0.0,brand
High,brand_MSI,0.0,brand
High,brand_Lenovo,0.0,brand
High,brand_LG,0.0,brand
High,brand_HP,0.0,brand
High,gpu_type_Missing_Info,0.0,gpu
Premium,ram_gb,0.0,ram
Premium,model_ProBook,0.0,other
Premium,model_X Series,0.0,other
Premium,model_Vostro,0.0,other
Premium,model_Vivobook 15,0.0,other
Premium,model_ThinkPad X1 Carbon,0.0,other
Premium,model_ThinkPad,0.0,other
Premium,model_TUF Gaming F15,0.0,other
Premium,model_TUF Gaming,0.0,other
Premium,model_ROG Strix,0.0,other
Premium,model_Precision,0.0,other
Premium,cpu_brand_AMD,0.0,brand
Premium,model_Pavilion 15,0.0,other
Premium,model_Other,0.0,other
Premium,model_Nitro 5,0.0,other
Premium,model_Macbook air m4,0.0,other
Premium,model_MacBook Pro M2,0.0,other
Premium,model_MacBook Pro M1,0.0,other
Premium,model_MacBook Pro,0.0,other
Premium,model_MacBook Air M2,0.0,other
Premium,model_XPS 13,0.0,other
Premium,cpu_brand_Apple,0.0,brand
Premium,storage_gb,0.0,storage
Premium,cpu_intel_generation_ord,0.0,cpu
Premium,gpu_type_Integrated,0.0,gpu
Premium,gpu_type_Dedicated,0.0,gpu
Premium,gpu_type_Apple SoC,0.0,gpu
Premium,gpu_tier_ord_filled,0.0,gpu
Premium,cpu_suffix_power_ord_filled,0.0,cpu
Premium,cpu_qualcomm_snapdragon_spec,0.0,cpu
Premium,cpu_apple_core_spec,0.0,cpu
Premium,cpu_amd_generation_ord,0.0,cpu
Premium,cpu_family_group_Intel Low End,0.0,cpu
Premium,cpu_brand_Intel,0.0,brand
Premium,cpu_family_group_Intel Core i,0.0,cpu
Premium,cpu_family_group_Intel Core Ultra,0.0,cpu
Premium,cpu_family_group_Apple Silicon,0.0,cpu
Premium,cpu_family_group_AMD Ryzen,0.0,cpu
Premium,cpu_family_ord_filled,0.0,cpu
Premium,cpu_brand_Qualcomm,0.0,brand
Premium,cpu_brand_Other,0.0,brand
Premium,cpu_brand_Microsoft SQ,0.0,brand
Premium,model_MacBook Air M1,0.0,other
Premium,model_MacBook Air,0.0,other
Premium,model_Legion 5,0.0,other
Premium,no_info_cpu_tier,0.0,cpu
Premium,brand_ASUS,0.0,brand
Premium,cpu_tier_encoded,0.0,cpu
Premium,warranty_encoded,0.0,other
Premium,condition_score,0.0,cpu
Premium,no_info_storage,0.0,storage
Premium,storage_hdd,0.0,storage
Premium,storage_ssd,0.0,storage
