model,target,n,mae,rmse,mape,median_absolute_error,mean_residual,median_residual,underprediction_rate,overprediction_rate,severe_error_rate,extreme_error_rate,r2,scope,segment,weight_config
CatBoost,target_price,1442,3.5248640578912074,5.480940993204861,0.3324395295242088,2.167758147262572,-0.14947610972243613,-0.3598631383825457,0.44660194174757284,0.5533980582524272,0.16920943134535368,0.05131761442441054,0.8747545973040145,global,All,no_weight
CatBoost,target_price,364,1.8102021019037793,2.77615827770728,0.6050667260587848,1.1930083113953978,-1.523343702868069,-1.0278931198559689,0.22527472527472528,0.7747252747252747,0.3901098901098901,0.16483516483516483,-3.7552542497228893,segment,Low,no_weight
CatBoost,target_price,365,2.3442751978732863,3.191856586726417,0.2968385391518521,1.7794779372548977,-1.009704945717625,-0.5923064567391911,0.4273972602739726,0.5726027397260274,0.14794520547945206,0.0273972602739726,-4.165315154007232,segment,Mid,no_weight
CatBoost,target_price,355,3.3202142492814333,4.4163398976755674,0.23182749339030526,2.596123418305824,-0.4977647082487813,0.3938032554154791,0.5352112676056338,0.4647887323943662,0.10422535211267606,0.005633802816901409,-2.4474973598733953,segment,High,no_weight
CatBoost,target_price,358,6.674871230914769,9.134439722749761,0.19130917973331588,4.922172405588949,2.4698361291605435,1.7364568009590684,0.6033519553072626,0.39664804469273746,0.030726256983240222,0.00558659217877095,0.7785699880080743,segment,Premium,no_weight
CatBoost,log_target_price,1442,3.404830721903086,5.524164444856641,0.2868073511469064,1.981408913580057,0.5592344487926189,0.031202917564170374,0.5055478502080444,0.4944521497919556,0.12274618585298197,0.030513176144244106,0.8727714033348113,global,All,no_weight
CatBoost,log_target_price,364,1.4014491535978586,2.0955294075097988,0.4564580884671697,0.9288409366464523,-1.0288644208167321,-0.7602664694377492,0.2802197802197802,0.7197802197802198,0.29395604395604397,0.0989010989010989,-1.7093980635204638,segment,Low,no_weight
CatBoost,log_target_price,365,2.108375210898683,2.855577622570313,0.2673779848479793,1.6684768337342035,-0.5506795531172629,-0.21347452686463786,0.4712328767123288,0.5287671232876713,0.09041095890410959,0.01643835616438356,-3.13426227769072,segment,Mid,no_weight
CatBoost,log_target_price,355,3.201921945255938,4.118385667222603,0.22395212484450744,2.58662549701922,0.19920986077805652,0.7314251489092101,0.5915492957746479,0.4084507042253521,0.07323943661971831,0.0028169014084507044,-1.998009385165576,segment,High,no_weight
CatBoost,log_target_price,358,6.964802141147352,9.660248997243924,0.19645108201809133,5.047946019014476,3.6625733537649103,2.546975618841781,0.6843575418994413,0.31564245810055863,0.030726256983240222,0.002793296089385475,0.752343747811582,segment,Premium,no_weight
CatBoost,target_price,1442,3.5950899129778007,5.519749452614106,0.3507120076498703,2.239349286840982,-0.4317207941491837,-0.485043596148212,0.4306518723994452,0.5693481276005548,0.1782246879334258,0.05617198335644938,0.8729746879430884,global,All,premium_1_5
CatBoost,target_price,364,1.938152343601759,3.0383850968159143,0.6497050013357065,1.2212478160894673,-1.6034040757389207,-0.9602917295909361,0.2445054945054945,0.7554945054945055,0.3873626373626374,0.17582417582417584,-4.696012461158741,segment,Low,premium_1_5
CatBoost,target_price,365,2.522314818562151,3.42879059341833,0.319746615137306,1.8959071347120435,-1.1825683904416717,-0.6657167270205946,0.4136986301369863,0.5863013698630137,0.16986301369863013,0.038356164383561646,-4.96062787323779,segment,Mid,premium_1_5
CatBoost,target_price,355,3.416067058601351,4.59778801686414,0.2395519489303329,2.57627465989102,-0.8954053550158433,-0.0301161984129088,0.49014084507042255,0.5098591549295775,0.11830985915492957,0.005633802816901409,-2.7366020571031195,segment,High,premium_1_5
CatBoost,target_price,358,6.551071192358332,8.96582909089363,0.18850736913276803,4.686733909682154,1.9849275473398853,1.3765583003359172,0.5782122905027933,0.42178770949720673,0.0335195530726257,0.002793296089385475,0.7866691975602041,segment,Premium,premium_1_5
CatBoost,log_target_price,1442,3.4011340900185867,5.455738746097107,0.2924527280122029,1.9810916882364829,0.3255464995065133,-0.1290880066756781,0.48196948682385576,0.5180305131761442,0.13522884882108183,0.031206657420249653,0.875903746190622,global,All,premium_1_5
CatBoost,log_target_price,364,1.4302151395053215,2.1694419490777372,0.46694593859696737,0.9461918577935995,-1.0556194027020875,-0.7605041824639778,0.27197802197802196,0.728021978021978,0.2967032967032967,0.0989010989010989,-1.9038980392181841,segment,Low,premium_1_5
CatBoost,log_target_price,365,2.1795980090697773,2.991704801675039,0.2756823977642032,1.703882240390807,-0.6277420369939318,-0.1897358014243924,0.46301369863013697,0.536986301369863,0.1178082191780822,0.019178082191780823,-3.5378231021137463,segment,Mid,premium_1_5
CatBoost,log_target_price,355,3.3353962499808905,4.325877661449643,0.23416849593634556,2.5797921646057667,-0.15806826991092376,0.46430527572942637,0.5492957746478874,0.4507042253521127,0.09295774647887324,0.0028169014084507044,-2.3077100040689413,segment,High,premium_1_5
CatBoost,log_target_price,358,6.715693030651343,9.350117850581386,0.18992910866749602,4.651098544915227,3.1813508217684783,2.034108854705851,0.6480446927374302,0.35195530726256985,0.030726256983240222,0.002793296089385475,0.7679899355683611,segment,Premium,premium_1_5
CatBoost,target_price,1442,3.5663485294090655,5.502452048510845,0.34042185473387965,2.1626907881314166,-0.33677313121586455,-0.41891051143552627,0.4445214979195562,0.5554785020804438,0.16990291262135923,0.05062413314840499,0.8737695665673229,global,All,low_1_2_premium_1_5
CatBoost,target_price,364,1.828626720045728,2.9077784683149157,0.6121623272890814,1.1512593596568008,-1.4770601881876815,-1.0000742963866567,0.27472527472527475,0.7252747252747253,0.36813186813186816,0.1620879120879121,-4.2168449473385525,segment,Low,low_1_2_premium_1_5
CatBoost,target_price,365,2.4855689951753113,3.3817600165385446,0.3143710325272479,1.8875361808285955,-1.0772520821560154,-0.5185919297500954,0.4301369863013699,0.5698630136986301,0.1589041095890411,0.0273972602739726,-4.798232887563465,segment,Mid,low_1_2_premium_1_5
CatBoost,target_price,355,3.4481619242612145,4.6199095036959665,0.242134035475936,2.6524106474337614,-0.8488794956394063,0.030146253126051903,0.5014084507042254,0.49859154929577465,0.11267605633802817,0.008450704225352112,-2.7726446251069827,segment,High,low_1_2_premium_1_5
CatBoost,target_price,358,6.552302477540524,8.973969834781196,0.188151446722419,4.707794147982897,2.0853974419719954,1.2156834385831345,0.5754189944134078,0.4245810055865922,0.036312849162011177,0.002793296089385475,0.7862816238433659,segment,Premium,low_1_2_premium_1_5
CatBoost,log_target_price,1442,3.4114959643813156,5.477056437171242,0.28934852605940364,1.9677366715754325,0.3944908693841386,-0.06629249846742469,0.4930651872399445,0.5069348127600555,0.12968099861303745,0.031206657420249653,0.8749320669671689,global,All,low_1_2_premium_1_5
CatBoost,log_target_price,364,1.374793056065506,2.096429636016706,0.4476625134152549,0.9190640074578462,-0.9664989541690706,-0.6861932360636653,0.2967032967032967,0.7032967032967034,0.27472527472527475,0.0989010989010989,-1.71172645010579,segment,Low,low_1_2_premium_1_5
CatBoost,log_target_price,365,2.2069969612210616,3.017521639777727,0.27919554313301015,1.6549480308444586,-0.5490764909379501,-0.13462453506906513,0.4876712328767123,0.5123287671232877,0.11232876712328767,0.019178082191780823,-3.616479074728254,segment,Mid,low_1_2_premium_1_5
CatBoost,log_target_price,355,3.3550563972327305,4.352884541429268,0.23596277187508435,2.617875797318664,-0.10174457155689476,0.4624123755763119,0.5577464788732395,0.4422535211267606,0.09859154929577464,0.0028169014084507044,-2.3491396444725963,segment,High,low_1_2_premium_1_5
CatBoost,log_target_price,358,6.766350827839963,9.396251809590984,0.1916711241209599,4.77409860409035,3.232384623085249,2.0495094482903387,0.6340782122905028,0.3659217877094972,0.030726256983240222,0.002793296089385475,0.7656947883013011,segment,Premium,low_1_2_premium_1_5
CatBoost,target_price,1442,3.6545503926394023,5.5409617612898,0.3602891257381576,2.294791270196945,-0.5940686321399973,-0.580498488498117,0.42302357836338417,0.5769764216366158,0.19070735090152566,0.05894590846047157,0.8719964994899501,global,All,premium_2_0
CatBoost,target_price,364,1.9713558917764031,3.118153310646356,0.6623543343650009,1.15912826009951,-1.6198796482240503,-0.9993931326831058,0.260989010989011,0.739010989010989,0.4065934065934066,0.18406593406593408,-4.9990188299808604,segment,Low,premium_2_0
CatBoost,target_price,365,2.659344100006108,3.616130551948245,0.33622030520989654,2.0172839416706543,-1.284676455584812,-0.7916983192728759,0.410958904109589,0.589041095890411,0.18082191780821918,0.0410958904109589,-5.629767332333691,segment,Mid,premium_2_0
CatBoost,target_price,355,3.542727114549427,4.799614115361974,0.24927601621179762,2.504687309449846,-1.1894553144301185,-0.18580572356271574,0.4704225352112676,0.5295774647887324,0.1323943661971831,0.005633802816901409,-3.071848437019602,segment,High,premium_2_0
CatBoost,target_price,358,6.4915067022685236,8.809396262038788,0.18778364371162737,4.686149636485176,1.743443484130801,1.0949974755657177,0.553072625698324,0.44692737430167595,0.03910614525139665,0.002793296089385475,0.7940485061022428,segment,Premium,premium_2_0
CatBoost,log_target_price,1442,3.405956244250144,5.3798956892533125,0.29694206238001636,1.9767170727011352,0.16084300203607232,-0.15551773940703795,0.4694868238557559,0.5305131761442441,0.1421636615811373,0.031206657420249653,0.8793300172182192,global,All,premium_2_0
CatBoost,log_target_price,364,1.449080203503936,2.2223803239532094,0.47320230512366623,0.9503204360191837,-1.0789287696716892,-0.8114480717958268,0.2692307692307692,0.7307692307692307,0.3076923076923077,0.09615384615384616,-2.0473480741217105,segment,Low,premium_2_0
CatBoost,log_target_price,365,2.2703319186949837,3.1289037723515962,0.28627130615302776,1.7214822149656364,-0.7143063204026648,-0.2378220998663796,0.4712328767123288,0.5287671232876713,0.1232876712328767,0.021917808219178082,-3.963573972292921,segment,Mid,premium_2_0
CatBoost,log_target_price,355,3.4278193221410564,4.449082366759407,0.24094568774481578,2.7176914468155644,-0.3932508525660538,0.2195565846999905,0.5070422535211268,0.49295774647887325,0.10704225352112676,0.005633802816901409,-2.4988059182820104,segment,High,premium_2_0
CatBoost,log_target_price,358,6.531778492875783,9.052618835716844,0.18413427092654835,4.637756574517313,2.8631048623028845,1.6442009511379965,0.6340782122905028,0.3659217877094972,0.027932960893854747,0.0,0.7825190986690534,segment,Premium,premium_2_0
