sample_id,actual_price,predicted_price,model_name,target_used,residual,absolute_error,squared_error,percentage_error,absolute_percentage_error,prediction_ratio,price_segment
696,1.0,14.848442924669008,CatBoost,target_price,-13.848442924669008,13.848442924669008,191.77937143781512,-13.848442910820564,13.848442910820564,14.848442909820564,Low
2299,2.7,26.381412827080496,CatBoost,target_price,-23.681412827080496,23.681412827080496,560.8093134866127,-8.770893636410964,8.770893636410964,9.770893636040592,Low
3647,3.5,18.198750055411807,CatBoost,target_price,-14.698750055411807,14.698750055411807,216.0532531914686,-4.199642871774904,4.199642871774904,5.19964287148919,Low
373,1.3,6.518124087470865,CatBoost,target_price,-5.218124087470865,5.218124087470865,27.22881899224365,-4.013941602659171,4.013941602659171,5.0139416018899405,Low
3169,2.2,9.401815593680327,CatBoost,target_price,-7.201815593680327,7.201815593680327,51.86614784537712,-3.273552541093988,3.273552541093988,4.273552540639442,Low
2794,1.35,5.765031714378168,CatBoost,target_price,-4.415031714378168,4.415031714378168,19.492505038965025,-3.270393860079833,3.270393860079833,4.270393859339091,Low
2650,1.3,5.53061080274178,CatBoost,target_price,-4.23061080274178,4.23061080274178,17.89806776427545,-3.2543159996057414,3.2543159996057414,4.254315998836511,Low
2155,2.889,11.683005572594,CatBoost,target_price,-8.794005572594001,8.794005572594001,77.33453401081434,-3.043961775545185,3.043961775545185,4.043961775199044,Low
4557,3.2,12.67085909206034,CatBoost,target_price,-9.47085909206034,9.47085909206034,89.69717194166202,-2.959643465343968,2.959643465343968,3.9596434650314674,Low
2415,2.25,8.326844306121803,CatBoost,target_price,-6.076844306121803,6.076844306121803,36.92803672084498,-2.700819690409326,2.700819690409326,3.700819689964881,Low
5823,7.29,25.006852879552905,CatBoost,target_price,-17.716852879552906,17.716852879552906,313.88687595572213,-2.4302953192212087,2.4302953192212087,3.4302953190840344,Mid
3817,5.2,17.671508173535642,CatBoost,target_price,-12.471508173535645,12.471508173535645,155.53851612256634,-2.398366955987937,2.398366955987937,3.398366955795629,Low
221,1.2,3.826524821736827,CatBoost,target_price,-2.626524821736827,2.626524821736827,6.89863263919967,-2.1887706829567133,2.1887706829567133,3.1887706821233803,Low
157,2.05,6.195447653343248,CatBoost,target_price,-4.145447653343248,4.145447653343248,17.18473624660904,-2.022169586010282,2.022169586010282,3.022169585522477,Low
4743,2.499,7.529617057547689,CatBoost,target_price,-5.030617057547689,5.030617057547689,25.307107979689764,-2.0130520430310668,2.0130520430310668,3.013052042630907,Low
4857,2.1,6.244914151806952,CatBoost,target_price,-4.144914151806953,4.144914151806953,17.18031332584955,-1.9737686427777064,1.9737686427777064,2.973768642301516,Low
