encoding_type,model_name,delta_rmse (log−dir),delta_mae  (log−dir),delta_mape (log−dir),delta_r2   (log−dir),mae_pct_diff,rmse_pct_diff,mape_pct_diff,mae_winner,rmse_winner,mape_winner,recommendation
level,CatBoost,0.25805002990207626,-0.03391521944817599,-0.03806831244093822,-0.01088681296399685,-0.010061213904913019,0.047066499820049575,-0.12683597051067086,tie,direct,log,target_price primary; log_target_price alternative
level,LightGBM,0.03189244458365792,-0.03692870845718588,-0.01897284263742416,-0.001322085494796732,-0.011223182462776144,0.005800650941994954,-0.06736116130228342,tie,tie,log,target_price primary; log_target_price alternative
numeric,CatBoost,0.3138964565838709,-0.004184374734267138,-0.036817593051792,-0.013145888583503407,-0.0012640196444029424,0.05798256946982774,-0.12644435239691257,tie,direct,log,target_price primary; log_target_price alternative
numeric,LightGBM,0.17039160980264345,-0.006810466033194018,-0.021708503896899267,-0.006945179816467251,-0.0021120478214573055,0.031929673365240184,-0.0794110300981117,tie,direct,log,target_price primary; log_target_price alternative
