model_name,target_used,delta_rmse (lvl−num),delta_mae  (lvl−num),delta_mape (lvl−num),delta_r2   (lvl−num),mae_pct_diff,rmse_pct_diff,mae_winner,rmse_winner,recommendation
CatBoost,log_target_price,0.07208258521694866,0.08254506263544048,0.009086497016271067,-0.003667982466482367,0.02405394541144999,0.012791456507872908,tie,tie,"numeric (simpler, near-equal MAE)"
CatBoost,target_price,-0.004340811644304665,0.0485445384339358,0.007572895316413364,0.00021469975685839415,0.013914868368815225,-0.0007871493224875406,tie,tie,"numeric (simpler, near-equal MAE)"
LightGBM,log_target_price,0.06652951220754755,0.07077950952695877,0.010120941439528297,-0.0034608557881873336,0.02051142543910293,0.011541491382680544,tie,tie,"numeric (simpler, near-equal MAE)"
LightGBM,target_price,-0.0007338179121285648,0.0248928099049035,0.010674355982942807,3.8029987957433065e-05,0.007003434780698071,-0.00012704003316535843,tie,tie,"numeric (simpler, near-equal MAE)"
