,model_name,encoding_type,target_used,rmse,mae,mape,r2
1,LightGBM,numeric,log_target_price,5.506857406165535,3.2177689985050764,0.2516603703020449,0.8860063793764152
2,LightGBM,numeric,target_price,5.336465796362892,3.2245794645382704,0.2733688741989442,0.8929515591928825
3,LightGBM,level,log_target_price,5.529972729464496,3.253466736833585,0.2626856423207473,0.8850473824479749
4,LightGBM,level,target_price,5.498080284880838,3.2903954452907707,0.2816584849581715,0.8863694679427716
5,CatBoost,numeric,log_target_price,5.72753126880468,3.3061872265264243,0.2543586623828555,0.8766872953504098
6,CatBoost,numeric,target_price,5.413634812220809,3.3103716012606914,0.2911762554346475,0.8898331839339132
7,CatBoost,level,log_target_price,5.740718825939275,3.336972207129124,0.2620698288739145,0.8761187902110085
8,CatBoost,level,target_price,5.482668796037199,3.3708874265773,0.3001381413148527,0.8870056031750053
