model_label,train_size,train_rmse_mean,train_rmse_std,valid_rmse_mean,valid_rmse_std,generalization_gap
CatBoost_tuned,933,1.863713798664638,0.1218642366841565,6.534291197480495,0.3147873639775855,4.6705773988158565
CatBoost_tuned,1867,2.382218497851217,0.055876786751494954,5.794815725824686,0.18263690772260763,3.4125972279734693
CatBoost_tuned,2800,2.5956848061892495,0.07181007155608286,5.447185125669342,0.30008663612767983,2.8515003194800923
CatBoost_tuned,3734,2.830801923962939,0.05024902452361545,5.365224813395889,0.3229389368844023,2.5344228894329497
CatBoost_tuned,4668,3.0417697386588864,0.06299205960816212,5.243179689969891,0.21383205080434978,2.201409951311004
LightGBM_baseline,933,3.255800077928626,0.19120632604355275,6.983258571607273,0.19173272683439013,3.727458493678647
LightGBM_baseline,1867,3.4569518302436713,0.07635127484400674,6.0709615518065565,0.20859986261901273,2.6140097215628852
LightGBM_baseline,2800,3.303009303644656,0.04963224112188871,5.687867855451148,0.22081507527982613,2.384858551806492
LightGBM_baseline,3734,3.4175679656656994,0.060624539273449934,5.539742463872851,0.22922366823314225,2.1221744982071513
LightGBM_baseline,4668,3.506771548415956,0.05483158137930838,5.476342534005852,0.28374553645243306,1.969570985589896
