section,metric,value,source,notes
extreme_price_examples,highest_prices,"[{'source': 'websach', 'brand_grouped': 'Apple', 'model_grouped': 'Unknown', 'target_price': 179400000.0}, {'source': 'websach', 'brand_grouped': 'MSI', 'model_grouped': 'Unknown', 'target_price': 163790000.0}, {'source': 'websach', 'brand_grouped': 'MSI', 'model_grouped': 'Unknown', 'target_price': 153290000.0}, {'source': 'websach', 'brand_grouped': 'Apple', 'model_grouped': 'Unknown', 'target_price': 151890000.0}, {'source': 'websach', 'brand_grouped': 'MSI', 'model_grouped': 'Unknown', 'target_price': 146990000.0}, {'source': 'websach', 'brand_grouped': 'Acer', 'model_grouped': 'Unknown', 'target_price': 144990000.0}, {'source': 'websach', 'brand_grouped': 'Apple', 'model_grouped': 'Unknown', 'target_price': 140190000.0}, {'source': 'websach', 'brand_grouped': 'Apple', 'model_grouped': 'Unknown', 'target_price': 135000000.0}, {'source': 'websach', 'brand_grouped': 'HP', 'model_grouped': 'Unknown', 'target_price': 132580000.0}, {'source': 'websach', 'brand_grouped': 'MSI', 'model_grouped': 'Unknown', 'target_price': 131690000.0}, {'source': 'websach', 'brand_grouped': 'ASUS', 'model_grouped': 'Unknown', 'target_price': 130750000.0}, {'source': 'websach', 'brand_grouped': 'MSI', 'model_grouped': 'Unknown', 'target_price': 129290000.0}, {'source': 'websach', 'brand_grouped': 'Lenovo', 'model_grouped': 'Unknown', 'target_price': 128999000.0}, {'source': 'websach', 'brand_grouped': 'MSI', 'model_grouped': 'Unknown', 'target_price': 128960000.0}, {'source': 'websach', 'brand_grouped': 'HP', 'model_grouped': 'Unknown', 'target_price': 127000000.0}, {'source': 'websach', 'brand_grouped': 'Apple', 'model_grouped': 'Unknown', 'target_price': 126990000.0}, {'source': 'websach', 'brand_grouped': 'MSI', 'model_grouped': 'Unknown', 'target_price': 126500000.0}, {'source': 'websach', 'brand_grouped': 'Apple', 'model_grouped': 'Unknown', 'target_price': 125000000.0}, {'source': 'websach', 'brand_grouped': 'ASUS', 'model_grouped': 'Unknown', 'target_price': 119900000.0}, {'source': 'websach', 'brand_grouped': 'Apple', 'model_grouped': 'Unknown', 'target_price': 117490000.0}]",,
missingness,highest_missing_like_columns,"{'origin_clean': 0.7717261904761905, 'warranty_months': 0.7573412698412698, 'model_is_rare': 0.43472222222222223, 'url': 0.43472222222222223, 'title': 0.43472222222222223, 'model_clean': 0.43472222222222223, 'model_grouped': 0.43472222222222223, 'condition_clean': 0.43472222222222223, 'warranty_status': 0.43472222222222223, 'gpu_tier': 0.1501984126984127}",,
feature_coverage,low_coverage_features,"['origin_clean', 'warranty_months', 'model_grouped', 'condition_clean', 'warranty_status', 'model_is_rare']",,
numeric_features,numeric_correlations,"[{'feature': 'storage_gb', 'target': 'log_target_price', 'pearson': 0.568996654977444, 'spearman': 0.6803947130654892, 'coverage': 0.9427579365079365}, {'feature': 'ram_gb', 'target': 'log_target_price', 'pearson': 0.5355412391239154, 'spearman': 0.5591415007877771, 'coverage': 0.9820436507936507}, {'feature': 'screen_size_inch', 'target': 'log_target_price', 'pearson': 0.20003247137671637, 'spearman': 0.2481953954025113, 'coverage': 0.901984126984127}, {'feature': 'storage_gb', 'target': 'target_price', 'pearson': 0.6803257066641965, 'spearman': 0.6803947130654892, 'coverage': 0.9427579365079365}, {'feature': 'ram_gb', 'target': 'target_price', 'pearson': 0.6761932844260223, 'spearman': 0.5591415007877771, 'coverage': 0.9820436507936507}, {'feature': 'screen_size_inch', 'target': 'target_price', 'pearson': 0.17498081155989012, 'spearman': 0.2481953954025113, 'coverage': 0.901984126984127}]",,
categorical_features,cardinality,"[{'column': 'model_grouped', 'nunique_overall': 34, 'nunique_chotot': 33, 'nunique_websach': 1}, {'column': 'brand_grouped', 'nunique_overall': 15, 'nunique_chotot': 12, 'nunique_websach': 12}, {'column': 'gpu_tier', 'nunique_overall': 14, 'nunique_chotot': 5, 'nunique_websach': 9}, {'column': 'cpu_tier', 'nunique_overall': 11, 'nunique_chotot': 7, 'nunique_websach': 6}, {'column': 'cpu_brand', 'nunique_overall': 6, 'nunique_chotot': 4, 'nunique_websach': 6}, {'column': 'storage_type_clean', 'nunique_overall': 5, 'nunique_chotot': 3, 'nunique_websach': 5}, {'column': 'condition_clean', 'nunique_overall': 4, 'nunique_chotot': 3, 'nunique_websach': 1}, {'column': 'warranty_status', 'nunique_overall': 4, 'nunique_chotot': 3, 'nunique_websach': 1}]",,
categorical_features,category_coverage,"[{'column': 'model_grouped', 'top15_share': 0.921626984126984, 'unknown_or_other_share': 0.647718253968254}, {'column': 'condition_clean', 'top15_share': 1.0, 'unknown_or_other_share': 0.43472222222222223}, {'column': 'warranty_status', 'top15_share': 1.0, 'unknown_or_other_share': 0.43472222222222223}, {'column': 'gpu_tier', 'top15_share': 1.0, 'unknown_or_other_share': 0.15019841269841272}, {'column': 'storage_type_clean', 'top15_share': 1.0, 'unknown_or_other_share': 0.08581349206349206}, {'column': 'cpu_tier', 'top15_share': 1.0, 'unknown_or_other_share': 0.07648809523809524}, {'column': 'cpu_brand', 'top15_share': 1.0, 'unknown_or_other_share': 0.034126984126984124}, {'column': 'brand_grouped', 'top15_share': 0.9999999999999999, 'unknown_or_other_share': 0.030952380952380953}]",,
categorical_signal,categorical_signal_score,"[{'feature': 'cpu_tier', 'eligible_categories_n_ge_20': 9, 'coverage_in_eligible_categories': 1.0, 'median_price_min': 2000000.0, 'median_price_max': 57599000.0, 'median_price_range': 55599000.0, 'median_price_iqr_across_categories': 11600000.0, 'relative_range_vs_global_median': 4.118749537002741}, {'feature': 'gpu_tier', 'eligible_categories_n_ge_20': 11, 'coverage_in_eligible_categories': 1.0, 'median_price_min': 6800000.0, 'median_price_max': 45970000.0, 'median_price_range': 39170000.0, 'median_price_iqr_across_categories': 17980000.0, 'relative_range_vs_global_median': 2.901696421957182}, {'feature': 'brand_grouped', 'eligible_categories_n_ge_20': 13, 'coverage_in_eligible_categories': 1.0, 'median_price_min': 2100000.0, 'median_price_max': 29994500.0, 'median_price_range': 27894500.0, 'median_price_iqr_across_categories': 6000000.0, 'relative_range_vs_global_median': 2.0664123268390253}, {'feature': 'model_grouped', 'eligible_categories_n_ge_20': 32, 'coverage_in_eligible_categories': 1.0, 'median_price_min': 2500000.0, 'median_price_max': 23500000.0, 'median_price_range': 21000000.0, 'median_price_iqr_across_categories': 8100000.75, 'relative_range_vs_global_median': 1.5556707904289206}, {'feature': 'cpu_brand', 'eligible_categories_n_ge_20': 5, 'coverage_in_eligible_categories': 0.9996031746031746, 'median_price_min': 8800000.0, 'median_price_max': 26990000.0, 'median_price_range': 18190000.0, 'median_price_iqr_across_categories': 10210000.0, 'relative_range_vs_global_median': 1.3475072227572413}, {'feature': 'condition_clean', 'eligible_categories_n_ge_20': 3, 'coverage_in_eligible_categories': 1.0, 'median_price_min': 3050000.0, 'median_price_max': 20990000.0, 'median_price_range': 17940000.0, 'median_price_iqr_across_categories': 8970000.0, 'relative_range_vs_global_median': 1.3289873323949921}, {'feature': 'warranty_status', 'eligible_categories_n_ge_20': 4, 'coverage_in_eligible_categories': 1.0, 'median_price_min': 5555000.0, 'median_price_max': 21195000.0, 'median_price_range': 15640000.0, 'median_price_iqr_across_categories': 5567500.0, 'relative_range_vs_global_median': 1.1586043410623008}, {'feature': 'storage_type_clean', 'eligible_categories_n_ge_20': 4, 'coverage_in_eligible_categories': 1.0, 'median_price_min': 10900000.0, 'median_price_max': 23990000.0, 'median_price_range': 13090000.0, 'median_price_iqr_across_categories': 4597750.0, 'relative_range_vs_global_median': 0.9697014593673605}]",,
boolean_features,boolean_eda,"[{'feature': 'is_soft_duplicate_spec', 'true_count': 2514, 'true_rate': 0.2494047619047619, 'missing_like_rate': 0.0, 'true_rate_chotot': 0.0, 'median_price_true_chotot': nan, 'median_price_false_chotot': 7890000.0, 'true_rate_websach': 0.5737106344135098, 'median_price_true_websach': 20150000.0, 'median_price_false_websach': 22590000.0}, {'feature': 'model_is_rare', 'true_count': 2147, 'true_rate': 0.21299603174603174, 'missing_like_rate': 0.43472222222222223, 'true_rate_chotot': 0.3767988767988768, 'median_price_true_chotot': 9500000.0, 'median_price_false_chotot': 7000000.0, 'true_rate_websach': 0.0, 'median_price_true_websach': nan, 'median_price_false_websach': 21195000.0}, {'feature': 'gpu_missing', 'true_count': 1514, 'true_rate': 0.1501984126984127, 'missing_like_rate': 0.0, 'true_rate_chotot': 0.22937872937872938, 'median_price_true_chotot': 6350000.0, 'median_price_false_chotot': 8200000.0, 'true_rate_websach': 0.047238703788224555, 'median_price_true_websach': 20950000.0, 'median_price_false_websach': 21218000.0}, {'feature': 'screen_missing', 'true_count': 1027, 'true_rate': 0.10188492063492063, 'missing_like_rate': 0.0, 'true_rate_chotot': 0.16339066339066338, 'median_price_true_chotot': 6000000.0, 'median_price_false_chotot': 8000000.0, 'true_rate_websach': 0.02190780465540849, 'median_price_true_websach': 17755000.0, 'median_price_false_websach': 21290000.0}, {'feature': 'storage_missing', 'true_count': 613, 'true_rate': 0.06081349206349206, 'missing_like_rate': 0.0, 'true_rate_chotot': 0.0680940680940681, 'median_price_true_chotot': 4500000.0, 'median_price_false_chotot': 8000000.0, 'true_rate_websach': 0.05134641716111365, 'median_price_true_websach': 19690000.0, 'median_price_false_websach': 21290000.0}, {'feature': 'flag_price_spread_warn', 'true_count': 583, 'true_rate': 0.05783730158730159, 'missing_like_rate': 0.0, 'true_rate_chotot': 0.0, 'median_price_true_chotot': nan, 'median_price_false_chotot': 7890000.0, 'true_rate_websach': 0.1330442720219078, 'median_price_true_websach': 18006229.0, 'median_price_false_websach': 21690000.0}, {'feature': 'cpu_missing', 'true_count': 293, 'true_rate': 0.02906746031746032, 'missing_like_rate': 0.0, 'true_rate_chotot': 0.03597753597753598, 'median_price_true_chotot': 5500000.0, 'median_price_false_chotot': 7900000.0, 'true_rate_websach': 0.020082154267457783, 'median_price_true_websach': 28990000.0, 'median_price_false_websach': 20990000.0}, {'feature': 'ram_missing', 'true_count': 207, 'true_rate': 0.020535714285714286, 'missing_like_rate': 0.0, 'true_rate_chotot': 0.03229203229203229, 'median_price_true_chotot': 5450000.0, 'median_price_false_chotot': 7900000.0, 'true_rate_websach': 0.005248744865358284, 'median_price_true_websach': 19500000.0, 'median_price_false_websach': 21218000.0}, {'feature': 'flag_price_spread_critical', 'true_count': 142, 'true_rate': 0.014087301587301588, 'missing_like_rate': 0.0, 'true_rate_chotot': 0.0, 'median_price_true_chotot': nan, 'median_price_false_chotot': 7890000.0, 'true_rate_websach': 0.03240529438612506, 'median_price_true_websach': 13944500.0, 'median_price_false_websach': 21490000.0}, {'feature': 'brand_is_rare', 'true_count': 132, 'true_rate': 0.013095238095238096, 'missing_like_rate': 0.0, 'true_rate_chotot': 0.014215514215514216, 'median_price_true_chotot': 9200000.0, 'median_price_false_chotot': 7860000.0, 'true_rate_websach': 0.01163852122318576, 'median_price_true_websach': 22490000.0, 'median_price_false_websach': 21190000.0}, {'feature': 'potential_dedicated_gpu', 'true_count': 40, 'true_rate': 0.003968253968253968, 'missing_like_rate': 0.0, 'true_rate_chotot': 0.00702000702000702, 'median_price_true_chotot': 7850000.0, 'median_price_false_chotot': 7890000.0, 'true_rate_websach': 0.0, 'median_price_true_websach': nan, 'median_price_false_websach': 21195000.0}, {'feature': 'ram_suspicious', 'true_count': 21, 'true_rate': 0.0020833333333333333, 'missing_like_rate': 0.0, 'true_rate_chotot': 0.0036855036855036856, 'median_price_true_chotot': 33890000.0, 'median_price_false_chotot': 7890000.0, 'true_rate_websach': 0.0, 'median_price_true_websach': nan, 'median_price_false_websach': 21195000.0}, {'feature': 'repair_mismatch', 'true_count': 16, 'true_rate': 0.0015873015873015873, 'missing_like_rate': 0.0, 'true_rate_chotot': 0.002808002808002808, 'median_price_true_chotot': 4845000.0, 'median_price_false_chotot': 7900000.0, 'true_rate_websach': 0.0, 'median_price_true_websach': nan, 'median_price_false_websach': 21195000.0}, {'feature': 'storage_suspicious', 'true_count': 0, 'true_rate': 0.0, 'missing_like_rate': 0.0, 'true_rate_chotot': 0.0, 'median_price_true_chotot': nan, 'median_price_false_chotot': 7890000.0, 'true_rate_websach': 0.0, 'median_price_true_websach': nan, 'median_price_false_websach': 21195000.0}, {'feature': 'screen_suspicious', 'true_count': 0, 'true_rate': 0.0, 'missing_like_rate': 0.0, 'true_rate_chotot': 0.0, 'median_price_true_chotot': nan, 'median_price_false_chotot': 7890000.0, 'true_rate_websach': 0.0, 'median_price_true_websach': nan, 'median_price_false_websach': 21195000.0}]",,
price_signal,tables_created,"['source__brand_grouped', 'source__cpu_tier', 'source__gpu_tier', 'source__storage_type_clean', 'source__condition_clean', 'source__ram_bucket_eda', 'source__storage_bucket_eda', 'source__screen_bucket_eda']",,
interaction_analysis,interaction_tables,"{'ram_bucket_eda__storage_bucket_eda': 17, 'cpu_tier__gpu_tier': 44, 'brand_grouped__cpu_tier': 52}",,
duplicate_overlap,duplicate_summary,"{'soft_duplicate_rows': 2514, 'cross_source_soft_duplicate_rows': 0, 'unique_duplicated_spec_keys': 1530, 'cross_source_overlapped_spec_keys': 0}",,
source_specific_diagnostics,flag_summary,"[{'flag': 'flag_price_spread_warn', 'source': 'chotot', 'count_true': 0, 'rate_true': 0.0, 'median_price_true': nan, 'median_price_false': 7890000.0}, {'flag': 'flag_price_spread_warn', 'source': 'websach', 'count_true': 583, 'rate_true': 0.1330442720219078, 'median_price_true': 18006229.0, 'median_price_false': 21690000.0}, {'flag': 'flag_price_spread_critical', 'source': 'chotot', 'count_true': 0, 'rate_true': 0.0, 'median_price_true': nan, 'median_price_false': 7890000.0}, {'flag': 'flag_price_spread_critical', 'source': 'websach', 'count_true': 142, 'rate_true': 0.03240529438612506, 'median_price_true': 13944500.0, 'median_price_false': 21490000.0}, {'flag': 'repair_mismatch', 'source': 'chotot', 'count_true': 16, 'rate_true': 0.002808002808002808, 'median_price_true': 4845000.0, 'median_price_false': 7900000.0}, {'flag': 'repair_mismatch', 'source': 'websach', 'count_true': 0, 'rate_true': 0.0, 'median_price_true': nan, 'median_price_false': 21195000.0}, {'flag': 'potential_dedicated_gpu', 'source': 'chotot', 'count_true': 40, 'rate_true': 0.00702000702000702, 'median_price_true': 7850000.0, 'median_price_false': 7890000.0}, {'flag': 'potential_dedicated_gpu', 'source': 'websach', 'count_true': 0, 'rate_true': 0.0, 'median_price_true': nan, 'median_price_false': 21195000.0}, {'flag': 'ram_suspicious', 'source': 'chotot', 'count_true': 21, 'rate_true': 0.0036855036855036856, 'median_price_true': 33890000.0, 'median_price_false': 7890000.0}, {'flag': 'ram_suspicious', 'source': 'websach', 'count_true': 0, 'rate_true': 0.0, 'median_price_true': nan, 'median_price_false': 21195000.0}]",,
leakage_review,review,"{'always_exclude_present': ['target_price', 'log_target_price', 'target_price_source', 'target_price_is_outlier', 'target_price_missing', 'source_row_id', 'merged_row_id', 'url', 'title', 'merged_spec_key'], 'usually_exclude_present': ['source', 'is_cross_source_soft_duplicate'], 'price_sensitive_present': ['flag_price_spread_warn', 'flag_price_spread_critical', 'price_spread_clean_pct'], 'old_source_specific_leakage_present': [], 'old_source_specific_leakage_absent_ok': True}",,
recommendations,feature_recommendations_created,True,,
baseline_leakage_sanity,result,"{'baseline_feature_count': 26, 'forbidden_hits': [], 'missing_cols': []}",,
